stock_code,name,close,support_level,resistance_level,total_score,status_tags
002748,世龙实业,12.68,12.5585,12.8853,77.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
600067,冠城新材,4.33,4.2725,4.35,75.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002348,高乐股份,5.87,5.75,6.18,74.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
000566,海南海药,7.47,7.3115,8.1235,72.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
000759,中百集团,7.87,7.66167,7.89375,72.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002242,九阳股份,10.45,10.2807,10.4875,72.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002398,垒知集团,5.84,5.75267,5.9495,72.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002593,日上集团,5.96,5.914,6.02675,72.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
600829,人民同泰,11.51,11.3637,11.966,72.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300272,开能健康,7.59,7.392,7.85,72.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002697,红旗连锁,6.01,5.8785,6.082,71.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
920809,安达科技,7.16,7.10917,7.4645,71.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300299,富春股份,7.48,7.35875,7.53325,70.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
600654,中安科,3.92,3.823,3.98,70.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
003027,同兴科技,21.31,20.7277,21.7845,69.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
603014,威高血净,41.35,40.8997,42.9395,69.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002805,丰元股份,17.58,17.199,18.34,69.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002768,国恩股份,53.85,52.562,54.1,68.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
000993,闽东电力,12.45,12.404,13.29,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002098,浔兴股份,9.95,9.7425,10.4265,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
002295,精艺股份,12.8,12.4665,12.9032,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300215,电科院,6.72,6.71317,6.83025,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300242,佳云科技,5.08,5.06383,5.16,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
605060,联德股份,36.15,35.289,38.691,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605268,王力安防,10.64,10.6005,11.087,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
920726,朱老六,22.06,21.6185,23.5595,67.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603708,家家悦,11.85,11.6163,12.301,66.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
300842,帝科股份,63.69,62.85,64.47,66.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
600467,好当家,2.67,2.63633,2.835,66.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
600897,厦门空港,17.39,16.9927,18.1087,66.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
600319,亚星化学,9.01,8.83833,9.4615,66.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
688115,思林杰,64.12,62.313,65.363,66.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK"", ""NEAR_RESISTANCE""]"
