stock_code,name,close,support_level,resistance_level,total_score,status_tags
002398,垒知集团,6.03,5.9495,6.1915,67.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
301526,国际复材,7.25,7.074999999999999,7.269,65.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600333,长春燃气,5.79,5.63825,7.15475,62.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300046,台基股份,36.62,36.29,43.327,62.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002515,金字火腿,6.37,6.275499999999999,8.0045,62.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
920509,同惠电子,38.78,37.66283333333333,39.08324999999999,61.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
301188,力诺药包,18.65,18.58425,22.26375,60.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300289,利德曼,7.64,7.537333333333334,10.9025,60.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002285,世联行,2.97,2.89125,3.02625,59.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
000759,中百集团,7.88,7.721333333333334,7.89375,59.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600327,大东方,5.13,5.127666666666666,5.49775,58.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT""]"
300568,星源材质,15.22,14.967833333333335,15.280999999999999,58.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
688050,爱博医疗,64.6,64.5015,76.97149999999999,58.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603477,巨星农牧,17.83,17.763166666666667,21.248,57.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
688665,四方光电,50.75,50.212999999999994,62.4075,57.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
600576,祥源文旅,6.7,6.2,8.38575,57.5,"[""PULLBACK"", ""SPACE_OK""]"
600749,西藏旅游,17.77,17.595166666666668,26.130250000000004,57.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
301239,普瑞眼科,34.26,32.2,43.62,57.0,"[""PULLBACK"", ""SPACE_OK""]"
301038,深水规院,25.75,25.150000000000002,30.650000000000002,57.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300632,光莆股份,15.43,14.408833333333332,15.95,57.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
300437,清水源,18.04,16.608833333333333,18.27525,57.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
603176,汇通集团,5.49,5.411249999999999,6.66325,57.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
688631,莱斯信息,80.4,80.278,95.53725,57.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603697,有友食品,12.85,12.706166666666666,12.968,56.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600067,冠城新材,4.36,4.272500000000001,4.3895,56.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300843,胜蓝股份,49.51,49.483999999999995,51.16,56.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002589,瑞康医药,3.93,3.28,4.45,54.5,"[""TREND_UP"", ""SPACE_OK""]"
600697,欧亚集团,13.78,13.6765,14.65,54.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT""]"
000407,胜利股份,5.13,4.7125,5.2805,54.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
600318,新力金融,9.22,9.104000000000001,10.286249999999999,54.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
000546,金圆股份,6.79,6.164833333333333,6.9875,54.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
301292,海科新源,57.15,56.16983333333334,68.56575000000001,54.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
301132,满坤科技,35.19,35.039500000000004,39.162499999999994,54.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
000779,甘咨询,8.57,8.392499999999998,9.482500000000002,54.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002877,智能自控,9.91,9.3675,11.317499999999999,54.5,"[""TREND_UP"", ""SPACE_OK""]"
002390,信邦制药,3.38,3.3012500000000005,3.8347500000000005,54.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
688381,帝奥微,24.57,24.185166666666667,28.0125,54.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
920809,安达科技,7.65,7.215833333333333,8.7305,54.5,"[""TREND_UP"", ""SPACE_OK""]"
920879,基康技术,22.95,22.878999999999998,26.443,54.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605268,王力安防,10.73,10.643666666666666,11.163,54.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002404,嘉欣丝绸,6.96,6.9399999999999995,7.02725,54.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
605108,同庆楼,19.93,19.888250000000003,20.06325,53.5,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
688146,中船特气,43.36,42.67175,43.81625,53.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
688584,上海合晶,23.17,22.914416666666668,24.21,53.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
000972,*ST中基,4.0,3.8910833333333334,4.106,53.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002186,全 聚 德,12.14,11.939,12.18,53.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
000428,华天酒店,3.45,3.4210000000000003,3.793,53.0,"[""PULLBACK"", ""AT_SUPPORT""]"
300194,福安药业,4.62,4.581,4.643000000000001,53.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002059,云南旅游,5.65,5.60675,5.90775,53.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
000788,北大医药,6.74,6.63875,7.34375,53.0,"[""PULLBACK"", ""AT_SUPPORT""]"
002632,道明光学,13.01,12.061333333333334,13.45,52.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
301259,艾布鲁,36.27,35.41,44.506,52.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300869,康泰医学,16.3,16.201,19.042499999999997,52.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300752,隆利科技,19.55,19.459,25.963,52.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300482,万孚生物,21.4,21.14125,24.216250000000002,52.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605318,法狮龙,59.38,58.3,65.58,52.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
920826,盖世食品,14.17,14.0625,14.6125,52.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
603757,大元泵业,42.85,42.147999999999996,48.98,52.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
688359,三孚新科,68.89,67.63,69.15,52.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
920419,路斯股份,16.89,16.2925,21.3195,52.0,"[""PULLBACK"", ""SPACE_OK""]"
300179,四方达,16.05,15.5975,16.0965,52.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002474,榕基软件,10.65,9.7235,11.279,52.0,"[""TREND_UP""]"
000701,厦门信达,6.9,6.711833333333333,6.90175,52.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300402,宝色股份,22.68,21.750666666666667,23.88,52.0,"[""TREND_UP""]"
000833,粤桂股份,20.35,19.066666666666666,21.7,52.0,"[""TREND_UP""]"
300560,中富通,18.97,17.60125,20.091250000000002,52.0,"[""TREND_UP""]"
300497,富祥药业,16.02,14.465499999999999,16.345750000000002,52.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
300893,松原安全,24.91,24.851666666666667,30.40175,51.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002037,保利联合,9.73,9.45,15.0015,51.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002728,特一药业,11.68,10.528333333333332,14.360000000000001,51.5,"[""PULLBACK"", ""SPACE_OK""]"
603609,禾丰股份,7.23,7.07325,8.92125,51.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605319,无锡振华,22.0,21.389499999999998,35.17675,51.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603538,美诺华,20.93,20.868166666666664,26.5825,51.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
600812,华北制药,5.66,5.619249999999999,6.91275,51.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
301622,英思特,67.71,66.5,91.98249999999999,51.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002550,千红制药,8.26,7.82,10.1145,51.0,"[""PULLBACK"", ""SPACE_OK""]"
301207,华兰疫苗,20.15,19.793666666666663,23.18125,50.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300598,诚迈科技,50.48,45.82,57.118750000000006,50.5,"[""PULLBACK"", ""SPACE_OK""]"
600981,苏豪汇鸿,3.3,3.1689999999999996,3.32375,50.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
600794,保税科技,3.96,3.92675,4.54175,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
600439,瑞贝卡,2.86,2.74,3.1587500000000004,50.0,"[""PULLBACK"", ""SPACE_OK""]"
600396,华电辽能,2.98,2.9450000000000003,3.359,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002215,诺 普 信,11.19,11.01425,12.779250000000001,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002491,通鼎互联,6.15,5.732833333333334,6.4,50.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
300643,万通智控,20.01,19.827333333333335,22.954,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002348,高乐股份,6.08,5.76,6.33,50.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
300558,贝达药业,51.42,50.85033333333333,68.57124999999999,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002374,中锐股份,3.74,3.503833333333333,3.7715,50.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
603912,佳力图,8.88,8.8,9.8,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605158,华达新材,8.18,7.95125,9.39625,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
920061,西磁科技,31.85,31.358833333333333,40.1205,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
920748,路桥信息,52.7,52.459,58.28,50.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603520,司太立,10.33,10.261000000000001,11.98525,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603900,莱绅通灵,9.36,9.221499999999999,10.595500000000001,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605169,洪通燃气,14.12,13.40175,16.59075,49.5,"[""PULLBACK"", ""SPACE_OK""]"
688366,昊海生科,48.8,48.20516666666666,54.757,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
688373,盟科药业,6.75,6.6785000000000005,7.937,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300021,大禹节水,4.9,4.83375,5.49625,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300859,西域旅游,39.49,38.59325,44.740750000000006,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002688,金河生物,6.26,6.194999999999999,7.1975,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300705,九典制药,16.0,14.98,17.678,49.5,"[""PULLBACK"", ""SPACE_OK""]"
300701,森霸传感,13.5,12.871999999999998,13.637999999999998,49.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
002721,金一文化,3.38,3.3440000000000003,3.9560000000000004,49.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300233,金城医药,15.67,13.88,18.384999999999998,49.5,"[""PULLBACK"", ""SPACE_OK""]"
301357,北方长龙,145.02,141.74975,162.53,48.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603230,内蒙新华,13.06,12.837416666666666,13.22,48.5,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
603366,日出东方,9.93,9.916166666666667,9.99,48.5,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
920106,林泰新材,81.5,80.226,90.0,48.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
601718,际华集团,3.52,3.495,3.9030000000000005,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603258,电魂网络,20.68,20.655083333333334,22.92675,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603378,亚士创能,7.0,6.549166666666666,7.0600000000000005,47.5,"[""PULLBACK"", ""NEAR_RESISTANCE""]"
603605,珀莱雅,70.58,70.36025,82.16375,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605500,森林包装,9.07,9.061499999999999,10.1,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
688699,明微电子,46.77,43.962666666666664,47.02125,47.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
920267,鑫汇科,24.53,22.23,29.655,47.5,"[""PULLBACK"", ""SPACE_OK""]"
920454,同心传动,17.39,17.063,21.473750000000003,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002418,康盛股份,5.03,4.889166666666666,5.055,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600586,金晶科技,6.2,5.826,6.538499999999999,47.5,"[""TREND_UP""]"
600302,标准股份,10.69,10.002333333333334,10.90825,47.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
301349,信德新材,49.5,48.7155,58.83775,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
301181,标榜股份,45.55,41.7,48.0,47.5,"[""TREND_UP""]"
002667,威领股份,14.24,13.767,14.28,47.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
301024,霍普股份,37.29,34.52,46.8685,47.5,"[""PULLBACK"", ""SPACE_OK""]"
300787,海能实业,12.18,12.127833333333333,15.280750000000001,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
300732,设研院,7.82,7.38,10.765,47.5,"[""PULLBACK"", ""SPACE_OK""]"
002321,华英农业,2.4,2.3389999999999995,2.885,47.5,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
000798,中水渔业,11.38,10.731,11.822500000000002,47.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
002337,赛象科技,6.62,6.348333333333333,6.81,47.5,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
000010,美丽生态,3.73,3.4475,3.8594999999999997,47.0,"[""PULLBACK"", ""NEAR_RESISTANCE""]"
002140,东华科技,11.66,11.622666666666667,11.93,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600830,香溢融通,9.82,9.7975,10.16,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600822,上海物贸,11.3,11.202,12.3125,47.0,"[""PULLBACK"", ""AT_SUPPORT""]"
300135,宝利国际,4.12,4.1115,4.18,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300256,星星科技,4.24,4.185666666666667,4.24475,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600604,市北高新,5.96,5.936249999999999,6.13525,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600400,红豆股份,2.49,2.4707500000000002,2.55,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600203,福日电子,13.55,13.504000000000001,13.63,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
001296,长江材料,27.9,26.0575,27.91225,47.0,"[""TREND_UP"", ""NEAR_RESISTANCE""]"
600168,武汉控股,5.18,5.17025,5.27475,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600117,西宁特钢,2.96,2.8787499999999997,3.03,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300217,东方电热,5.43,5.417916666666667,5.96875,47.0,"[""PULLBACK"", ""AT_SUPPORT""]"
300042,朗科科技,28.46,27.43091666666667,29.9,47.0,"[""PULLBACK""]"
002225,濮耐股份,6.02,5.984500000000001,6.1035,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002227,奥 特 迅,12.81,11.92,13.434999999999999,47.0,"[""PULLBACK"", ""NEAR_RESISTANCE""]"
000558,天府文旅,5.36,5.06,5.87875,47.0,"[""PULLBACK""]"
002229,鸿博股份,17.08,16.92425,18.75025,47.0,"[""PULLBACK"", ""AT_SUPPORT""]"
000565,渝三峡Ａ,7.76,7.28,8.11,47.0,"[""PULLBACK"", ""NEAR_RESISTANCE""]"
301487,盟固利,22.92,22.393250000000002,22.95,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
301379,天山电子,27.95,27.658833333333334,28.48,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600419,天润乳业,10.05,9.927666666666665,10.158999999999999,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
301311,昆船智能,19.46,19.416333333333334,19.81225,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
301260,格力博,17.55,17.413,18.0,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
301251,威尔高,56.85,55.39149999999999,57.0,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
301116,益客食品,11.18,11.03125,11.45625,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002826,易明医药,18.77,18.59625,19.37,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002830,名雕股份,20.1,19.031000000000002,22.030749999999998,47.0,"[""TREND_UP""]"
300340,科恒股份,12.63,12.5785,12.99,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
002267,陕天然气,7.68,7.5535,8.098500000000001,47.0,"[""PULLBACK"", ""AT_SUPPORT""]"
300985,致远新能,18.93,18.1,19.85,47.0,"[""PULLBACK"", ""NEAR_RESISTANCE""]"
300981,中红医疗,13.61,12.91,14.838750000000001,47.0,"[""PULLBACK""]"
300894,火星人,12.51,12.29775,13.08,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300891,惠云钛业,9.38,9.26,9.44,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300852,四会富仕,38.56,38.35325,39.26774999999999,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300813,泰林生物,27.0,24.68875,32.716750000000005,47.0,"[""PULLBACK"", ""SPACE_OK""]"
002077,大港股份,15.55,15.32,15.88,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300066,三川智慧,6.76,6.669666666666667,6.77,47.0,"[""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
