stock_code,name,close,support_level,resistance_level,total_score,status_tags
600067,冠城新材,4.37,4.272500000000001,4.8575,70.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
920809,安达科技,7.76,7.1875,8.7305,67.0,"[""TREND_UP"", ""SPACE_OK""]"
600467,好当家,2.67,2.6523333333333334,2.75,66.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
600327,大东方,5.18,5.119833333333334,5.49775,65.0,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT""]"
000639,西王食品,3.38,3.370833333333333,3.6239999999999997,63.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT""]"
002037,保利联合,9.8,9.45,15.0015,62.0,"[""PULLBACK"", ""SPACE_OK""]"
002269,美邦服饰,2.01,1.9627500000000002,2.3737500000000002,62.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
002589,瑞康医药,3.83,3.28,4.45,62.0,"[""TREND_UP"", ""SPACE_OK""]"
002728,特一药业,11.77,10.83,14.360000000000001,62.0,"[""PULLBACK"", ""SPACE_OK""]"
300893,松原安全,24.92,23.52,30.40175,62.0,"[""PULLBACK"", ""SPACE_OK""]"
600812,华北制药,5.73,5.619249999999999,6.91275,62.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
605169,洪通燃气,13.71,13.316500000000001,17.0755,62.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
920174,五新隧装,50.15,47.9,63.38375,62.0,"[""PULLBACK"", ""SPACE_OK""]"
002398,垒知集团,5.96,5.9495,6.1915,61.5,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]"
300911,亿田智能,37.31,36.27166666666667,53.07249999999999,60.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
301188,力诺药包,18.61,18.599666666666668,22.26375,60.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
603538,美诺华,21.18,20.882333333333335,26.5825,60.0,"[""PULLBACK"", ""AT_SUPPORT"", ""SPACE_OK""]"
