操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,总资产
2025-01-06,09:30:00,785,居然智家,buy,4.120,9995.00
2025-01-07,15:00:00,785,居然智家,sell,4.030,9774.00
2025-01-13,09:30:00,2571,德力股份,buy,5.570,9769.00
2025-01-14,15:00:00,2571,德力股份,sell,4.950,8710.00
2025-01-16,09:30:00,2164,宁波东力,buy,6.330,8705.00
2025-01-17,15:00:00,2164,宁波东力,sell,6.330,8700.00
2025-01-22,09:30:00,2691,冀凯股份,buy,7.510,8695.00
2025-01-24,15:00:00,2691,冀凯股份,sell,7.590,8778.00
2025-02-05,09:30:00,856,冀东装备,buy,11.460,8773.00
2025-02-06,15:00:00,856,冀东装备,sell,11.230,8607.00
2025-02-11,09:30:00,600178,东安动力,buy,12.770,8602.00
2025-02-12,15:00:00,600178,东安动力,sell,12.700,8555.00
2025-02-14,09:30:00,2123,梦网科技,buy,22.850,8550.00
2025-02-17,15:00:00,2123,梦网科技,sell,20.570,7861.00
2025-02-19,09:30:00,761,本钢板材,buy,3.860,7856.00
2025-02-20,15:00:00,761,本钢板材,sell,3.700,7531.00
2025-02-24,09:30:00,2261,拓维信息,buy,42.150,7526.00
2025-02-25,15:00:00,2261,拓维信息,sell,37.370,7043.00
2025-02-28,09:30:00,301003,江苏博云,buy,31.177,7038.00
2025-03-03,15:00:00,301003,江苏博云,sell,26.933,6184.18
2025-03-06,09:30:00,605066,天正电气,buy,9.672,6179.18
2025-03-07,15:00:00,605066,天正电气,sell,8.773,5634.46
2025-03-11,09:30:00,2760,凤形股份,buy,25.000,5629.46
2025-03-12,15:00:00,2760,凤形股份,sell,25.700,5764.46
2025-03-17,09:30:00,300065,海兰信,buy,16.500,5759.46
2025-03-18,15:00:00,300065,海兰信,sell,17.300,5994.46
2025-03-20,09:30:00,2342,巨力索具,buy,5.390,5989.46
2025-03-24,15:00:00,2342,巨力索具,sell,6.290,6974.46
2025-03-27,09:30:00,600610,中毅达,buy,11.170,6969.46
2025-03-28,15:00:00,600610,中毅达,sell,10.490,6556.46
2025-04-01,09:30:00,603579,荣泰健康,buy,28.562,6551.46
2025-04-02,15:00:00,603579,荣泰健康,sell,23.302,5494.61
2025-04-08,09:30:00,300967,晓鸣股份,buy,20.681,5489.61
2025-04-10,15:00:00,300967,晓鸣股份,sell,23.491,6046.65
2025-04-14,09:30:00,2286,保龄宝,buy,8.361,6041.65
2025-04-15,15:00:00,2286,保龄宝,sell,7.963,5757.96
2025-04-17,09:30:00,300605,恒锋信息,buy,14.860,5752.96
2025-04-18,15:00:00,300605,恒锋信息,sell,14.430,5618.96
2025-04-22,09:30:00,2629,仁智股份,buy,5.710,5613.96
