操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,总资产
2025-01-08,09:30:00,2346,柘中股份,buy,11.575,9995.00
2025-01-09,15:00:00,2346,柘中股份,sell,11.227,9711.51
2025-01-14,09:30:00,600507,方大特钢,buy,4.507,9706.51
2025-01-15,15:00:00,600507,方大特钢,sell,4.219,9096.88
2025-01-17,09:30:00,2212,天融信,buy,6.792,9091.88
2025-01-20,15:00:00,2212,天融信,sell,6.732,9009.09
2025-01-23,09:30:00,600936,北投科技,buy,3.670,9004.09
2025-01-24,15:00:00,600936,北投科技,sell,3.030,7463.09
2025-02-06,09:30:00,600797,浙大网新,buy,7.420,7458.09
2025-02-07,15:00:00,600797,浙大网新,sell,7.640,7673.09
2025-02-11,09:30:00,600178,东安动力,buy,12.770,7668.09
2025-02-12,15:00:00,600178,东安动力,sell,12.700,7621.09
2025-02-14,09:30:00,300027,华谊兄弟,buy,3.460,7616.09
2025-02-17,15:00:00,300027,华谊兄弟,sell,3.010,6621.09
2025-02-19,09:30:00,761,本钢板材,buy,3.860,6616.09
2025-02-20,15:00:00,761,本钢板材,sell,3.700,6339.09
2025-02-24,09:30:00,2261,拓维信息,buy,42.150,6334.09
2025-02-25,15:00:00,2261,拓维信息,sell,37.370,5851.09
2025-02-27,09:30:00,300083,创世纪,buy,9.800,5846.09
2025-02-28,15:00:00,300083,创世纪,sell,9.190,5536.09
2025-03-04,09:30:00,2942,新农股份,buy,16.718,5531.09
2025-03-05,15:00:00,2942,新农股份,sell,15.961,5298.92
2025-03-07,09:30:00,2105,信隆健康,buy,7.280,5293.92
2025-03-11,15:00:00,2105,信隆健康,sell,9.340,6730.92
2025-03-13,09:30:00,603716,塞力医疗,buy,12.750,6725.92
2025-03-14,15:00:00,603716,塞力医疗,sell,13.420,7055.92
2025-03-18,09:30:00,300191,潜能恒信,buy,18.170,7050.92
2025-03-19,15:00:00,300191,潜能恒信,sell,18.010,6997.92
2025-03-21,09:30:00,1268,联合精密,buy,25.478,6992.92
2025-03-24,15:00:00,1268,联合精密,sell,21.695,6231.43
2025-03-27,09:30:00,600610,中毅达,buy,11.170,6226.43
2025-03-28,15:00:00,600610,中毅达,sell,10.490,5881.43
2025-04-01,09:30:00,688117,圣诺生物,buy,20.808,5876.43
2025-04-02,15:00:00,688117,圣诺生物,sell,21.754,6060.72
2025-04-07,09:30:00,301016,雷尔伟,buy,18.499,6055.72
2025-04-08,15:00:00,301016,雷尔伟,sell,19.279,6284.75
2025-04-10,09:30:00,603221,爱丽家居,buy,12.358,6279.75
2025-04-11,15:00:00,603221,爱丽家居,sell,11.207,5699.13
2025-04-15,09:30:00,301209,联合化学,buy,35.654,5694.13
2025-04-16,15:00:00,301209,联合化学,sell,36.666,5790.39
2025-04-18,09:30:00,2165,红宝丽,buy,11.129,5785.39
2025-04-22,15:00:00,2165,红宝丽,sell,13.239,6835.55
2025-04-24,09:30:00,2094,青岛金王,buy,9.000,6830.55
2025-04-25,15:00:00,2094,青岛金王,sell,8.240,6293.55
2025-04-30,09:30:00,688280,精进电动,buy,6.200,6288.55
2025-05-07,15:00:00,688280,精进电动,sell,10.060,10143.55
2025-05-09,09:30:00,600375,汉马科技,buy,6.310,10138.55
2025-05-12,15:00:00,600375,汉马科技,sell,6.120,9829.55
2025-05-14,09:30:00,2331,皖通科技,buy,9.474,9824.55
2025-05-15,15:00:00,2331,皖通科技,sell,8.239,8584.26
2025-05-19,09:30:00,2900,哈三联,buy,13.594,8579.26
2025-05-20,15:00:00,2900,哈三联,sell,13.634,8597.91
2025-05-22,09:30:00,603900,莱绅通灵,buy,10.057,8592.91
2025-05-26,15:00:00,603900,莱绅通灵,sell,12.460,10510.36
2025-05-28,09:30:00,603332,苏州龙杰,buy,19.778,10505.36
2025-05-29,15:00:00,603332,苏州龙杰,sell,18.690,9956.47
2025-06-03,09:30:00,2250,联化科技,buy,9.702,9951.47
2025-06-05,15:00:00,2250,联化科技,sell,11.947,12192.24
2025-06-09,09:30:00,300584,海辰药业,buy,36.000,12187.24
2025-06-11,15:00:00,300584,海辰药业,sell,38.250,12857.24
2025-06-13,09:30:00,600281,华阳新材,buy,6.710,12852.24
2025-06-17,15:00:00,600281,华阳新材,sell,8.450,16153.24
2025-06-19,09:30:00,600110,诺德股份,buy,4.470,16148.24
2025-06-23,15:00:00,600110,诺德股份,sell,5.670,20463.13
2025-06-25,09:30:00,2846,英联股份,buy,17.110,20458.13
2025-06-27,15:00:00,2846,英联股份,sell,19.700,23301.72
2025-07-01,09:30:00,600319,亚星化学,buy,6.430,23295.93
2025-07-03,15:00:00,600319,亚星化学,sell,7.250,26241.41
2025-07-07,09:30:00,2623,亚玛顿,buy,20.370,26235.29
2025-07-09,15:00:00,2623,亚玛顿,sell,25.590,32491.62
2025-07-11,09:30:00,2356,赫美集团,buy,3.790,32483.56
2025-07-14,15:00:00,2356,赫美集团,sell,3.710,31795.68
2025-07-16,09:30:00,601512,中新集团,buy,8.990,31787.81
2025-07-17,15:00:00,601512,中新集团,sell,8.500,30065.38
2025-07-21,09:30:00,2265,建设工业,buy,33.670,30058.64
2025-07-23,15:00:00,2265,建设工业,sell,38.340,33786.97
2025-07-25,09:30:00,2826,易明医药,buy,21.310,33778.98
2025-07-28,15:00:00,2826,易明医药,sell,22.270,35210.63
2025-07-30,09:30:00,688110,东芯股份,buy,49.030,35202.05
2025-08-01,15:00:00,688110,东芯股份,sell,57.400,41051.01
2025-08-05,09:30:00,300584,海辰药业,buy,42.530,41041.44
2025-08-06,15:00:00,300584,海辰药业,sell,44.720,43002.38
2025-08-11,09:30:00,600366,宁波韵升,buy,15.550,42991.88
2025-08-12,15:00:00,600366,宁波韵升,sell,14.310,39634.22
2025-08-14,09:30:00,417,合百集团,buy,6.860,39624.44
2025-08-15,15:00:00,417,合百集团,sell,6.080,35169.78
2025-08-19,09:30:00,2837,英维克,buy,69.000,35161.16
2025-08-20,15:00:00,2837,英维克,sell,69.300,35302.49
2025-08-22,09:30:00,600397,江钨装备,buy,7.350,35293.67
2025-08-25,15:00:00,600397,江钨装备,sell,7.380,35428.82
2025-08-29,09:30:00,603256,宏和科技,buy,47.130,35420.57
2025-09-01,15:00:00,603256,宏和科技,sell,40.750,30947.44
2025-09-08,09:30:00,600376,首开股份,buy,3.370,30939.77
2025-09-10,15:00:00,600376,首开股份,sell,4.680,42850.12
2025-09-12,09:30:00,603516,淳中科技,buy,140.000,42839.62
2025-09-15,15:00:00,603516,淳中科技,sell,140.000,42829.12
2025-09-17,09:30:00,603179,新泉股份,buy,78.520,42819.31
2025-09-18,15:00:00,603179,新泉股份,sell,77.990,42544.56
2025-09-22,09:30:00,2468,申通快递,buy,19.010,42534.10
2025-09-23,15:00:00,2468,申通快递,sell,18.790,42039.77
2025-09-25,09:30:00,688233,神工股份,buy,48.960,42029.98
2025-09-26,15:00:00,688233,神工股份,sell,45.300,39092.92
2025-09-30,09:30:00,688109,品茗科技,buy,90.000,39083.92
2025-10-10,15:00:00,688109,品茗科技,sell,115.000,49072.42
2025-10-14,09:30:00,600382,广东明珠,buy,7.994,49060.23
2025-10-15,15:00:00,600382,广东明珠,sell,7.018,43095.87
2025-10-17,09:30:00,626,远大控股,buy,9.340,43085.12
2025-10-21,15:00:00,626,远大控股,sell,10.730,49466.78
2025-10-23,09:30:00,600172,黄河旋风,buy,8.110,49454.62
2025-10-24,15:00:00,600172,黄河旋风,sell,6.960,42544.18
2025-10-28,09:30:00,2512,达华智能,buy,5.300,42533.58
2025-10-29,15:00:00,2512,达华智能,sell,5.190,41643.20
2025-10-31,09:30:00,600683,京投发展,buy,5.500,41632.89
2025-11-03,15:00:00,600683,京投发展,sell,5.160,39073.21
2025-11-05,09:30:00,572,海马汽车,buy,8.700,39063.64
2025-11-06,15:00:00,572,海马汽车,sell,9.000,40373.74
2025-11-10,09:30:00,2196,方正电机,buy,14.010,40363.94
2025-11-12,15:00:00,2196,方正电机,sell,16.920,48500.09
2025-11-14,09:30:00,688411,海博思创,buy,364.900,48490.97
2025-11-17,15:00:00,688411,海博思创,sell,361.230,48114.94
2025-11-26,09:30:00,688227,品高股份,buy,77.000,48103.39
2025-11-28,15:00:00,688227,品高股份,sell,81.830,50989.11
2025-12-02,09:30:00,2519,银河电子,buy,5.550,50976.49
2025-12-04,15:00:00,2519,银河电子,sell,5.980,54875.88
2025-12-08,09:30:00,603386,骏亚科技,buy,16.700,54862.52
2025-12-10,15:00:00,603386,骏亚科技,sell,18.140,59456.01
2025-12-15,09:30:00,600936,北投科技,buy,4.180,59441.17
2025-12-16,15:00:00,600936,北投科技,sell,4.070,57864.72
2025-12-19,09:30:00,2853,皮阿诺,buy,21.930,57850.47
2025-12-23,15:00:00,2853,皮阿诺,sell,22.800,60097.65
2025-12-25,09:30:00,600783,鲁信创投,buy,19.170,60082.79
2025-12-29,15:00:00,600783,鲁信创投,sell,23.210,72588.80
2025-12-31,09:30:00,688160,步科股份,buy,149.930,72573.81
2026-01-05,15:00:00,688160,步科股份,sell,147.000,71387.11
2026-01-07,09:30:00,300986,志特新材,buy,17.440,71369.67
2026-01-09,15:00:00,300986,志特新材,sell,27.820,112861.85
2026-01-13,09:30:00,300830,金现代,buy,14.500,112833.94
2026-01-14,15:00:00,300830,金现代,sell,14.000,108956.99
2026-01-21,09:30:00,601616,广电电气,buy,5.680,108929.87
2026-01-22,15:00:00,601616,广电电气,sell,5.820,111576.08
2026-01-26,09:30:00,2342,巨力索具,buy,14.520,111548.49
2026-01-27,15:00:00,2342,巨力索具,sell,13.210,101567.39
2026-01-29,09:30:00,300164,通源石油,buy,12.140,101542.20
2026-02-02,15:00:00,300164,通源石油,sell,11.050,92472.27
2026-02-04,09:30:00,301636,泽润新能,buy,78.790,92450.60
2026-02-06,15:00:00,301636,泽润新能,sell,103.890,120032.03
2026-02-10,09:30:00,600683,京投发展,buy,6.400,120002.11
2026-02-12,15:00:00,600683,京投发展,sell,6.930,129880.72
