strategy,signal_date,buy_date,sell_date,stock_code,stock_name,pick_rank,score,raw_prob,board_count,buy_price,sell_price,buy_fee,sell_fee,pnl,pnl_pct,equity_after,sell_logic
selected,2025-01-07,2025-01-08,2025-01-09,002346,柘中股份,1,0.9999976924840475,0.4406929840018744,2,11.57464287,11.22653331,5.0,5.0,-288.48764800000026,-0.03113832102999156,9711.512352,T+2收盘上涨-3.01%未触发延长，T+2收盘卖出
selected,2025-01-13,2025-01-14,2025-01-15,600507,方大特钢,1,0.999999999999958,0.5181190671674047,1,4.50741642,4.21949775,5.0,5.0,-614.629207,-0.06489883038966421,9096.883145,T+2收盘上涨-6.39%未触发延长，T+2收盘卖出
selected,2025-01-16,2025-01-17,2025-01-20,002212,天融信,1,0.5653872986521997,0.30131013674332696,1,6.7918854,6.732045,5.0,5.0,-87.79252000000088,-0.009937518449222311,9009.090624999999,T+2收盘上涨-0.88%未触发延长，T+2收盘卖出
selected,2025-01-22,2025-01-23,2025-01-24,600936,北投科技,1,0.9999999997508299,0.4841396638741151,3,3.67,3.03,5.0,5.0,-1546.000000000001,-0.17542267105412468,7463.090624999998,T+2收盘上涨-17.44%未触发延长，T+2收盘卖出
selected,2025-02-05,2025-02-06,2025-02-07,600797,浙大网新,1,0.9999999999994885,0.5075468416556795,1,7.42,7.64,5.0,5.0,210.0,0.028282828282828285,7673.090624999998,T+2收盘上涨2.96%未触发延长，T+2收盘卖出
selected,2025-02-10,2025-02-11,2025-02-12,600178,东安动力,1,0.9999999999917414,0.49576201010681653,1,12.77,12.7,5.0,5.0,-52.0,-0.0067823138124429375,7621.090624999998,T+2收盘上涨-0.55%未触发延长，T+2收盘卖出
selected,2025-02-13,2025-02-14,2025-02-17,300027,华谊兄弟,2,0.999999982671605,0.4666246469735326,1,3.46,3.01,5.0,5.0,-1000.0000000000009,-0.1312852829197848,6621.090624999997,T+2收盘上涨-13.01%未触发延长，T+2收盘卖出
selected,2025-02-18,2025-02-19,2025-02-20,000761,本钢板材,1,0.9999999123488466,0.4581371234296994,1,3.86,3.7,5.0,5.0,-282.0,-0.0429419826404751,6339.090624999997,T+2收盘上涨-4.15%未触发延长，T+2收盘卖出
selected,2025-02-21,2025-02-24,2025-02-25,002261,拓维信息,1,0.9984848920004139,0.39170545049444944,1,42.15,37.37,5.0,5.0,-488.0,-0.11563981042654028,5851.090624999997,T+2收盘上涨-11.34%未触发延长，T+2收盘卖出
selected,2025-02-26,2025-02-27,2025-02-28,300083,创世纪,2,0.9912899964724375,0.3743794137580398,1,9.8,9.19,5.0,5.0,-315.0,-0.06422018348623854,5536.090624999997,T+2收盘上涨-6.22%未触发延长，T+2收盘卖出
selected,2025-03-03,2025-03-04,2025-03-05,002942,新农股份,1,0.9999999999995925,0.5083171805099433,1,16.718225,15.96098775,5.0,5.0,-237.1711750000004,-0.04724085456185115,5298.919449999997,T+2收盘上涨-4.53%未触发延长，T+2收盘卖出
selected,2025-03-06,2025-03-07,2025-03-11,002105,信隆健康,1,0.9999999999999772,0.5201328276275514,3,7.28,9.34,5.0,5.0,1432.0,0.28072926877082927,6730.919449999997,T+2收盘上涨16.62%>=6%，延长到T+3收盘卖出
selected,2025-03-12,2025-03-13,2025-03-14,603716,塞力医疗,2,0.9999999982562047,0.47617560974420925,3,12.75,13.42,5.0,5.0,325.0,0.050940438871473356,7055.919449999997,T+2收盘上涨5.25%未触发延长，T+2收盘卖出
selected,2025-03-17,2025-03-18,2025-03-19,300191,潜能恒信,1,1.0,0.5677600404613157,1,18.17,18.01,5.0,5.0,-58.0,-0.010630498533724338,6997.919449999997,T+2收盘上涨-0.88%未触发延长，T+2收盘卖出
selected,2025-03-20,2025-03-21,2025-03-24,001268,联合精密,2,0.9999995379288138,0.4498213576470277,2,25.477686,21.69522954,5.0,5.0,-766.4912919999997,-0.1502765810628731,6231.428157999997,T+2收盘上涨-14.85%未触发延长，T+2收盘卖出
selected,2025-03-26,2025-03-27,2025-03-28,600610,中毅达,1,0.9999999995514615,0.48204236964100144,3,11.17,10.49,5.0,5.0,-350.0,-0.0626118067978533,5881.428157999997,T+2收盘上涨-6.09%未触发延长，T+2收盘卖出
selected,2025-03-31,2025-04-01,2025-04-02,688117,圣诺生物,2,0.9999999999999999,0.5482924234599152,1,20.80794424,21.75440682,5.0,5.0,179.29251599999952,0.04303100750775098,6060.7206739999965,T+2收盘上涨4.55%未触发延长，T+2收盘卖出
selected,2025-04-03,2025-04-07,2025-04-08,301016,雷尔伟,2,0.9999999999999984,0.5355865311879168,1,18.49911968,19.27920304,5.0,5.0,224.02500799999962,0.04033045168514273,6284.745681999996,T+2收盘上涨4.22%未触发延长，T+2收盘卖出
selected,2025-04-09,2025-04-10,2025-04-11,603221,爱丽家居,1,1.0,0.6836275741437599,1,12.35849992,11.20727023,5.0,5.0,-585.6148450000001,-0.09469456260464608,5699.130836999996,T+2收盘上涨-9.32%未触发延长，T+2收盘卖出
selected,2025-04-14,2025-04-15,2025-04-16,301209,联合化学,1,0.859385152227006,0.3340937278172335,1,35.6536,36.66616224,5.0,5.0,91.25622399999975,0.025559390089514713,5790.387060999996,T+2收盘上涨2.84%未触发延长，T+2收盘卖出
selected,2025-04-17,2025-04-18,2025-04-22,002165,红宝丽,2,0.9999999999999883,0.5242370768376288,3,11.12895212,13.2392722,5.0,5.0,1045.1600399999998,0.18765859279050384,6835.547100999996,T+2收盘上涨8.14%>=6%，延长到T+3收盘卖出
selected,2025-04-23,2025-04-24,2025-04-25,002094,青岛金王,1,1.0,0.5510101023200675,3,9.0,8.24,5.0,5.0,-542.0,-0.0859635210150674,6293.547100999996,T+2收盘上涨-8.44%未触发延长，T+2收盘卖出
selected,2025-04-29,2025-04-30,2025-05-07,688280,精进电动,1,0.9999999999986946,0.5037195159640325,1,6.2,10.06,5.0,5.0,3850.000000000001,0.6204673650282032,10143.547100999996,T+2收盘上涨35.16%>=6%，延长到T+3收盘卖出
selected,2025-05-08,2025-05-09,2025-05-12,600375,汉马科技,1,0.9999999999966733,0.4999959778052757,1,6.31,6.12,5.0,5.0,-314.0,-0.031086031086031085,9829.547100999996,T+2收盘上涨-3.01%未触发延长，T+2收盘卖出
selected,2025-05-13,2025-05-14,2025-05-15,002331,皖通科技,1,0.9999999999921748,0.4958865362182727,1,9.47389053,8.23859881,5.0,5.0,-1245.291720000001,-0.13137526127754542,8584.255380999995,T+2收盘上涨-13.04%未触发延长，T+2收盘卖出
selected,2025-05-16,2025-05-19,2025-05-20,002900,哈三联,2,0.9999161124332344,0.4152876575959561,2,13.59426474,13.63369698,5.0,5.0,13.659343999999692,0.0016736194961139573,8597.914724999995,T+2收盘上涨0.29%未触发延长，T+2收盘卖出
selected,2025-05-21,2025-05-22,2025-05-26,603900,莱绅通灵,3,0.9999999999998848,0.5126728979361043,2,10.05725538,12.4603164,5.0,5.0,1912.4488159999983,0.23754754727422797,10510.363540999993,T+2收盘上涨12.59%>=6%，延长到T+3收盘卖出
selected,2025-05-27,2025-05-28,2025-05-29,603332,苏州龙杰,2,0.9999999999997391,0.5097362447314839,3,19.77778,18.6900021,5.0,5.0,-553.8889499999987,-0.05598292986883811,9956.474590999995,T+2收盘上涨-5.50%未触发延长，T+2收盘卖出
selected,2025-05-30,2025-06-03,2025-06-05,002250,联化科技,1,1.0,0.6023661744364621,2,9.70169724,11.94746049,5.0,5.0,2235.76325,0.23033202692123939,12192.237840999995,T+2收盘上涨11.93%>=6%，延长到T+3收盘卖出
selected,2025-06-06,2025-06-09,2025-06-11,300584,海辰药业,1,1.0,0.554298619280346,1,36.0,38.25,5.0,5.0,665.0,0.06154558074965294,12857.237840999995,T+2收盘上涨17.42%>=6%，延长到T+3收盘卖出
selected,2025-06-12,2025-06-13,2025-06-17,600281,华阳新材,1,0.9999999999999887,0.5244121050590758,2,6.71,8.45,5.0,5.0,3295.999999999998,0.25842872824212,16153.237840999993,T+2收盘上涨14.46%>=6%，延长到T+3收盘卖出
selected,2025-06-18,2025-06-19,2025-06-23,600110,诺德股份,1,0.9743878066687333,0.3616475272546248,2,4.47,5.67,5.0,5.103,4309.897000000003,0.2677453562775674,20463.134840999996,T+2收盘上涨15.21%>=6%，延长到T+3收盘卖出
selected,2025-06-24,2025-06-25,2025-06-27,002846,英联股份,2,0.9999999999997955,0.5106896245548511,3,17.11,19.7,5.0,5.4175,2838.5825000000004,0.1507799054499097,23301.717340999996,T+2收盘上涨10.05%>=6%，延长到T+3收盘卖出
selected,2025-06-30,2025-07-01,2025-07-03,600319,亚星化学,1,0.9999999999119437,0.48753892817998856,1,6.43,7.25,5.787,6.525,2939.6879999999983,0.12696359347177194,26241.405340999994,T+2收盘上涨22.86%>=6%，延长到T+3收盘卖出
selected,2025-07-04,2025-07-07,2025-07-09,002623,亚玛顿,2,0.9999999999999973,0.5330123421935224,3,20.37,25.59,6.111,7.6770000000000005,6250.2119999999995,0.25563123210360883,32491.617340999994,T+2收盘上涨20.86%>=6%，延长到T+3收盘卖出
selected,2025-07-10,2025-07-11,2025-07-14,002356,赫美集团,3,0.999997885417846,0.441206062147429,2,3.79,3.71,8.05375,7.88375,-695.9375,-0.021597502998920454,31795.679840999994,T+2收盘上涨-2.11%未触发延长，T+2收盘卖出
selected,2025-07-15,2025-07-16,2025-07-17,601512,中新集团,1,0.9999999999987086,0.5037569938326732,1,8.99,8.5,7.86625,7.4375,-1730.3037499999991,-0.054977634901619395,30065.376090999995,T+2收盘上涨-5.45%未触发延长，T+2收盘卖出
selected,2025-07-18,2025-07-21,2025-07-23,002265,建设工业,1,0.9963883942884799,0.38338066429918,2,33.67,38.34,6.734,7.668000000000001,3721.598000000009,0.13812993143160635,33786.974091000004,T+2收盘上涨17.34%>=6%，延长到T+3收盘卖出
