操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,总资产
2020-02-11,09:30:00,2505,鹏都农牧,buy,1.800,9995.00
2020-02-12,15:00:00,2505,鹏都农牧,sell,1.710,9495.00
2020-02-18,09:30:00,2013,中航机电,buy,7.680,9490.00
2020-02-19,15:00:00,2013,中航机电,sell,7.710,9520.22
2020-02-27,09:30:00,2505,鹏都农牧,buy,1.900,9515.22
2020-02-28,15:00:00,2505,鹏都农牧,sell,1.840,9210.22
2020-03-06,09:30:00,2505,鹏都农牧,buy,2.070,9205.22
2020-03-09,15:00:00,2505,鹏都农牧,sell,2.120,9420.22
2020-03-25,09:30:00,600297,广汇汽车,buy,4.250,9415.22
2020-03-26,15:00:00,600297,广汇汽车,sell,4.130,9146.22
2020-04-08,09:30:00,2505,鹏都农牧,buy,2.370,9141.22
2020-04-09,15:00:00,2505,鹏都农牧,sell,2.390,9212.22
2020-04-24,09:30:00,2505,鹏都农牧,buy,2.450,9207.22
2020-04-27,15:00:00,2505,鹏都农牧,sell,2.460,9239.22
2020-04-29,09:30:00,2505,鹏都农牧,buy,2.710,9234.22
2020-04-30,15:00:00,2505,鹏都农牧,sell,2.520,8583.22
2020-05-07,09:30:00,2505,鹏都农牧,buy,2.810,8578.22
2020-05-08,15:00:00,2505,鹏都农牧,sell,2.800,8543.22
2020-06-04,09:30:00,600321,正源股份,buy,2.120,8538.22
2020-06-05,15:00:00,600321,正源股份,sell,2.130,8573.03
2020-06-11,09:30:00,600723,首商股份,buy,6.992,8568.03
2020-06-15,15:00:00,600723,首商股份,sell,8.233,10051.99
2020-07-01,09:30:00,600723,首商股份,buy,8.292,10046.99
2020-07-02,15:00:00,600723,首商股份,sell,8.311,10065.63
2020-07-07,09:30:00,2013,中航机电,buy,9.001,10060.63
2020-07-09,15:00:00,2013,中航机电,sell,10.430,11626.94
2020-07-14,09:30:00,600723,首商股份,buy,12.575,11621.94
2020-07-15,15:00:00,600723,首商股份,sell,12.900,11909.41
2020-08-04,09:30:00,600297,广汇汽车,buy,4.420,11904.41
2020-08-05,15:00:00,600297,广汇汽车,sell,4.340,11691.41
2020-08-21,09:30:00,600321,正源股份,buy,2.350,11686.41
2020-08-24,15:00:00,600321,正源股份,sell,2.190,10897.41
2020-08-26,09:30:00,600321,正源股份,buy,2.460,10892.41
2020-08-27,15:00:00,600321,正源股份,sell,2.330,10315.41
2020-10-22,09:30:00,600297,广汇汽车,buy,3.790,10310.41
2020-10-23,15:00:00,600297,广汇汽车,sell,3.870,10521.41
2020-11-16,09:30:00,600321,正源股份,buy,2.880,10516.41
2020-11-17,15:00:00,600321,正源股份,sell,2.850,10403.41
2020-12-09,09:30:00,861,海印股份,buy,2.975,10398.41
2020-12-10,15:00:00,861,海印股份,sell,2.856,9987.43
2021-01-04,09:30:00,2013,中航机电,buy,11.802,9982.43
2021-01-06,15:00:00,2013,中航机电,sell,13.188,11086.77
2021-02-03,09:30:00,600723,首商股份,buy,9.980,11081.77
2021-02-04,15:00:00,600723,首商股份,sell,8.820,9800.77
2021-02-19,09:30:00,600723,首商股份,buy,8.900,9795.77
2021-02-22,15:00:00,600723,首商股份,sell,8.910,9801.77
2021-02-24,09:30:00,2013,中航机电,buy,12.893,9796.77
2021-02-25,15:00:00,2013,中航机电,sell,12.510,9523.29
2021-03-03,09:30:00,600321,正源股份,buy,2.030,9518.29
2021-03-04,15:00:00,600321,正源股份,sell,2.080,9743.29
2021-04-02,09:30:00,600297,广汇汽车,buy,2.840,9738.29
2021-04-07,15:00:00,600297,广汇汽车,sell,2.930,10039.29
2021-04-29,09:30:00,600321,正源股份,buy,2.230,10034.29
2021-04-30,15:00:00,600321,正源股份,sell,2.220,9985.29
2021-05-27,09:30:00,600321,正源股份,buy,2.480,9980.29
2021-05-28,15:00:00,600321,正源股份,sell,2.580,10375.29
2021-06-15,09:30:00,982,中银绒业,buy,2.080,10370.29
2021-06-16,15:00:00,982,中银绒业,sell,2.050,10218.29
2021-06-18,09:30:00,982,中银绒业,buy,2.250,10213.29
2021-06-22,15:00:00,982,中银绒业,sell,2.810,12728.29
2021-07-08,09:30:00,982,中银绒业,buy,2.630,12723.29
2021-07-09,15:00:00,982,中银绒业,sell,2.610,12622.29
2021-08-06,09:30:00,600723,首商股份,buy,8.030,12617.29
2021-08-09,15:00:00,600723,首商股份,sell,8.250,12942.29
2021-08-27,09:30:00,982,中银绒业,buy,2.450,12937.29
2021-08-30,15:00:00,982,中银绒业,sell,2.590,13660.29
2021-09-27,09:30:00,982,中银绒业,buy,3.050,13655.29
2021-09-28,15:00:00,982,中银绒业,sell,2.860,12814.29
2021-10-11,09:30:00,2505,鹏都农牧,buy,2.790,12809.29
2021-10-13,15:00:00,2505,鹏都农牧,sell,3.030,13884.29
2021-11-03,09:30:00,982,中银绒业,buy,2.820,13879.29
2021-11-04,15:00:00,982,中银绒业,sell,2.920,14364.29
2021-11-18,09:30:00,982,中银绒业,buy,3.350,14359.29
2021-11-22,15:00:00,982,中银绒业,sell,3.620,15488.29
2021-11-24,09:30:00,982,中银绒业,buy,4.100,15483.29
2021-11-25,15:00:00,982,中银绒业,sell,3.650,13813.29
2021-11-29,09:30:00,861,海印股份,buy,2.780,13808.29
2021-11-30,15:00:00,861,海印股份,sell,2.910,14440.29
2022-01-04,09:30:00,982,中银绒业,buy,3.400,14435.29
2022-01-05,15:00:00,982,中银绒业,sell,3.320,14094.29
2022-01-17,09:30:00,2505,鹏都农牧,buy,3.880,14089.29
2022-01-18,15:00:00,2505,鹏都农牧,sell,3.520,12788.29
2022-02-17,09:30:00,861,海印股份,buy,3.160,12783.29
2022-02-18,15:00:00,861,海印股份,sell,3.150,12738.29
2022-03-21,09:30:00,861,海印股份,buy,3.500,12733.29
2022-03-22,15:00:00,861,海印股份,sell,3.640,13232.29
2022-05-05,09:30:00,2505,鹏都农牧,buy,2.640,13227.29
2022-05-06,15:00:00,2505,鹏都农牧,sell,2.770,13872.29
2022-06-02,09:30:00,600297,广汇汽车,buy,2.770,13867.29
2022-06-06,15:00:00,600297,广汇汽车,sell,2.720,13612.29
2022-06-09,09:30:00,982,中银绒业,buy,2.220,13607.29
2022-06-10,15:00:00,982,中银绒业,sell,2.100,12870.29
2022-06-14,09:30:00,982,中银绒业,buy,2.370,12865.29
2022-06-15,15:00:00,982,中银绒业,sell,2.260,12266.29
2022-07-19,09:30:00,600297,广汇汽车,buy,2.700,12261.29
2022-07-20,15:00:00,600297,广汇汽车,sell,2.610,11851.29
2022-07-26,09:30:00,600321,正源股份,buy,2.260,11846.29
2022-07-27,15:00:00,600321,正源股份,sell,2.150,11269.29
2022-12-01,09:30:00,666,经纬纺机,buy,9.938,11264.29
2022-12-02,15:00:00,666,经纬纺机,sell,10.276,11630.99
2022-12-06,09:30:00,666,经纬纺机,buy,11.926,11625.99
2022-12-07,15:00:00,666,经纬纺机,sell,9.909,9805.23
2023-01-16,09:30:00,2505,鹏都农牧,buy,2.760,9800.23
2023-01-17,15:00:00,2505,鹏都农牧,sell,2.840,10075.23
2023-02-02,09:30:00,600297,广汇汽车,buy,2.300,10070.23
2023-02-03,15:00:00,600297,广汇汽车,sell,2.290,10022.23
2023-07-26,09:30:00,600321,正源股份,buy,2.010,10017.23
2023-07-27,15:00:00,600321,正源股份,sell,1.900,9473.23
2023-07-31,09:30:00,861,海印股份,buy,2.350,9468.23
2023-08-01,15:00:00,861,海印股份,sell,2.310,9303.23
