操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,总资产
2020-06-05,09:30:00,600321,正源股份,buy,2.189,9995.00
2020-06-08,15:00:00,600321,正源股份,sell,2.050,9363.04
2020-07-10,09:30:00,600723,首商股份,buy,9.946,9358.04
2020-07-14,15:00:00,600723,首商股份,sell,11.729,10957.22
2020-11-16,09:30:00,600321,正源股份,buy,2.880,10952.22
2020-11-17,15:00:00,600321,正源股份,sell,2.850,10833.22
2021-01-05,09:30:00,2013,中航机电,buy,12.795,10828.22
2021-01-06,15:00:00,2013,中航机电,sell,13.188,11137.93
2021-05-28,09:30:00,600321,正源股份,buy,2.370,11132.93
2021-05-31,15:00:00,600321,正源股份,sell,2.490,11679.93
2021-06-21,09:30:00,982,中银绒业,buy,2.680,11674.93
2021-06-22,15:00:00,982,中银绒业,sell,2.810,12228.93
2021-08-09,09:30:00,600068,葛洲坝,buy,9.670,12223.93
2021-08-10,15:00:00,600068,葛洲坝,sell,9.580,12110.93
2021-10-12,09:30:00,2505,鹏都农牧,buy,3.000,12105.93
2021-10-13,15:00:00,2505,鹏都农牧,sell,3.030,12220.93
2021-11-23,09:30:00,2505,鹏都农牧,buy,3.760,12215.93
2021-11-25,15:00:00,2505,鹏都农牧,sell,3.950,12818.93
2022-05-06,09:30:00,2505,鹏都农牧,buy,2.860,12813.93
2022-05-09,15:00:00,2505,鹏都农牧,sell,2.900,12984.93
2023-08-18,09:30:00,982,中银绒业,buy,2.060,12979.93
2023-08-21,15:00:00,982,中银绒业,sell,1.870,11777.93
2024-01-12,09:30:00,982,中银绒业,buy,1.730,11772.93
2024-01-15,15:00:00,982,中银绒业,sell,1.690,11495.93
2024-04-30,09:30:00,2505,鹏都农牧,buy,1.130,11490.93
2024-05-06,15:00:00,2505,鹏都农牧,sell,1.070,10879.93
2024-07-03,09:30:00,861,海印股份,buy,0.840,10874.93
2024-07-05,15:00:00,861,海印股份,sell,0.950,12288.93
2024-07-15,09:30:00,600297,广汇汽车,buy,0.940,12283.93
2024-07-16,15:00:00,600297,广汇汽车,sell,0.870,11368.93
2025-01-08,09:30:00,603633,徕木股份,buy,7.689,11363.93
2025-01-09,15:00:00,603633,徕木股份,sell,7.789,11498.55
2025-01-14,09:30:00,679,大连友谊,buy,5.950,11493.55
2025-01-16,15:00:00,679,大连友谊,sell,6.650,12818.55
2025-01-21,09:30:00,300515,三德科技,buy,18.473,12813.55
