strategy,signal_date,buy_date,sell_date,stock_code,stock_name,pick_rank,score,raw_prob,board_count,buy_price,sell_price,buy_fee,sell_fee,pnl,pnl_pct,equity_after,sell_logic
selected,2020-06-04,2020-06-05,2020-06-08,600321,正源股份,1,1.0,0.5617238072431917,2,2.1893718,2.05004814,5.0,5.0,-636.956470000001,-0.06461857406156345,9363.043529999999,T+2收盘上涨-6.36%未触发延长，T+2收盘卖出
selected,2020-07-09,2020-07-10,2020-07-14,600723,首商股份,1,1.0,0.5552172374522836,1,9.9461063,11.72852733,5.0,5.0,1594.1789270000008,0.17799136914002447,10957.222457,T+2收盘上涨15.64%>=6%，延长到T+3收盘卖出
selected,2020-11-13,2020-11-16,2020-11-17,600321,正源股份,1,0.9999987949464614,0.4446528172089287,3,2.88,2.85,5.0,5.0,-124.0,-0.011325235181295095,10833.222457,T+2收盘上涨-1.04%未触发延长，T+2收盘卖出
selected,2021-01-04,2021-01-05,2021-01-06,002013,中航机电,1,1.0,0.5591747410642605,2,12.7948146,13.1881986,5.0,5.0,304.70720000000074,0.029754087796729105,11137.929657,T+2收盘上涨3.07%未触发延长，T+2收盘卖出
selected,2021-05-27,2021-05-28,2021-05-31,600321,正源股份,1,1.0,0.5609822941994,2,2.37,2.49,5.0,5.0,542.0000000000018,0.04969285779774473,11679.929657000002,T+2收盘上涨5.06%未触发延长，T+2收盘卖出
selected,2021-06-18,2021-06-21,2021-06-22,000982,中银绒业,1,0.9999997637060322,0.45312744360813734,2,2.68,2.81,5.0,5.0,549.0,0.047619047619047616,12228.929657000002,T+2收盘上涨4.85%未触发延长，T+2收盘卖出
selected,2021-08-06,2021-08-09,2021-08-10,600068,葛洲坝,1,1.0,0.5880892788007862,1,9.67,9.58,5.0,5.0,-118.0,-0.010164527521750366,12110.929657000002,T+2收盘上涨-0.93%未触发延长，T+2收盘卖出
selected,2021-10-11,2021-10-12,2021-10-13,002505,鹏都农牧,1,1.0,0.6268029390538001,2,3.0,3.03,5.0,5.0,110.0,0.009162848812994586,12220.929657000002,T+2收盘上涨1.00%未触发延长，T+2收盘卖出
selected,2021-11-22,2021-11-23,2021-11-25,002505,鹏都农牧,1,0.9999880525339115,0.4290957756259807,2,3.76,3.95,5.0,5.0,598.0,0.0496801528620088,12818.929657000002,T+2收盘上涨7.18%>=6%，延长到T+3收盘卖出
selected,2022-05-05,2022-05-06,2022-05-09,002505,鹏都农牧,1,1.0,0.7461554391290061,2,2.86,2.9,5.0,5.0,166.0,0.01318611486218127,12984.929657000002,T+2收盘上涨1.40%未触发延长，T+2收盘卖出
selected,2023-08-17,2023-08-18,2023-08-21,000982,中银绒业,1,1.0,0.5977281024265925,2,2.06,1.87,5.0,5.0,-1207.0,-0.09296772702765155,11777.929657000002,T+2收盘上涨-9.22%未触发延长，T+2收盘卖出
selected,2024-01-11,2024-01-12,2024-01-15,000982,中银绒业,1,0.9998441419816918,0.41060468201249356,2,1.73,1.69,5.0,5.0,-282.0,-0.023961254142238084,11495.929657000002,T+2收盘上涨-2.31%未触发延长，T+2收盘卖出
selected,2024-04-29,2024-04-30,2024-05-06,002505,鹏都农牧,1,0.9999999563660994,0.46191592308634344,2,1.13,1.07,5.0,5.0,-615.9999999999982,-0.053949903660886166,10879.929657000004,T+2收盘上涨-5.31%未触发延长，T+2收盘卖出
selected,2024-07-02,2024-07-03,2024-07-05,000861,海印股份,2,0.9977349197621779,0.3882354864148435,1,0.84,0.95,5.0,5.0,1409.0,0.1299695600036897,12288.929657000004,T+2收盘上涨13.10%>=6%，延长到T+3收盘卖出
selected,2024-07-12,2024-07-15,2024-07-16,600297,广汇汽车,1,1.0,0.5755035835617165,2,0.94,0.87,5.0,5.0,-920.0,-0.0752556237218814,11368.929657000004,T+2收盘上涨-7.45%未触发延长，T+2收盘卖出
selected,2025-01-07,2025-01-08,2025-01-09,603633,徕木股份,1,0.9999999999976783,0.5014563921603544,1,7.6889517,7.7886787,5.0,5.0,129.6178000000018,0.012035601493776448,11498.547457000006,T+2收盘上涨1.30%未触发延长，T+2收盘卖出
selected,2025-01-13,2025-01-14,2025-01-16,000679,大连友谊,1,0.9999998864330871,0.4568186330071399,1,5.95,6.65,5.0,5.0,1320.0,0.11671087533156499,12818.547457000006,T+2收盘上涨9.24%>=6%，延长到T+3收盘卖出
selected,2025-01-20,2025-01-21,2025-01-22,300515,三德科技,2,1.0,0.5699082029204611,1,18.47323296,15.789088,5.0,5.0,-1620.486976000002,-0.146135429421959,11198.060481000004,T+2收盘上涨-14.53%未触发延长，T+2收盘卖出
selected,2025-01-24,2025-01-27,2025-02-05,688143,长盈通,2,1.0,0.5559195884431641,1,25.968072,25.02922632,5.0,5.0,-385.5382719999998,-0.037098708989163114,10812.522209000004,T+2收盘上涨-3.62%未触发延长，T+2收盘卖出
selected,2025-02-06,2025-02-07,2025-02-10,002905,金逸影视,2,0.9948120382844918,0.3798879962464218,1,7.87,8.06,5.0,5.0,237.0,0.023153575615474795,11049.522209000004,T+2收盘上涨2.41%未触发延长，T+2收盘卖出
selected,2025-02-11,2025-02-12,2025-02-13,301220,亚香股份,1,0.999999999927906,0.4881222538420658,2,53.03080276,51.1876198,5.0,5.0,-378.6365919999989,-0.03568286335358796,10670.885617000005,T+2收盘上涨-3.48%未触发延长，T+2收盘卖出
selected,2025-02-14,2025-02-17,2025-02-18,603636,南威软件,1,0.906365628046777,0.342225201637347,2,19.93,17.26,5.0,5.0,-1345.0,-0.13490471414242727,9325.885617000005,T+2收盘上涨-13.40%未触发延长，T+2收盘卖出
selected,2025-02-19,2025-02-20,2025-02-24,688611,杭州柯林,1,0.9999999999999998,0.5450010045062972,1,38.407068,38.762689,5.0,5.0,61.1242000000002,0.007952239260192841,9387.009817000006,T+2收盘上涨6.65%>=6%，延长到T+3收盘卖出
selected,2025-02-25,2025-02-26,2025-02-27,000892,欢瑞世纪,2,0.9999786301645052,0.42495432789593585,3,4.7,4.83,5.0,5.0,237.0,0.026524902070509233,9624.009817000006,T+2收盘上涨2.77%未触发延长，T+2收盘卖出
selected,2025-03-03,2025-03-04,2025-03-05,002942,新农股份,1,0.9999999999995925,0.5083171805099433,1,16.718225,15.96098775,5.0,5.0,-388.61862499999916,-0.04646262529347844,9235.391192000006,T+2收盘上涨-4.53%未触发延长，T+2收盘卖出
selected,2025-03-06,2025-03-07,2025-03-11,002105,信隆健康,1,0.9999999999999772,0.5201328276275514,3,7.28,9.34,5.0,5.0,2462.0,0.28166113716966024,11697.391192000006,T+2收盘上涨16.62%>=6%，延长到T+3收盘卖出
selected,2025-03-12,2025-03-13,2025-03-14,603716,塞力医疗,2,0.9999999982562047,0.47617560974420925,3,12.75,13.42,5.0,5.0,593.0,0.05165505226480836,12290.391192000006,T+2收盘上涨5.25%未触发延长，T+2收盘卖出
selected,2025-03-17,2025-03-18,2025-03-19,300191,潜能恒信,1,1.0,0.5677600404613157,1,18.17,18.01,5.0,5.0,-106.0,-0.009718529384798752,12184.391192000006,T+2收盘上涨-0.88%未触发延长，T+2收盘卖出
selected,2025-03-20,2025-03-21,2025-03-24,001268,联合精密,2,0.9999995379288138,0.4498213576470277,2,25.477686,21.69522954,5.0,5.0,-1522.9825839999994,-0.1493695047968657,10661.408608000007,T+2收盘上涨-14.85%未触发延长，T+2收盘卖出
selected,2025-03-26,2025-03-27,2025-03-28,600610,中毅达,1,0.9999999995514615,0.48204236964100144,3,11.17,10.49,5.0,5.0,-622.0,-0.0618413203420163,10039.408608000007,T+2收盘上涨-6.09%未触发延长，T+2收盘卖出
selected,2025-03-31,2025-04-01,2025-04-02,688117,圣诺生物,2,0.9999999999999999,0.5482924234599152,1,20.80794424,21.75440682,5.0,5.0,368.58503199999905,0.044257584966880495,10407.993640000006,T+2收盘上涨4.55%未触发延长，T+2收盘卖出
selected,2025-04-03,2025-04-07,2025-04-08,301016,雷尔伟,2,0.9999999999999984,0.5355865311879168,1,18.49911968,19.27920304,5.0,5.0,380.04168000000027,0.04106534363280969,10788.035320000006,T+2收盘上涨4.22%未触发延长，T+2收盘卖出
selected,2025-04-09,2025-04-10,2025-04-11,603221,爱丽家居,1,1.0,0.6836275741437599,1,12.35849992,11.20727023,5.0,5.0,-930.9837519999983,-0.0941167186986664,9857.051568000008,T+2收盘上涨-9.32%未触发延长，T+2收盘卖出
selected,2025-04-14,2025-04-15,2025-04-16,301209,联合化学,1,0.859385152227006,0.3340937278172335,1,35.6536,36.66616224,5.0,5.0,192.5124479999995,0.026978699836876938,10049.564016000008,T+2收盘上涨2.84%未触发延长，T+2收盘卖出
selected,2025-04-17,2025-04-18,2025-04-22,002165,红宝丽,2,0.9999999999999883,0.5242370768376288,3,11.12895212,13.2392722,5.0,5.0,1889.2880720000012,0.18853181748641173,11938.852088000009,T+2收盘上涨8.14%>=6%，延长到T+3收盘卖出
selected,2025-04-23,2025-04-24,2025-04-25,002094,青岛金王,1,1.0,0.5510101023200675,3,9.0,8.24,5.0,5.0,-998.0,-0.08526270824434003,10940.852088000009,T+2收盘上涨-8.44%未触发延长，T+2收盘卖出
selected,2025-04-29,2025-04-30,2025-05-07,688280,精进电动,1,0.9999999999986946,0.5037195159640325,1,6.2,10.06,5.0,5.0,6551.999999999998,0.6213371266002843,17492.852088000007,T+2收盘上涨35.16%>=6%，延长到T+3收盘卖出
selected,2025-05-08,2025-05-09,2025-05-12,600375,汉马科技,1,0.9999999999966733,0.4999959778052757,1,6.31,6.12,5.0,5.0,-523.0,-0.03068888628095294,16969.852088000007,T+2收盘上涨-3.01%未触发延长，T+2收盘卖出
selected,2025-05-13,2025-05-14,2025-05-15,002331,皖通科技,1,0.9999999999921748,0.4958865362182727,1,9.47389053,8.23859881,5.0,5.0,-2109.9959240000026,-0.1309693061335815,14859.856164000004,T+2收盘上涨-13.04%未触发延长，T+2收盘卖出
selected,2025-05-16,2025-05-19,2025-05-20,002900,哈三联,2,0.9999161124332344,0.4152876575959561,2,13.59426474,13.63369698,5.0,5.0,29.432240000000093,0.002164252300599017,14889.288404000004,T+2收盘上涨0.29%未触发延长，T+2收盘卖出
selected,2025-05-21,2025-05-22,2025-05-26,603900,莱绅通灵,3,0.9999999999998848,0.5126728979361043,2,10.05725538,12.4603164,5.0,5.0,3354.2854279999974,0.2381432667955195,18243.573832000002,T+2收盘上涨12.59%>=6%，延长到T+3收盘卖出
selected,2025-05-27,2025-05-28,2025-05-29,603332,苏州龙杰,2,0.9999999999997391,0.5097362447314839,3,19.77778,18.6900021,5.0,5.0,-989.0001100000009,-0.055546194827723175,17254.573722,T+2收盘上涨-5.50%未触发延长，T+2收盘卖出
selected,2025-05-30,2025-06-03,2025-06-05,002250,联化科技,1,1.0,0.6023661744364621,2,9.70169724,11.94746049,5.0,5.077670708249999,3807.7198542917467,0.23080048037704218,21062.293576291748,T+2收盘上涨11.93%>=6%，延长到T+3收盘卖出
selected,2025-06-06,2025-06-09,2025-06-11,300584,海辰药业,1,1.0,0.554298619280346,1,36.0,38.25,5.0,5.0,1115.0,0.0619272424326576,22177.293576291748,T+2收盘上涨17.42%>=6%，延长到T+3收盘卖出
selected,2025-06-12,2025-06-13,2025-06-17,600281,华阳新材,1,0.9999999999999887,0.5244121050590758,2,6.71,8.45,5.53575,6.9712499999999995,5729.492999999999,0.2586849561827128,27906.786576291746,T+2收盘上涨14.46%>=6%，延长到T+3收盘卖出
selected,2025-06-18,2025-06-19,2025-06-23,600110,诺德股份,1,0.9743878066687333,0.3616475272546248,2,4.47,5.67,6.9285000000000005,8.7885,7424.282999999999,0.2678223061684243,35331.069576291746,T+2收盘上涨15.21%>=6%，延长到T+3收盘卖出
selected,2025-06-24,2025-06-25,2025-06-27,002846,英联股份,2,0.9999999999997955,0.5106896245548511,3,17.11,19.7,8.555,9.85,5161.595000000001,0.15079792296227523,40492.66457629175,T+2收盘上涨10.05%>=6%，延长到T+3收盘卖出
selected,2025-06-30,2025-07-01,2025-07-03,600319,亚星化学,1,0.9999999999119437,0.48753892817998856,1,6.43,7.25,9.9665,11.2375,5062.795999999995,0.12696359347177189,45555.46057629174,T+2收盘上涨22.86%>=6%，延长到T+3收盘卖出
selected,2025-07-04,2025-07-07,2025-07-09,002623,亚玛顿,2,0.9999999999999973,0.5330123421935224,3,20.37,25.59,11.2035,14.0745,11458.721999999994,0.2556312321036087,57014.182576291736,T+2收盘上涨20.86%>=6%，延长到T+3收盘卖出
selected,2025-07-10,2025-07-11,2025-07-14,002356,赫美集团,3,0.999997885417846,0.441206062147429,2,3.79,3.71,14.2125,13.9125,-1228.125,-0.021597502998920454,55786.057576291736,T+2收盘上涨-2.11%未触发延长，T+2收盘卖出
selected,2025-07-15,2025-07-16,2025-07-17,601512,中新集团,1,0.9999999999987086,0.5037569938326732,1,8.99,8.5,13.9345,13.175,-3065.109500000006,-0.054977634901619526,52720.94807629173,T+2收盘上涨-5.45%未触发延长，T+2收盘卖出
selected,2025-07-18,2025-07-21,2025-07-23,002265,建设工业,1,0.9963883942884799,0.38338066429918,2,33.67,38.34,12.62625,14.377500000000001,6977.996250000004,0.1381299314316061,59698.944326291734,T+2收盘上涨17.34%>=6%，延长到T+3收盘卖出
selected,2025-07-24,2025-07-25,2025-07-28,002826,易明医药,1,0.9999999980942786,0.4758220636334472,1,21.31,22.27,14.917,15.589,2657.493999999999,0.04452687860414059,62356.43832629173,T+2收盘上涨4.50%未触发延长，T+2收盘卖出
selected,2025-07-29,2025-07-30,2025-08-01,688110,东芯股份,1,0.9999999746484902,0.4647565966792997,1,49.03,57.4,14.709,17.22,10012.071000000004,0.1701265994943239,72368.50932629174,T+2收盘上涨32.08%>=6%，延长到T+3收盘卖出
selected,2025-08-04,2025-08-05,2025-08-06,300584,海辰药业,1,0.9999999999999987,0.5358940287063824,1,42.53,44.72,18.07525,19.006,3685.9187500000116,0.050967448591649575,76054.42807629175,T+2收盘上涨5.15%未触发延长，T+2收盘卖出
selected,2025-08-08,2025-08-11,2025-08-12,600366,宁波韵升,1,0.999999786202905,0.45388541701446394,2,15.55,14.31,18.66,17.172,-5987.832000000009,-0.08020277888727187,70066.59607629174,T+2收盘上涨-7.97%未触发延长，T+2收盘卖出
selected,2025-08-13,2025-08-14,2025-08-15,000417,合百集团,1,0.9999999976226032,0.4749916538190956,2,6.86,6.08,17.493000000000002,15.504,-7988.997000000003,-0.11414566183527008,62077.599076291735,T+2收盘上涨-11.37%未触发延长，T+2收盘卖出
selected,2025-08-18,2025-08-19,2025-08-20,002837,英维克,1,0.9999984435147772,0.4431384978923922,1,69.0,69.3,13.8,13.86,212.3399999999965,0.0038457776860132157,62289.93907629173,T+2收盘上涨0.43%未触发延长，T+2收盘卖出
selected,2025-08-21,2025-08-22,2025-08-25,600397,江钨装备,1,0.9997694408981671,0.40736088266086445,1,7.35,7.38,15.435,15.498000000000001,221.06700000000274,0.0035797173155691113,62511.006076291735,T+2收盘上涨0.41%未触发延长，T+2收盘卖出
selected,2025-08-28,2025-08-29,2025-09-01,603256,宏和科技,1,0.999999999999999,0.5371267708899263,1,47.13,40.75,15.31725,13.24375,-8322.561000000002,-0.13580245931515214,54188.44507629173,T+2收盘上涨-13.54%未触发延长，T+2收盘卖出
selected,2025-09-05,2025-09-08,2025-09-10,600376,首开股份,1,1.0,0.5836638386942181,3,3.37,4.68,13.48,18.72,20927.799999999996,0.388029847137622,75116.24507629173,T+2收盘上涨26.11%>=6%，延长到T+3收盘卖出
selected,2025-09-11,2025-09-12,2025-09-15,603516,淳中科技,1,1.0,0.6195136024515361,3,140.0,140.0,17.5,17.5,-35.0,-0.0004998750312421895,75081.24507629173,T+2收盘上涨0.00%未触发延长，T+2收盘卖出
selected,2025-09-16,2025-09-17,2025-09-18,603179,新泉股份,1,0.999984486352752,0.4272318400996605,1,78.52,77.99,17.667,17.54775,-512.2147499999992,-0.0072463735823558,74569.03032629173,T+2收盘上涨-0.67%未触发延长，T+2收盘卖出
selected,2025-09-19,2025-09-22,2025-09-23,002468,申通快递,2,1.0,0.5630405698841588,1,19.01,18.79,18.53475,18.32025,-894.8550000000105,-0.012066946440665093,73674.17532629172,T+2收盘上涨-1.16%未触发延长，T+2收盘卖出
selected,2025-09-24,2025-09-25,2025-09-26,688233,神工股份,1,0.9999999992660258,0.4800903146756586,1,48.96,45.3,18.36,16.9875,-5525.3475000000035,-0.07521740888307339,68148.82782629172,T+2收盘上涨-7.48%未触发延长，T+2收盘卖出
selected,2025-09-29,2025-09-30,2025-10-10,688109,品茗科技,2,1.0,0.5639311726364704,3,90.0,115.0,15.75,20.125,17464.125,0.27713904857119054,85612.95282629172,T+2收盘上涨29.52%>=6%，延长到T+3收盘卖出
selected,2025-10-13,2025-10-14,2025-10-15,600382,广东明珠,1,0.9999999999999982,0.5345605006188499,1,7.9935219,7.0175119,21.3826710825,18.771844332500002,-10483.461515414994,-0.12253896232901475,75129.49131087672,T+2收盘上涨-12.21%未触发延长，T+2收盘卖出
selected,2025-10-16,2025-10-17,2025-10-21,000626,远大控股,1,0.999999999773652,0.4844218026515984,3,9.34,10.73,18.68,21.46,11079.86,0.1482480022392689,86209.35131087672,T+2收盘上涨14.99%>=6%，延长到T+3收盘卖出
selected,2025-10-22,2025-10-23,2025-10-24,600172,黄河旋风,2,0.9999999999998969,0.5131739354474899,3,8.11,6.96,21.491500000000002,18.444,-12229.935500000007,-0.14222923923766292,73979.41581087672,T+2收盘上涨-14.18%未触发延长，T+2收盘卖出
selected,2025-10-27,2025-10-28,2025-10-29,002512,达华智能,1,0.9999999999999103,0.5144758878179281,3,5.3,5.19,18.4175,18.03525,-1565.4527499999967,-0.021244217247574856,72413.96306087672,T+2收盘上涨-2.08%未触发延长，T+2收盘卖出
selected,2025-10-30,2025-10-31,2025-11-03,600683,京投发展,1,0.9999999999999999,0.5482221546605889,2,5.5,5.16,18.0125,16.899,-4488.911500000002,-0.06228715548385634,67925.05156087672,T+2收盘上涨-6.18%未触发延长，T+2收盘卖出
selected,2025-11-04,2025-11-05,2025-11-06,000572,海马汽车,1,0.9999999999891382,0.4946744360765132,3,8.7,9.0,16.965,17.55,2305.4850000000006,0.03396564651940464,70230.53656087672,T+2收盘上涨3.45%未触发延长，T+2收盘卖出
selected,2025-11-07,2025-11-10,2025-11-12,002196,方正电机,1,0.9999993896146343,0.44814363600208335,2,14.01,16.92,17.5125,21.150000000000006,14511.337500000023,0.2071050759793995,84741.87406087674,T+2收盘上涨14.06%>=6%，延长到T+3收盘卖出
selected,2025-11-13,2025-11-14,2025-11-17,688411,海博思创,1,0.9999999999999997,0.5445757326758116,1,364.9,361.23,18.245,18.0615,-770.3064999999915,-0.010552397526817138,83971.56756087675,T+2收盘上涨-1.01%未触发延长，T+2收盘卖出
selected,2025-11-25,2025-11-26,2025-11-28,688227,品高股份,1,1.0,0.6239066424931201,3,77.0,81.83,19.25,20.4575,4790.292499999996,0.0621960418986162,88761.86006087674,T+2收盘上涨6.40%>=6%，延长到T+3收盘卖出
selected,2025-12-01,2025-12-02,2025-12-04,002519,银河电子,1,0.9999999814800755,0.46638664747530295,2,5.55,5.98,22.06125,23.770500000000002,6791.168250000002,0.0769388733897607,95553.02831087675,T+2收盘上涨17.48%>=6%，延长到T+3收盘卖出
selected,2025-12-05,2025-12-08,2025-12-10,603386,骏亚科技,1,0.9999999999955534,0.49873039591151636,3,16.7,18.14,23.7975,25.8495,8158.353000000003,0.08568456688223157,103711.38131087675,T+2收盘上涨20.66%>=6%，延长到T+3收盘卖出
selected,2025-12-12,2025-12-15,2025-12-16,600936,北投科技,1,0.9999999999970155,0.5003712043852777,2,4.18,4.07,25.916,25.234,-2779.149999999994,-0.026802509898841025,100932.23131087676,T+2收盘上涨-2.63%未触发延长，T+2收盘卖出
selected,2025-12-18,2025-12-19,2025-12-23,002853,皮阿诺,1,1.0,0.5798718421969434,3,21.93,22.8,25.2195,26.22,3950.5604999999923,0.039151976711704346,104882.79181087675,T+2收盘上涨10.85%>=6%，延长到T+3收盘卖出
selected,2025-12-24,2025-12-25,2025-12-29,600783,鲁信创投,1,0.9999998610364109,0.4558223405462661,1,19.17,23.21,25.879500000000004,31.3335,21758.786999999997,0.2101407355516363,126641.57881087674,T+2收盘上涨10.07%>=6%，延长到T+3收盘卖出
selected,2025-12-30,2025-12-31,2026-01-05,688160,步科股份,2,0.9999999999999999,0.548930320515543,2,149.93,147.0,29.986,29.400000000000002,-2403.3859999999986,-0.020032559391666777,124238.19281087675,T+2收盘上涨-1.95%未触发延长，T+2收盘卖出
selected,2026-01-06,2026-01-07,2026-01-09,300986,志特新材,1,0.999999986607746,0.46788888719649907,2,17.44,27.82,30.956000000000003,49.3805,73617.66349999998,0.5943860938435114,197855.85631087673,T+2收盘上涨32.91%>=6%，延长到T+3收盘卖出
selected,2026-01-12,2026-01-13,2026-01-14,300830,金现代,1,0.9999999928449644,0.4706418704923734,1,14.5,14.0,49.300000000000004,47.6,-6896.899999999994,-0.034965396581888984,190958.95631087673,T+2收盘上涨-3.45%未触发延长，T+2收盘卖出
selected,2026-01-20,2026-01-21,2026-01-22,601616,广电电气,1,0.9999999295658046,0.45933425075504103,3,5.68,5.82,47.712,48.888,4607.399999999994,0.024135691429255333,195566.35631087673,T+2收盘上涨2.46%未触发延长，T+2收盘卖出
selected,2026-01-23,2026-01-26,2026-01-27,002342,巨力索具,3,0.9999999996306245,0.4825731724913973,3,14.52,13.21,48.642,44.2535,-17646.895499999984,-0.0906751617880653,177919.46081087674,T+2收盘上涨-9.02%未触发延长，T+2收盘卖出
selected,2026-01-28,2026-01-29,2026-02-02,300164,通源石油,1,0.9192451218253413,0.34463098186793295,1,12.14,11.05,44.311,40.3325,-15998.643499999976,-0.090240825296147,161920.81731087677,T+2收盘上涨6.10%>=6%，延长到T+3收盘卖出
selected,2026-02-03,2026-02-04,2026-02-06,301636,泽润新能,3,0.9999036725841564,0.41415072755336796,1,78.79,103.89,39.395,51.945,50108.66,0.31790922684356204,212029.47731087677,T+2收盘上涨17.53%>=6%，延长到T+3收盘卖出
selected,2026-02-09,2026-02-10,2026-02-12,600683,京投发展,3,0.9935892080546253,0.3778610215466058,1,6.4,6.93,52.96,57.34575,17432.69425,0.08227122906773307,229462.17156087677,T+2收盘上涨12.66%>=6%，延长到T+3收盘卖出
