日期,股票,代码,操作,操作价格,资产总值
2025-01-08,徕木股份,603633,buy,7.689,9995.00
2025-01-09,徕木股份,603633,sell,7.789,10109.67
2025-01-14,大连友谊,000679,buy,5.950,10104.67
2025-01-16,大连友谊,000679,sell,6.650,11219.67
2025-01-21,三德科技,300515,buy,18.473,11214.67
2025-01-22,三德科技,300515,sell,15.789,9599.19
2025-01-27,长盈通,688143,buy,25.968,9594.19
2025-02-05,长盈通,688143,sell,25.029,9307.53
2025-02-07,金逸影视,002905,buy,7.870,9302.53
2025-02-10,金逸影视,002905,sell,8.060,9506.53
2025-02-12,亚香股份,301220,buy,53.031,9501.53
2025-02-13,亚香股份,301220,sell,51.188,9312.21
2025-02-17,南威软件,603636,buy,19.930,9307.21
2025-02-18,南威软件,603636,sell,17.260,8234.21
2025-02-20,杭州柯林,688611,buy,38.407,8229.21
2025-02-24,杭州柯林,688611,sell,38.763,8295.34
2025-02-26,欢瑞世纪,000892,buy,4.700,8290.34
2025-02-27,欢瑞世纪,000892,sell,4.830,8506.34
2025-03-04,新农股份,002942,buy,16.718,8501.34
2025-03-05,新农股份,002942,sell,15.961,8117.72
2025-03-07,信隆健康,002105,buy,7.280,8112.72
2025-03-11,信隆健康,002105,sell,9.340,10373.72
2025-03-13,塞力医疗,603716,buy,12.750,10368.72
2025-03-14,塞力医疗,603716,sell,13.420,10899.72
2025-03-18,潜能恒信,300191,buy,18.170,10894.72
2025-03-19,潜能恒信,300191,sell,18.010,10809.72
2025-03-21,联合精密,001268,buy,25.478,10804.72
2025-03-24,联合精密,001268,sell,21.695,9286.74
2025-03-27,中毅达,600610,buy,11.170,9281.74
2025-03-28,中毅达,600610,sell,10.490,8732.74
2025-04-01,圣诺生物,688117,buy,20.808,8727.74
2025-04-02,圣诺生物,688117,sell,21.754,9101.32
2025-04-07,雷尔伟,301016,buy,18.499,9096.32
2025-04-08,雷尔伟,301016,sell,19.279,9403.35
2025-04-10,中国长城,000066,buy,16.490,9398.35
2025-04-11,中国长城,000066,sell,16.400,9348.35
2025-04-15,联合化学,301209,buy,35.654,9343.35
2025-04-16,联合化学,301209,sell,36.666,9540.87
2025-04-18,红宝丽,002165,buy,11.129,9535.87
2025-04-22,红宝丽,002165,sell,13.239,11219.12
2025-04-24,青岛金王,002094,buy,9.000,11214.12
2025-04-25,青岛金王,002094,sell,8.240,10297.12
2025-04-30,精进电动,688280,buy,6.200,10292.12
2025-05-07,精进电动,688280,sell,10.060,16463.12
2025-05-09,汉马科技,600375,buy,6.310,16458.12
2025-05-12,汉马科技,600375,sell,6.120,15959.12
2025-05-14,皖通科技,002331,buy,9.474,15954.12
2025-05-15,皖通科技,002331,sell,8.239,13972.66
2025-05-19,哈三联,002900,buy,13.594,13967.66
2025-05-20,哈三联,002900,sell,13.634,14002.09
2025-05-22,莱绅通灵,603900,buy,10.057,13997.09
2025-05-26,莱绅通灵,603900,sell,12.460,17116.07
2025-05-28,苏州龙杰,603332,buy,19.778,17111.07
2025-05-29,苏州龙杰,603332,sell,18.690,16235.85
2025-06-03,联化科技,002250,buy,9.702,16230.85
2025-06-05,联化科技,002250,sell,11.947,19819.07
2025-06-09,海辰药业,300584,buy,36.000,19814.07
2025-06-11,海辰药业,300584,sell,38.250,20934.07
2025-06-13,华阳新材,600281,buy,6.710,20928.87
2025-06-17,华阳新材,600281,sell,8.450,26316.32
2025-06-19,诺德股份,600110,buy,4.470,26309.84
2025-06-23,诺德股份,600110,sell,5.670,33261.61
2025-06-25,英联股份,002846,buy,17.110,33253.48
2025-06-27,英联股份,002846,sell,19.700,38165.13
2025-07-01,亚星化学,600319,buy,6.430,38155.65
2025-07-03,亚星化学,600319,sell,7.250,42982.95
2025-07-07,亚玛顿,002623,buy,20.370,42972.26
2025-07-09,亚玛顿,002623,sell,25.590,53920.82
2025-07-11,赫美集团,002356,buy,3.790,53907.37
2025-07-14,赫美集团,002356,sell,3.710,52758.20
2025-07-16,中新集团,601512,buy,8.990,52745.16
2025-07-17,中新集团,601512,sell,8.500,49890.84
