日期,股票,代码,操作,操作价格,资产总值
2025-01-06,梦洁股份,002397,buy,3.440,9995.00
2025-01-08,梦洁股份,002397,sell,4.020,11672.00
2025-01-10,景旺电子,603228,buy,29.483,11667.00
2025-01-13,景旺电子,603228,sell,28.839,11468.76
2025-01-15,天下秀,600556,buy,5.748,11463.76
2025-01-17,天下秀,600556,sell,6.687,13241.18
2025-01-21,智迪科技,301503,buy,40.372,13236.18
2025-01-22,智迪科技,301503,sell,37.652,12414.95
2025-01-24,正裕工业,603089,buy,10.667,12409.95
2025-01-27,正裕工业,603089,sell,9.923,11586.29
2025-02-06,首都在线,300846,buy,14.800,11581.29
2025-02-10,首都在线,300846,sell,22.220,16770.29
2025-02-12,威派格,603956,buy,6.590,16765.29
2025-02-14,威派格,603956,sell,8.470,21460.00
2025-02-18,世纪恒通,301428,buy,49.869,21455.00
2025-02-19,世纪恒通,301428,sell,51.085,21936.61
2025-02-21,博士眼镜,300622,buy,42.366,21931.31
2025-02-24,博士眼镜,300622,sell,41.751,21618.42
2025-02-26,欢瑞世纪,000892,buy,4.700,21613.13
2025-02-27,欢瑞世纪,000892,sell,4.830,22192.70
2025-03-03,凯众股份,603037,buy,13.551,22187.28
2025-03-04,凯众股份,603037,sell,12.278,20146.15
2025-03-06,泰豪科技,600590,buy,10.540,20141.14
2025-03-10,泰豪科技,600590,sell,11.200,21389.82
2025-03-12,塞力医疗,603716,buy,13.100,21384.58
2025-03-14,塞力医疗,603716,sell,13.420,21891.22
2025-03-18,聚杰微纤,300819,buy,28.695,21886.20
2025-03-20,聚杰微纤,300819,sell,30.063,22838.10
2025-03-24,神开股份,002278,buy,11.117,22832.54
2025-03-25,神开股份,002278,sell,11.027,22648.04
2025-03-27,键邦股份,603285,buy,29.141,22642.94
2025-03-28,键邦股份,603285,sell,25.433,20042.12
2025-04-01,浙江华业,301616,buy,49.632,20037.12
2025-04-03,浙江华业,301616,sell,58.864,23723.87
2025-04-08,凯美特气,002549,buy,10.800,23718.20
2025-04-09,凯美特气,002549,sell,11.010,24153.42
2025-04-11,福立旺,688678,buy,18.896,24147.75
2025-04-14,福立旺,688678,sell,19.493,24857.96
2025-04-16,新金路,000510,buy,5.400,24851.75
2025-04-17,新金路,000510,sell,5.280,24293.67
2025-04-21,天保基建,000965,buy,4.478,24287.62
2025-04-23,天保基建,000965,sell,4.727,25627.66
2025-04-25,金凯生科,301509,buy,32.156,25622.03
2025-04-28,金凯生科,301509,sell,30.148,24210.78
2025-04-30,今创集团,603680,buy,9.055,24204.89
2025-05-06,今创集团,603680,sell,8.996,24047.00
2025-05-08,苏奥传感,300507,buy,8.832,24041.04
2025-05-09,苏奥传感,300507,sell,8.921,24276.15
2025-05-13,华如科技,301302,buy,29.060,24270.34
2025-05-14,华如科技,301302,sell,27.760,23224.79
2025-05-16,连云港,601008,buy,6.770,23219.04
2025-05-20,连云港,601008,sell,7.380,25286.76
2025-05-22,海辰药业,300584,buy,27.809,25280.50
2025-05-26,海辰药业,300584,sell,31.707,28782.11
2025-05-28,誉衡药业,002437,buy,2.950,28774.96
2025-05-29,誉衡药业,002437,sell,3.070,29931.51
2025-06-03,元隆雅图,002878,buy,20.800,29924.23
2025-06-04,元隆雅图,002878,sell,16.870,24416.33
2025-06-06,奥克股份,300082,buy,9.000,24410.25
2025-06-09,奥克股份,300082,sell,8.740,23702.36
2025-06-11,昂利康,002940,buy,25.638,23696.59
2025-06-12,昂利康,002940,sell,26.951,24872.00
2025-06-16,通源石油,300164,buy,5.430,24865.89
2025-06-18,通源石油,300164,sell,7.400,33722.57
2025-06-20,海科新源,301292,buy,21.300,33714.58
2025-06-24,海科新源,301292,sell,25.570,40109.99
2025-06-26,泰凌微,688591,buy,48.677,40100.25
2025-06-27,泰凌微,688591,sell,47.500,39149.31
2025-07-01,博亚精工,300971,buy,23.690,39139.83
2025-07-02,博亚精工,300971,sell,24.500,40426.03
2025-07-04,南山控股,002314,buy,3.330,40415.96
2025-07-07,南山控股,002314,sell,3.220,39075.22
2025-07-09,小方制药,603207,buy,33.289,39066.07
2025-07-10,小方制药,603207,sell,34.239,40101.34
2025-07-14,古鳌科技,300551,buy,13.000,40091.59
2025-07-15,古鳌科技,300551,sell,12.730,39272.04
2025-07-17,康普顿,603798,buy,12.340,39262.48
2025-07-18,康普顿,603798,sell,12.060,38385.13
2025-07-22,深水规院,301038,buy,22.000,38375.78
2025-07-24,深水规院,301038,sell,33.380,57707.60
2025-07-28,泰嘉股份,002843,buy,23.000,57693.22
2025-07-29,泰嘉股份,002843,sell,22.690,56904.04
2025-07-31,华康洁净,301235,buy,32.330,56890.30
2025-08-01,华康洁净,301235,sell,33.100,58185.23
2025-08-05,北方长龙,301357,buy,113.700,58171.02
2025-08-07,北方长龙,301357,sell,159.990,81296.02
2025-08-11,联环药业,600513,buy,23.910,81276.29
2025-08-13,联环药业,600513,sell,26.070,88382.79
2025-08-15,烽火电子,000561,buy,13.770,88360.76
2025-08-19,烽火电子,000561,sell,14.920,95696.88
2025-08-21,园林股份,605303,buy,17.550,95673.19
2025-08-25,园林股份,605303,sell,22.040,119889.44
2025-08-27,合力泰,002217,buy,3.910,119859.53
2025-08-28,合力泰,002217,sell,3.900,119523.69
2025-09-01,永臻股份,603381,buy,25.580,119494.27
2025-09-02,永臻股份,603381,sell,24.350,113808.27
2025-09-04,上能电气,300827,buy,31.000,113780.37
2025-09-08,上能电气,300827,sell,35.760,130884.19
2025-09-10,晓程科技,300139,buy,24.840,130851.90
2025-09-12,晓程科技,300139,sell,27.800,146207.76
2025-09-16,星辉娱乐,300043,buy,6.880,146171.30
2025-09-18,星辉娱乐,300043,sell,7.170,152281.29
2025-09-22,绿岛风,301043,buy,47.271,152243.47
2025-09-23,绿岛风,301043,sell,44.000,141740.76
2025-09-25,红豆股份,600400,buy,3.600,141705.39
2025-09-26,红豆股份,600400,sell,3.250,127918.46
2025-09-30,长华化学,301518,buy,35.300,127886.69
2025-10-09,长华化学,301518,sell,36.480,132101.86
2025-10-13,大有能源,600403,buy,4.130,132068.92
2025-10-15,大有能源,600403,sell,5.450,174133.46
2025-10-17,京泉华,002885,buy,25.990,174090.58
2025-10-20,京泉华,002885,sell,23.970,160719.02
2025-10-22,黄河旋风,600172,buy,7.440,160679.03
2025-10-23,黄河旋风,600172,sell,7.730,166872.48
2025-10-27,航天智装,300455,buy,20.010,166830.96
2025-10-29,航天智装,300455,sell,21.920,182638.48
2025-10-31,建发合诚,603909,buy,12.900,182593.01
2025-11-03,建发合诚,603909,sell,12.410,175640.26
2025-11-05,超颖电子,603175,buy,71.200,175597.54
2025-11-07,超颖电子,603175,sell,72.980,179825.75
2025-11-11,欢乐家,300997,buy,24.050,179781.26
2025-11-13,欢乐家,300997,sell,29.400,219316.87
2025-11-19,诚达药业,301201,buy,57.150,219262.58
2025-11-20,诚达药业,301201,sell,53.040,203594.19
2025-11-24,易点天下,301171,buy,42.000,203543.79
2025-11-26,易点天下,301171,sell,44.670,216306.19
2025-11-28,绿岛风,301043,buy,54.560,216252.99
2025-12-01,绿岛风,301043,sell,50.820,201617.44
2025-12-03,雷科防务,002413,buy,9.280,201567.10
2025-12-04,雷科防务,002413,sell,8.300,180256.07
2025-12-08,福赛科技,301529,buy,87.000,180212.57
2025-12-09,福赛科技,301529,sell,88.600,183368.27
2025-12-11,中瓷电子,003031,buy,72.170,183323.16
2025-12-12,中瓷电子,003031,sell,75.910,192625.72
2025-12-16,华映科技,000536,buy,5.700,192577.70
2025-12-17,华映科技,000536,sell,5.150,173999.31
2025-12-19,奥普光电,002338,buy,55.770,173956.09
2025-12-23,奥普光电,002338,sell,57.690,179863.38
2025-12-25,超捷股份,301005,buy,118.710,179818.86
2025-12-29,超捷股份,301005,sell,159.400,240794.08
2025-12-31,海昌新材,300885,buy,32.160,240734.58
2026-01-06,海昌新材,300885,sell,33.140,247925.28
2026-01-08,富信科技,688662,buy,63.800,247864.67
2026-01-09,富信科技,688662,sell,59.750,232417.91
2026-01-14,荣昌生物,688331,buy,113.000,232361.41
2026-01-15,荣昌生物,688331,sell,104.900,216108.96
2026-01-19,恒辉安防,300952,buy,55.490,216056.24
2026-01-20,恒辉安防,300952,sell,52.860,206012.02
2026-01-22,中熔电气,301031,buy,158.000,205960.67
2026-01-23,中熔电气,301031,sell,148.150,193107.53
2026-01-27,洲际油气,600759,buy,4.770,193059.35
2026-01-29,洲际油气,600759,sell,5.690,230169.88
2026-02-02,科创新源,300731,buy,69.090,230112.88
2026-02-03,科创新源,300731,sell,66.200,220521.27
2026-02-05,锐明技术,002970,buy,67.310,220467.42
2026-02-09,锐明技术,002970,sell,76.800,250773.98
2026-02-11,捷成股份,300182,buy,9.460,250711.31
2026-02-12,捷成股份,300182,sell,8.950,237137.01
