操作日期,操作时间,股票代码,股票名称,操作,操作价格,操作原因,总资产
2025-01-08,09:30:00,600858,银座股份,buy,5.321,"Top3 pick rank=2; score=100.00%; raw_prob=52.75%; board=1; ret1=9.96%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,600858,银座股份,sell,6.375,T+2收盘回撤19.81%>-5%，T+2收盘卖出 (no intraday-high optimization).,11887.57
2025-01-15,09:30:00,000056,皇庭国际,buy,2.750,"Top3 pick rank=1; score=100.00%; raw_prob=56.59%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",11882.57
2025-01-16,15:00:00,000056,皇庭国际,sell,2.820,T+2收盘回撤2.55%>-5%，T+2收盘卖出 (no intraday-high optimization).,12178.57
2025-01-20,09:30:00,603082,北自科技,buy,37.396,"Top3 pick rank=3; score=100.00%; raw_prob=50.29%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",12173.57
2025-01-21,15:00:00,603082,北自科技,sell,39.684,T+2收盘回撤6.12%>-5%，T+2收盘卖出 (no intraday-high optimization).,12854.77
2025-01-23,09:30:00,000856,冀东装备,buy,9.770,"Top3 pick rank=1; score=100.00%; raw_prob=60.82%; board=3; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",12849.77
2025-01-24,15:00:00,000856,冀东装备,sell,11.570,T+2收盘回撤18.42%>-5%，T+2收盘卖出 (no intraday-high optimization).,15184.77
2025-02-07,09:30:00,600889,南京化纤,buy,19.820,"Top3 pick rank=1; score=100.00%; raw_prob=51.29%; board=1; ret1=9.98%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",15179.77
2025-02-10,15:00:00,600889,南京化纤,sell,19.950,T+2收盘回撤0.66%>-5%，T+2收盘卖出 (no intraday-high optimization).,15265.77
2025-02-12,09:30:00,000156,华数传媒,buy,8.420,"Top3 pick rank=2; score=100.00%; raw_prob=62.18%; board=1; ret1=10.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",15260.77
2025-02-13,15:00:00,000156,华数传媒,sell,9.233,T+2收盘回撤9.65%>-5%，T+2收盘卖出 (no intraday-high optimization).,16718.57
2025-02-17,09:30:00,301459,丰茂股份,buy,39.659,"Top3 pick rank=3; score=99.99%; raw_prob=40.04%; board=1; ret1=20.00%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",16713.57
2025-02-18,15:00:00,301459,丰茂股份,sell,47.270,T+2收盘回撤19.19%>-5%，T+2收盘卖出 (no intraday-high optimization).,19753.15
2025-02-20,09:30:00,605088,冠盛股份,buy,32.433,"Top3 pick rank=2; score=100.00%; raw_prob=42.04%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",19748.15
2025-02-21,15:00:00,605088,冠盛股份,sell,34.566,T+2收盘回撤6.58%>-5%，T+2收盘卖出 (no intraday-high optimization).,21022.97
2025-02-25,09:30:00,000158,常山北明,buy,27.470,"Top3 pick rank=2; score=100.00%; raw_prob=62.83%; board=1; ret1=10.01%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",21017.97
2025-02-26,15:00:00,000158,常山北明,sell,27.410,T+2收盘回撤-0.22%>-5%，T+2收盘卖出 (no intraday-high optimization).,20970.97
2025-03-11,09:30:00,000678,襄阳轴承,buy,10.520,"Top3 pick rank=1; score=100.00%; raw_prob=52.40%; board=1; ret1=10.05%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",20965.97
2025-03-12,15:00:00,000678,襄阳轴承,sell,12.580,T+2收盘回撤19.58%>-5%，T+2收盘卖出 (no intraday-high optimization).,24873.99
2025-03-14,09:30:00,002093,国脉科技,buy,13.142,"Top3 pick rank=1; score=99.88%; raw_prob=37.87%; board=1; ret1=10.03%. model=mlp_h88_e500_gt1_wd2e4, alpha=15; score>=threshold; gap_filter=[-0.10%, 2.55%], max_board=None; risk_profile=custom (broken<=41.20%, red>=28.70%, limit_down<=10, pullback<=6.50%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",24868.08
2025-03-17,15:00:00,002093,国脉科技,sell,13.924,T+2收盘回撤5.95%>-5%，T+2收盘卖出 (no intraday-high optimization).,26270.07
