signal_date,buy_date,model,stock_code,stock_name,score,signal_close,next_open,open_gap_pct,amount_ma20,status_tags,planned_action,planned_position_pct,hard_stop_pct,structure_stop,max_hold_days,skip_reason
2025-04-22,2025-04-23,stwg,600081,东风科技,57.5,13.52249143,13.62214133,0.736919675755332,405088847.67349994,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
2025-07-03,2025-07-04,laowang,600051,宁波联合,62.0,7.3,7.28,-0.2739726027397249,59507973.530999996,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags;liquidity_low
2025-07-08,2025-07-09,laowang,600053,*ST九鼎,64.5,15.56,15.56,0.0,163992263.566,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags
2025-07-09,2025-07-10,laowang,600053,*ST九鼎,62.0,15.71,15.52,-1.2094207511139432,165068317.766,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags
2025-07-10,2025-07-11,laowang,600053,*ST九鼎,62.0,15.83,15.82,-0.06317119393556281,171328703.33600003,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags
2025-07-16,2025-07-17,laowang,600053,*ST九鼎,62.0,15.51,15.45,-0.3868471953578423,163378920.228,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags
2025-07-17,2025-07-18,laowang,600053,*ST九鼎,62.0,15.67,15.54,-0.8296107211231751,164757705.208,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags
2025-07-18,2025-07-21,stwg,600095,湘财股份,55.5,10.93,10.92,-0.09149130832570851,1925033931.6350002,"[""STAGE_A_OK"", ""VOLUME_DRY_UP"", ""AT_PLATFORM""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
2025-07-21,2025-07-22,laowang,600053,*ST九鼎,62.0,15.62,15.48,-0.8962868117797673,170412587.542,"[""TREND_UP"", ""PULLBACK"", ""AT_SUPPORT"", ""NEAR_RESISTANCE""]",skip,0.05,-0.05,close_below_ma20,20,score_below_plan_threshold;missing_required_tags;blocked_tags
2025-07-25,2025-07-28,stwg,600100,同方股份,62.5,7.73,7.81,1.0349288486416475,334832881.979,"[""STAGE_B_COMPRESSED"", ""AT_PLATFORM"", ""BREAKOUT_R"", ""VOLUME_EXPANSION"", ""SPACE_OK""]",skip,0.05,-0.04,close_below_ma10_or_region_high,10,score_below_plan_threshold
