audit_type,audit_status,signal_date,action_date,model,stock_code,stock_name,score,audit_reason
ordinary_next_day_plan,skip,2025-04-22,2025-04-23,stwg,600081,东风科技,57.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
ordinary_next_day_plan,skip,2025-07-03,2025-07-04,laowang,600051,宁波联合,62.0,score_below_plan_threshold;missing_required_tags;blocked_tags;liquidity_low
ordinary_next_day_plan,skip,2025-07-08,2025-07-09,laowang,600053,*ST九鼎,64.5,score_below_plan_threshold;missing_required_tags;blocked_tags
ordinary_next_day_plan,skip,2025-07-09,2025-07-10,laowang,600053,*ST九鼎,62.0,score_below_plan_threshold;missing_required_tags;blocked_tags
ordinary_next_day_plan,skip,2025-07-10,2025-07-11,laowang,600053,*ST九鼎,62.0,score_below_plan_threshold;missing_required_tags;blocked_tags
ordinary_next_day_plan,skip,2025-07-16,2025-07-17,laowang,600053,*ST九鼎,62.0,score_below_plan_threshold;missing_required_tags;blocked_tags
ordinary_next_day_plan,skip,2025-07-17,2025-07-18,laowang,600053,*ST九鼎,62.0,score_below_plan_threshold;missing_required_tags;blocked_tags
ordinary_next_day_plan,skip,2025-07-18,2025-07-21,stwg,600095,湘财股份,55.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
ordinary_next_day_plan,skip,2025-07-21,2025-07-22,laowang,600053,*ST九鼎,62.0,score_below_plan_threshold;missing_required_tags;blocked_tags
ordinary_next_day_plan,skip,2025-07-25,2025-07-28,stwg,600100,同方股份,62.5,score_below_plan_threshold
ordinary_next_day_plan,skip,2025-07-25,2025-07-28,stwg,600082,ST海泰,57.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
ordinary_next_day_plan,skip,2025-07-28,2025-07-29,stwg,600051,宁波联合,59.0,score_below_plan_threshold;missing_trigger_tags;liquidity_low
ordinary_next_day_plan,skip,2025-07-28,2025-07-29,stwg,600082,ST海泰,57.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
ordinary_next_day_plan,skip,2025-07-29,2025-07-30,stwg,600082,ST海泰,57.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
ordinary_next_day_plan,skip,2025-07-29,2025-07-30,stwg,600051,宁波联合,55.0,score_below_plan_threshold;missing_trigger_tags;liquidity_low
ordinary_next_day_plan,skip,2025-07-30,2025-07-31,stwg,600082,ST海泰,65.0,missing_trigger_tags
ordinary_next_day_plan,skip,2025-07-31,2025-08-01,stwg,600082,ST海泰,55.0,score_below_plan_threshold;missing_trigger_tags
ordinary_next_day_plan,skip,2025-08-01,2025-08-04,stwg,600082,ST海泰,55.0,score_below_plan_threshold;missing_trigger_tags;liquidity_low
ordinary_next_day_plan,skip,2025-08-07,2025-08-08,stwg,600051,宁波联合,55.0,score_below_plan_threshold;missing_trigger_tags;liquidity_low
ordinary_next_day_plan,skip,2026-01-07,2026-01-08,laowang,600067,冠城新材,60.0,score_below_plan_threshold;missing_required_tags;blocked_tags
ordinary_next_day_plan,skip,2026-02-05,2026-02-06,stwg,600078,澄星股份,57.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
ordinary_next_day_plan,skip,2026-02-06,2026-02-09,stwg,600078,澄星股份,57.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
ordinary_next_day_plan,skip,2026-02-13,2026-02-24,stwg,600089,特变电工,57.5,score_below_plan_threshold;missing_required_tags;missing_trigger_tags
relay_watchlist,drop,2025-01-03,2025-01-06,relay,600071,凤凰光学,0.9971228470581919,auction_gap_lt_-1pct
relay_watchlist,drop,2025-01-08,2025-01-09,relay,600078,澄星股份,0.9931319756337593,auction_gap_lt_-1pct;liquidity_lt_150m
relay_watchlist,drop,2025-02-11,2025-02-12,relay,600081,东风科技,0.9999999995900549,red_rate_lt_0.28;auction_gap_lt_-1pct;liquidity_lt_150m
relay_watchlist,drop,2025-02-18,2025-02-19,relay,600058,五矿发展,0.8933225129569244,auction_gap_lt_-1pct;liquidity_lt_150m
relay_watchlist,watch_intraday,2025-02-19,2025-02-20,relay,600105,永鼎股份,1.0,
relay_watchlist,watch_intraday,2025-02-24,2025-02-25,relay,600100,同方股份,0.999999985358834,
relay_watchlist,drop,2025-02-27,2025-02-28,relay,600076,康欣新材,0.9999999999999943,auction_gap_gt_4pct;limit_up_open_unfilled;liquidity_lt_150m
relay_watchlist,drop,2025-02-27,2025-02-28,relay,600094,大名城,0.9999999999995003,liquidity_lt_150m
relay_watchlist,drop,2025-03-20,2025-03-21,relay,600063,皖维高新,0.8342355236207811,broken_rate_gt_0.40;auction_gap_lt_-1pct
relay_watchlist,watch_intraday,2025-03-25,2025-03-26,relay,600105,永鼎股份,0.8535463181284366,
relay_watchlist,drop,2025-04-08,2025-04-09,relay,600094,大名城,0.9997763211880931,liquidity_lt_150m
relay_watchlist,watch_intraday,2025-04-08,2025-04-09,relay,600108,亚盛集团,0.9937710405383888,
relay_watchlist,drop,2025-04-09,2025-04-10,relay,600094,大名城,1.0,broken_rate_gt_0.40;auction_gap_lt_-1pct;liquidity_lt_150m
relay_watchlist,watch_intraday,2025-04-22,2025-04-23,relay,600105,永鼎股份,0.9124182087452888,
relay_watchlist,watch_intraday,2025-05-20,2025-05-21,relay,600006,东风股份,0.9738833479287013,
relay_watchlist,watch_intraday,2025-05-26,2025-05-27,relay,600105,永鼎股份,0.999084165969824,
relay_watchlist,drop,2025-05-29,2025-05-30,relay,600006,东风股份,0.7261641887114854,auction_gap_lt_-1pct
relay_watchlist,watch_intraday,2025-06-09,2025-06-10,relay,600059,古越龙山,0.8363974502587888,
relay_watchlist,watch_intraday,2025-06-17,2025-06-18,relay,600110,诺德股份,0.9997255664509135,
relay_watchlist,drop,2025-06-18,2025-06-19,relay,600110,诺德股份,0.9983159231107774,auction_gap_gt_4pct
relay_watchlist,drop,2025-06-19,2025-06-20,relay,600110,诺德股份,0.9929970334683907,auction_gap_gt_4pct
relay_watchlist,drop,2025-06-23,2025-06-24,relay,600110,诺德股份,0.9999995556019611,max_board_gt_3;auction_gap_lt_-1pct
relay_watchlist,drop,2025-06-24,2025-06-25,relay,600110,诺德股份,0.999492563469204,max_board_gt_3
relay_watchlist,drop,2025-06-24,2025-06-25,relay,600095,湘财股份,0.9981232880308416,max_board_gt_3
relay_watchlist,drop,2025-06-25,2025-06-26,relay,600095,湘财股份,0.9999999999999931,max_board_gt_3;auction_gap_gt_4pct
relay_watchlist,drop,2025-06-25,2025-06-26,relay,600110,诺德股份,0.999999833009083,max_board_gt_3
relay_watchlist,drop,2025-07-11,2025-07-14,relay,600010,包钢股份,1.0,auction_gap_gt_4pct
relay_watchlist,drop,2025-07-22,2025-07-23,relay,600089,特变电工,0.9999996610781172,broken_rate_gt_0.40
relay_watchlist,watch_intraday,2025-07-24,2025-07-25,relay,600010,包钢股份,0.9999999999999961,
relay_watchlist,drop,2025-07-30,2025-07-31,relay,600010,包钢股份,0.9999999999999998,broken_rate_gt_0.40;auction_gap_lt_-1pct
relay_watchlist,drop,2025-07-31,2025-08-01,relay,600110,诺德股份,0.9131349785218589,red_rate_lt_0.28
relay_watchlist,drop,2025-08-15,2025-08-18,relay,600076,康欣新材,1.0,auction_gap_gt_4pct;liquidity_lt_150m
relay_watchlist,watch_intraday,2025-08-15,2025-08-18,relay,600021,上海电力,0.9999999999999993,
relay_watchlist,watch_intraday,2025-08-18,2025-08-19,relay,600021,上海电力,0.9999999999956961,
relay_watchlist,drop,2025-08-18,2025-08-19,relay,600110,诺德股份,0.9999842903125188,auction_gap_gt_4pct
relay_watchlist,drop,2025-08-19,2025-08-20,relay,600076,康欣新材,0.999951837262482,liquidity_lt_150m
relay_watchlist,watch_intraday,2025-08-19,2025-08-20,relay,600110,诺德股份,0.9850972151138462,
relay_watchlist,drop,2025-08-20,2025-08-21,relay,600104,上汽集团,0.9937506645032536,red_rate_lt_0.28
relay_watchlist,drop,2025-08-25,2025-08-26,relay,600010,包钢股份,1.0,broken_rate_gt_0.40
relay_watchlist,watch_intraday,2025-09-02,2025-09-03,relay,600103,青山纸业,0.999921649930735,
relay_watchlist,drop,2025-09-05,2025-09-08,relay,600103,青山纸业,0.7989547096729481,auction_gap_gt_4pct;limit_up_open_unfilled
relay_watchlist,drop,2025-09-08,2025-09-09,relay,600026,中远海能,0.8366121893115653,broken_rate_gt_0.40;auction_gap_lt_-1pct
relay_watchlist,drop,2025-09-09,2025-09-10,relay,600103,青山纸业,0.9717099500631003,broken_rate_gt_0.40;red_rate_lt_0.28;auction_gap_gt_4pct
relay_watchlist,drop,2025-09-10,2025-09-11,relay,600103,青山纸业,1.0,auction_gap_gt_4pct;limit_up_open_unfilled
relay_watchlist,watch_intraday,2025-09-11,2025-09-12,relay,600071,凤凰光学,1.0,
relay_watchlist,drop,2025-09-11,2025-09-12,relay,600103,青山纸业,1.0,auction_gap_gt_4pct;limit_up_open_unfilled
relay_watchlist,watch_intraday,2025-09-17,2025-09-18,relay,600089,特变电工,0.9999999989322179,
relay_watchlist,drop,2025-09-18,2025-09-19,relay,600056,中国医药,0.9999998145109851,red_rate_lt_0.28
relay_watchlist,drop,2025-09-24,2025-09-25,relay,600103,青山纸业,0.9999830215034334,auction_gap_lt_-1pct
relay_watchlist,watch_intraday,2025-09-24,2025-09-25,relay,600060,海信视像,0.8815078242525056,
relay_watchlist,watch_intraday,2025-10-09,2025-10-10,relay,600021,上海电力,1.0,
relay_watchlist,watch_intraday,2025-10-09,2025-10-10,relay,600089,特变电工,1.0,
relay_watchlist,watch_intraday,2025-10-13,2025-10-14,relay,600105,永鼎股份,0.9999999999999992,
relay_watchlist,drop,2025-10-13,2025-10-14,relay,600078,澄星股份,0.9996721263863755,auction_gap_gt_4pct;limit_up_open_unfilled;liquidity_lt_150m
relay_watchlist,drop,2025-10-14,2025-10-15,relay,600067,冠城新材,0.9921718477870252,max_board_gt_3;broken_rate_gt_0.40;auction_gap_gt_4pct;liquidity_lt_150m
relay_watchlist,drop,2025-10-17,2025-10-20,relay,600078,澄星股份,0.723721526981719,auction_gap_lt_-1pct
relay_watchlist,drop,2025-10-20,2025-10-21,relay,600103,青山纸业,0.7653291159300706,red_rate_lt_0.28
relay_watchlist,watch_intraday,2025-10-21,2025-10-22,relay,600021,上海电力,0.9999999889959513,
relay_watchlist,drop,2025-10-28,2025-10-29,relay,600078,澄星股份,0.7265114903620165,broken_rate_gt_0.40
relay_watchlist,drop,2025-10-29,2025-10-30,relay,600021,上海电力,0.9999984238418499,broken_rate_gt_0.40;red_rate_lt_0.28;auction_gap_lt_-1pct
relay_watchlist,drop,2025-10-31,2025-11-03,relay,600067,冠城新材,0.9999999999999953,broken_rate_gt_0.40
relay_watchlist,watch_intraday,2025-11-03,2025-11-04,relay,600089,特变电工,0.999599780717834,
relay_watchlist,drop,2025-11-04,2025-11-05,relay,600067,冠城新材,0.9999999999949539,auction_gap_lt_-1pct
relay_watchlist,drop,2025-11-07,2025-11-10,relay,600078,澄星股份,0.9999999998968225,auction_gap_gt_4pct;limit_up_open_unfilled
relay_watchlist,watch_intraday,2025-11-10,2025-11-11,relay,600067,冠城新材,0.9999999989991509,
relay_watchlist,watch_intraday,2025-11-10,2025-11-11,relay,600103,青山纸业,0.999999994731895,
relay_watchlist,drop,2025-11-11,2025-11-12,relay,600094,大名城,0.9998587297494631,broken_rate_gt_0.40;auction_gap_lt_-1pct
