model,signals,trades,final_capital,return_pct,max_dd_pct,win_rate,avg_hold_days,rule,planned_buys,watch_intraday
laowang,8,2,106006.26752950002,6.00626752950002,6.601445896577805,100.0,17.5,laowang_style,,
laowang,8,4,108904.14348703007,8.90414348703008,2.678660278189229,50.0,5.5,ma5_break,,
ywcx,0,0,100000.0,0.0,0.0,0.0,0.0,ywcx_style,,
ywcx,0,0,100000.0,0.0,0.0,0.0,0.0,ma5_break,,
stwg,12,6,103512.6937086327,3.512693708632697,8.943056579026376,50.0,5.333333333333333,stwg_style,,
stwg,12,7,103833.50581344223,3.8335058134422395,6.3241746877310625,57.14285714285714,3.5714285714285716,ma5_break,,
fhkq,0,0,100000.0,0.0,0.0,0.0,0.0,fhkq_style,,
fhkq,0,0,100000.0,0.0,0.0,0.0,0.0,ma5_break,,
relay,100,27,110684.4236682315,10.684423668231503,24.520841907770233,48.148148148148145,2.185185185185185,relay_style,,
relay,100,20,116983.42375163725,16.98342375163726,38.9014391616757,50.0,4.65,ma5_break,,
ordinary_manual,23,0,100000.0,0.0,0.0,0.0,0.0,manual_open_v1,0.0,
relay_manual,116,18,100543.86480629384,0.5438648062938478,0.6078663878356564,50.0,2.2222222222222223,relay_hybrid_v1_proxy_daily,18.0,48.0
