signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-07,2025-01-08,09:30:00,2025-01-09,15:00:00,002346,柘中股份,800,11.57464287,11.22653331,9259.714296,8981.226648,5.0,5.0,10.0,-288.48764800000026,-0.03113832102999156,9711.512352,Top3 pick rank=1; score=100.00%; raw_prob=44.07%; board=2; ret1=10.04%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-3.01%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-01-13,2025-01-14,09:30:00,2025-01-15,15:00:00,600507,方大特钢,2100,4.50741642,4.21949775,9465.574482,8860.945275,5.0,5.0,10.0,-614.629207,-0.06489883038966421,9096.883145,Top3 pick rank=1; score=100.00%; raw_prob=51.81%; board=1; ret1=10.11%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-6.39%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-01-16,2025-01-17,09:30:00,2025-01-20,15:00:00,002212,天融信,1300,6.7918854,6.732045,8829.45102,8751.6585,5.0,5.0,10.0,-87.79252000000088,-0.009937518449222311,9009.090624999999,Top3 pick rank=1; score=56.54%; raw_prob=30.13%; board=1; ret1=10.08%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-0.88%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-01-22,2025-01-23,09:30:00,2025-01-24,15:00:00,600936,北投科技,2400,3.67,3.03,8808.0,7271.999999999999,5.0,5.0,10.0,-1546.000000000001,-0.17542267105412468,7463.090624999998,Top3 pick rank=1; score=100.00%; raw_prob=48.41%; board=3; ret1=10.03%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-17.44%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-05,2025-02-06,09:30:00,2025-02-07,15:00:00,600797,浙大网新,1000,7.42,7.64,7420.0,7640.0,5.0,5.0,10.0,210.0,0.028282828282828285,7673.090624999998,Top3 pick rank=1; score=100.00%; raw_prob=50.75%; board=1; ret1=9.94%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨2.96%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-10,2025-02-11,09:30:00,2025-02-12,15:00:00,600178,东安动力,600,12.77,12.7,7662.0,7620.0,5.0,5.0,10.0,-52.0,-0.0067823138124429375,7621.090624999998,Top3 pick rank=1; score=100.00%; raw_prob=49.58%; board=1; ret1=9.98%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-0.55%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-13,2025-02-14,09:30:00,2025-02-17,15:00:00,300027,华谊兄弟,2200,3.46,3.01,7612.0,6621.999999999999,5.0,5.0,10.0,-1000.0000000000009,-0.1312852829197848,6621.090624999997,Top3 pick rank=2; score=100.00%; raw_prob=46.66%; board=1; ret1=19.86%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-13.01%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-18,2025-02-19,09:30:00,2025-02-20,15:00:00,000761,本钢板材,1700,3.86,3.7,6562.0,6290.0,5.0,5.0,10.0,-282.0,-0.0429419826404751,6339.090624999997,Top3 pick rank=1; score=100.00%; raw_prob=45.81%; board=1; ret1=9.97%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-4.15%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-21,2025-02-24,09:30:00,2025-02-25,15:00:00,002261,拓维信息,100,42.15,37.37,4215.0,3736.9999999999995,5.0,5.0,10.0,-488.0,-0.11563981042654028,5851.090624999997,Top3 pick rank=1; score=99.85%; raw_prob=39.17%; board=1; ret1=10.01%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-11.34%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-26,2025-02-27,09:30:00,2025-02-28,15:00:00,300083,创世纪,500,9.8,9.19,4900.0,4595.0,5.0,5.0,10.0,-315.0,-0.06422018348623854,5536.090624999997,Top3 pick rank=2; score=99.13%; raw_prob=37.44%; board=1; ret1=20.05%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=balanced (broken<=45.00%, red>=24.00%, limit_down<=20, pullback<=9.00%); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-6.22%未触发延长，T+2收盘卖出 (no intraday-high optimization).
