signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-03,2025-01-06,09:30:00,2025-01-07,15:00:00,000533,顺钠股份,1300,7.48,7.45,9724.0,9685.0,5.0,5.0,10.0,-49.0,-0.005036488847774695,9951.0,Top1 pick rank=1; score=100.00%; raw_prob=58.40%; board=1; ret1=10.04%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-0.40%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-01-10,2025-01-13,09:30:00,2025-01-14,15:00:00,002571,德力股份,1700,5.57,4.95,9469.0,8415.0,5.0,5.0,10.0,-1064.0,-0.11230736753219338,8887.0,Top1 pick rank=1; score=100.00%; raw_prob=55.17%; board=2; ret1=9.96%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-11.13%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-01-15,2025-01-16,09:30:00,2025-01-17,15:00:00,002164,宁波东力,1400,6.33,6.33,8862.0,8862.0,5.0,5.0,10.0,-10.0,-0.001127777151234916,8877.0,Top1 pick rank=1; score=99.96%; raw_prob=40.24%; board=3; ret1=9.98%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨0.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-01-21,2025-01-22,09:30:00,2025-01-24,15:00:00,002691,冀凯股份,1100,7.51,7.59,8261.0,8349.0,5.0,5.0,10.0,78.0,0.009436244858456327,8955.0,Top1 pick rank=1; score=100.00%; raw_prob=55.01%; board=6; ret1=10.07%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨12.25%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-01-27,2025-02-05,09:30:00,2025-02-06,15:00:00,000856,冀东装备,700,11.46,11.23,8022.000000000001,7861.0,5.0,5.0,10.0,-171.0,-0.021303102030646566,8784.0,Top1 pick rank=1; score=100.00%; raw_prob=48.68%; board=6; ret1=10.03%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-2.01%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-10,2025-02-11,09:30:00,2025-02-12,15:00:00,600178,东安动力,600,12.77,12.7,7662.0,7620.0,5.0,5.0,10.0,-52.0,-0.0067823138124429375,8732.0,Top1 pick rank=1; score=100.00%; raw_prob=49.58%; board=1; ret1=9.98%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-0.55%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-13,2025-02-14,09:30:00,2025-02-17,15:00:00,002123,梦网科技,300,22.85,20.57,6855.0,6171.0,5.0,5.0,10.0,-694.0,-0.10116618075801749,8038.0,Top1 pick rank=1; score=100.00%; raw_prob=55.13%; board=7; ret1=10.01%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-9.98%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-18,2025-02-19,09:30:00,2025-02-20,15:00:00,000761,本钢板材,2000,3.86,3.7,7720.0,7400.0,5.0,5.0,10.0,-330.0,-0.04271844660194175,7708.0,Top1 pick rank=1; score=100.00%; raw_prob=45.81%; board=1; ret1=9.97%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-4.15%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-21,2025-02-24,09:30:00,2025-02-25,15:00:00,002261,拓维信息,100,42.15,37.37,4215.0,3736.9999999999995,5.0,5.0,10.0,-488.0,-0.11563981042654028,7220.0,Top1 pick rank=1; score=99.85%; raw_prob=39.17%; board=1; ret1=10.01%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-11.34%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-27,2025-02-28,09:30:00,2025-03-03,15:00:00,301003,江苏博云,200,31.17675459,26.93265066,6235.350918,5386.530132,5.0,5.0,10.0,-858.8207860000002,-0.1376237966879029,6361.179214,Top1 pick rank=1; score=100.00%; raw_prob=51.93%; board=2; ret1=20.01%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=100%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-13.61%未触发延长，T+2收盘卖出 (no intraday-high optimization).
