seed,threshold,alloc,ret_pct,dd_pct,trades
420,0.6,0.998,-67.94780524999997,71.35301704568415,55
420,0.6,0.9998,-68.10780524999997,71.49601871244803,55
420,0.62,0.9998,-68.10780524999997,71.49601871244803,55
421,0.6,0.998,-73.70908121,74.99908121000001,59
421,0.6,0.9998,-73.70908121,74.99908121000001,59
421,0.62,0.9998,-73.70908121,74.99908121000001,59
422,0.6,0.998,5.403273280000032,38.039915973047954,60
422,0.6,0.9998,5.403273280000032,38.039915973047954,60
422,0.62,0.9998,5.403273280000032,38.039915973047954,60
423,0.6,0.998,-50.84338078999999,66.46338078999999,52
423,0.6,0.9998,-56.63295425000001,67.84295424999999,52
423,0.62,0.9998,-56.63295425000001,67.84295424999999,52
424,0.6,0.998,-28.1581246000001,47.61786470925099,55
424,0.6,0.9998,-28.432787800000114,47.854104477029814,55
424,0.62,0.9998,-28.432787800000114,47.854104477029814,55
425,0.6,0.998,-15.75742318999993,58.28432030550768,61
425,0.6,0.9998,-15.75742318999993,58.28432030550768,61
425,0.62,0.9998,-15.75742318999993,58.28432030550768,61
426,0.6,0.998,9.36432223000001,45.38652651296149,61
426,0.6,0.9998,10.054322230000023,45.38652651296149,61
426,0.62,0.9998,10.054322230000023,45.38652651296149,61
427,0.6,0.998,-43.960235660000016,65.60480793942746,58
427,0.6,0.9998,-43.960235660000016,65.60480793942746,58
427,0.62,0.9998,-43.960235660000016,65.60480793942746,58
428,0.6,0.998,-32.23038603999993,54.213594879842695,57
428,0.6,0.9998,-32.340386039999935,54.26242368625582,57
428,0.62,0.9998,-32.340386039999935,54.26242368625582,57
429,0.6,0.998,-88.63308481999998,88.65308481999999,48
429,0.6,0.9998,-88.63308481999998,88.65308481999999,48
429,0.62,0.9998,-88.63308481999998,88.65308481999999,48
430,0.6,0.998,-65.25962459000006,75.0098177856786,55
430,0.6,0.9998,-65.25962459000006,75.0098177856786,55
430,0.62,0.9998,-65.25962459000006,75.0098177856786,55
431,0.6,0.998,-24.201491100000005,61.09116759109935,59
431,0.6,0.9998,-24.13161703000002,61.03605304294082,59
431,0.62,0.9998,-24.13161703000002,61.03605304294082,59
432,0.6,0.998,-60.99719911000001,62.53840374688045,62
432,0.6,0.9998,-60.99719911000001,62.53840374688045,62
432,0.62,0.9998,-46.90177134999999,49.56405733268301,63
433,0.6,0.998,-21.642771480000043,55.97572145,61
433,0.6,0.9998,-21.642771480000043,55.97572145,61
433,0.62,0.9998,-21.642771480000043,55.97572145,61
