variant,seed,target_gt,hidden,epochs,alpha,top_k,gap_min,gap_max,threshold,alloc,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.025,0.55,0.998,-54.04761981999997,62.472430320461704,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.025,0.55,0.9998,-53.05913015999997,61.65986338645101,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.025,0.6,0.998,-54.04761981999997,62.472430320461704,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.025,0.6,0.9998,-53.05913015999997,61.65986338645101,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.025,0.65,0.998,-54.04761981999997,62.472430320461704,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.025,0.65,0.9998,-53.05913015999997,61.65986338645101,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0255,0.55,0.998,-54.04761981999997,62.472430320461704,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0255,0.55,0.9998,-53.05913015999997,61.65986338645101,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0255,0.6,0.998,-54.04761981999997,62.472430320461704,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0255,0.6,0.9998,-53.05913015999997,61.65986338645101,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0255,0.65,0.998,-54.04761981999997,62.472430320461704,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0255,0.65,0.9998,-53.05913015999997,61.65986338645101,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.026,0.55,0.998,-56.21654935999999,64.25535279069071,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.026,0.55,0.9998,-53.80805969999998,62.27550501097529,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.026,0.6,0.998,-56.21654935999999,64.25535279069071,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.026,0.6,0.9998,-53.80805969999998,62.27550501097529,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.026,0.65,0.998,-56.21654935999999,64.25535279069071,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.026,0.65,0.9998,-53.80805969999998,62.27550501097529,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0265,0.55,0.998,-37.22384135000007,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0265,0.55,0.9998,-37.99384135000008,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0265,0.6,0.998,-37.22384135000007,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0265,0.6,0.9998,-37.99384135000008,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0265,0.65,0.998,-37.22384135000007,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0015,0.0265,0.65,0.9998,-37.99384135000008,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.025,0.55,0.998,-45.82978501999996,59.35050087173573,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.025,0.55,0.9998,-43.26129535999996,57.23912848968739,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.025,0.6,0.998,-45.82978501999996,59.35050087173573,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.025,0.6,0.9998,-43.26129535999996,57.23912848968739,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.025,0.65,0.998,-45.82978501999996,59.35050087173573,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.025,0.65,0.9998,-43.26129535999996,57.23912848968739,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0255,0.55,0.998,-45.82978501999996,59.35050087173573,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0255,0.55,0.9998,-43.26129535999996,57.23912848968739,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0255,0.6,0.998,-45.82978501999996,59.35050087173573,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0255,0.6,0.9998,-43.26129535999996,57.23912848968739,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0255,0.65,0.998,-45.82978501999996,59.35050087173573,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0255,0.65,0.9998,-43.26129535999996,57.23912848968739,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.026,0.55,0.998,-47.15871455999997,60.44291917971687,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.026,0.55,0.9998,-45.34022489999997,58.94806837110412,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.026,0.6,0.998,-47.15871455999997,60.44291917971687,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.026,0.6,0.9998,-45.34022489999997,58.94806837110412,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.026,0.65,0.998,-47.15871455999997,60.44291917971687,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.026,0.65,0.9998,-45.34022489999997,58.94806837110412,51
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.55,0.998,-30.553841350000077,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.55,0.9998,-31.32384135000007,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.6,0.998,-30.553841350000077,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.6,0.9998,-31.32384135000007,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.65,0.998,-30.553841350000077,51.80668964210461,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.001,0.0265,0.65,0.9998,-31.32384135000007,52.40218284610651,52
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.55,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.55,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.6,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.6,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.65,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.025,0.65,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.55,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.55,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.6,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.6,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.65,0.998,-33.914979399999936,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.0255,0.65,0.9998,-34.45497939999994,54.710790143225374,49
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.55,0.998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.55,0.9998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.6,0.998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.6,0.9998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.65,0.998,-38.323552119999945,54.710790143225374,50
mlp_h48_e300_gt0,419,0.0,48,300,14,2,-0.0005,0.026,0.65,0.9998,-38.323552119999945,54.710790143225374,50
