stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,2834.0574691225697,16.00905119684059,62,2834.0574691225697
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,loss_rebound_t3,4,0.7,1.0,-0.0005,0.0265,0.412,0.287,10,0.065,1374.3882058724812,39.18381787767662,66,-1392.0699394487128
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,2,0.68,0.9998,-0.0005,0.0265,0.406,0.275,12,0.06,1105.0330025820297,27.93417352535012,55,-311.46782045998475
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,t2_close,4,0.62,1.0,-0.0005,0.0265,0.412,0.275,10,0.065,1098.0773066492395,32.556924924486495,67,-873.1536842891401
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,t2_close,4,0.68,0.999,-0.0005,0.0265,0.406,0.287,10,0.06,387.0828263228401,39.46106401681559,65,-2412.644855695031
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,t2_close,3,0.7,1.0,-0.0005,0.0265,0.412,0.275,10,0.06,2427.9258711272696,32.87558531922968,63,418.45563281970817
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,18,t2_close,3,0.66,0.9998,-0.0005,0.0265,0.412,0.275,10,0.06,1444.2667346870626,24.592141935601436,65,428.8097024148901
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,strong_hold_t3,3,0.7,1.0,-0.001,0.0255,0.412,0.287,10,0.065,532.8256126221648,23.885607545471636,60,-397.84729283443164
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,17,loss_rebound_t3,4,0.62,1.0,-0.0005,0.0255,0.412,0.275,12,0.065,239.53712156511514,46.6230688174468,67,-3419.631136528501
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,16,strong_hold_t3,2,0.68,1.0,-0.0005,0.0255,0.406,0.287,10,0.06,414.9585816387451,35.69552174420874,57,-1932.9040276663038
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-04-01,17,loss_rebound_t3,3,0.62,1.0,-0.0005,0.0265,0.406,0.275,10,0.065,674.5975609480697,40.86512493634022,61,-2293.617431412757
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,loss_rebound_t3,3,0.66,0.999,-0.0005,0.0265,0.412,0.275,10,0.06,683.4790368653701,40.775914878241274,60,-2274.0307485235826
gen1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,14,loss_rebound_t3,2,0.64,1.0,-0.001,0.0255,0.406,0.275,10,0.06,1008.5211861635922,27.93417352535012,55,-407.9796368784222
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3091.114719633972,16.01910595150687,63,3091.114719633972
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,1898.4207982997993,18.22800339605088,63,1646.6603907736935
gen1,88,520,0.0205,0.0002,0.01,440,tie_e520,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,2812.99144131342,16.00905119684059,63,2812.99144131342
