stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,84,500,0.021,0.0002,0.01,440,manual,15,0.6,0.9998,-0.001,0.0255,-56.13899163,63.444793180000026,59,-5733.914173230003
stage1,84,500,0.021,0.0002,0.01,440,manual,15,0.62,0.9998,-0.001,0.0255,-56.13899163,63.444793180000026,59,-5733.914173230003
stage1,84,500,0.021,0.0002,0.01,440,manual,15,0.64,0.9998,-0.0005,0.0265,-56.13899163,63.444793180000026,59,-5733.914173230003
stage1,92,500,0.021,0.0002,0.01,440,manual,15,0.6,0.9998,-0.001,0.0255,-52.5569264,59.56289772380752,58,-5264.504653256901
stage1,92,500,0.021,0.0002,0.01,440,manual,15,0.62,0.9998,-0.001,0.0255,-52.5569264,59.56289772380752,58,-5264.504653256901
stage1,92,500,0.021,0.0002,0.01,440,manual,15,0.64,0.9998,-0.0005,0.0265,-31.106602489999958,48.27074028329359,57,-3887.9954364852315
stage1,88,560,0.02,0.0002,0.01,440,manual,15,0.6,0.9998,-0.001,0.0255,2925.1763212287856,15.991072045273485,64,2925.1763212287856
stage1,88,560,0.02,0.0002,0.01,440,manual,15,0.62,0.9998,-0.001,0.0255,2925.1763212287856,15.991072045273485,64,2925.1763212287856
stage1,88,560,0.02,0.0002,0.01,440,manual,15,0.64,0.9998,-0.0005,0.0265,1829.4775952918396,18.348642515594296,63,1563.240493420524
stage1,88,460,0.022,0.0002,0.01,440,manual,15,0.6,0.9998,-0.001,0.0255,2864.287344633972,20.487777580081044,64,2341.354035024247
stage1,88,460,0.022,0.0002,0.01,440,manual,15,0.62,0.9998,-0.001,0.0255,2864.287344633972,20.487777580081044,64,2341.354035024247
stage1,88,460,0.022,0.0002,0.01,440,manual,15,0.64,0.9998,-0.0005,0.0265,2864.287344633972,20.487777580081044,64,2341.354035024247
stage1,96,560,0.02,0.00016,0.012,430,manual,15,0.6,0.9998,-0.001,0.0255,-84.05291963,84.05291963,46,-8234.80327523
stage1,96,560,0.02,0.00016,0.012,430,manual,15,0.62,0.9998,-0.001,0.0255,-84.05291963,84.05291963,46,-8234.80327523
stage1,96,560,0.02,0.00016,0.012,430,manual,15,0.64,0.9998,-0.0005,0.0265,-76.86291963,81.53257007,51,-7925.171328030001
stage1,80,460,0.0225,0.00024,0.009,450,manual,15,0.6,0.9998,-0.001,0.0255,35.625340110000025,43.66031598259711,61,-3268.0125778016536
stage1,80,460,0.0225,0.00024,0.009,450,manual,15,0.62,0.9998,-0.001,0.0255,35.625340110000025,43.66031598259711,61,-3268.0125778016536
stage1,80,460,0.0225,0.00024,0.009,450,manual,15,0.64,0.9998,-0.0005,0.0265,75.12433379000005,41.601506786184935,62,-2981.4564805521923
stage1,112,560,0.0261,0.00017,0.015,458,random,15,0.6,0.9998,-0.001,0.0255,-80.10681557000002,82.30681557000001,54,-8021.324683970002
