stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.0002,0.01,434,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-59.617889479999974,70.00788947999997,60,-6524.964627079997
stage1,88,500,0.021,0.0002,0.01,434,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-59.617889479999974,70.00788947999997,60,-6524.964627079997
stage1,88,500,0.021,0.0002,0.01,434,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-52.243954559999985,64.93395455999999,61,-5908.7185017599995
stage1,88,500,0.021,0.0002,0.01,434,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-59.84018722999998,70.23018722999997,60,-6551.862654829997
stage1,88,500,0.021,0.0002,0.01,435,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-46.87866505999998,68.61378126695789,59,-6344.932417094947
stage1,88,500,0.021,0.0002,0.01,435,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-46.87866505999998,68.61378126695789,59,-6344.932417094947
stage1,88,500,0.021,0.0002,0.01,435,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-34.010688619999996,63.227192403508724,63,-5685.673777041047
stage1,88,500,0.021,0.0002,0.01,435,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-46.938665059999984,68.69244083757184,59,-6354.431565568621
stage1,88,500,0.021,0.0002,0.01,436,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-1.4675692100000415,52.80948913588145,60,-4403.006265515774
stage1,88,500,0.021,0.0002,0.01,436,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-1.4675692100000415,52.80948913588145,60,-4403.006265515774
stage1,88,500,0.021,0.0002,0.01,436,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,18.660832430000006,52.02573765783478,62,-4288.827686510174
stage1,88,500,0.021,0.0002,0.01,436,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-1.507569210000037,52.80948913588145,60,-4403.046265515774
stage1,88,500,0.021,0.0002,0.01,437,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-43.33492232999999,63.69471569537063,60,-5751.100805774477
stage1,88,500,0.021,0.0002,0.01,437,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-43.33492232999999,63.69471569537063,60,-5751.100805774477
stage1,88,500,0.021,0.0002,0.01,437,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-48.12635509000002,68.10317492026677,59,-6284.907345522013
stage1,88,500,0.021,0.0002,0.01,437,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-43.33492232999999,63.69471569537063,60,-5751.100805774477
stage1,88,500,0.021,0.0002,0.01,438,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-64.79071547999997,76.89463090194603,61,-7356.546423713524
stage1,88,500,0.021,0.0002,0.01,438,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-64.79071547999997,76.89463090194603,61,-7356.546423713524
stage1,88,500,0.021,0.0002,0.01,438,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-66.71339320999998,78.44451136266554,60,-7544.454756729864
stage1,88,500,0.021,0.0002,0.01,438,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-66.77071547999998,78.4897774116348,61,-7549.944004876177
stage1,88,520,0.0205,0.0002,0.01,438,seed_near_e520,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,520,0.0205,0.0002,0.01,438,seed_near_e520,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,520,0.0205,0.0002,0.01,438,seed_near_e520,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-56.415861050000004,73.46360150634193,61,-6936.448041811032
stage1,88,520,0.0205,0.0002,0.01,438,seed_near_e520,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,-66.76857315999999,78.48808567189688,62,-7549.738853787627
stage1,88,500,0.021,0.0002,0.01,439,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_near,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,23.36148213,49.73258131428812,61,-4008.9482755845743
stage1,88,500,0.021,0.0002,0.01,439,seed_near,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,15.033232230000038,50.89578606703159,62,-4156.86109581379
stage1,88,520,0.0205,0.0002,0.01,439,seed_near_e520,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,520,0.0205,0.0002,0.01,439,seed_near_e520,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,520,0.0205,0.0002,0.01,439,seed_near_e520,15,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,23.36148213,49.73258131428812,61,-4008.9482755845743
stage1,88,520,0.0205,0.0002,0.01,439,seed_near_e520,15,0.6,0.998,-0.001,0.0255,0.412,0.287,10,0.065,15.033232230000038,50.89578606703159,62,-4156.86109581379
stage1,88,500,0.021,0.0002,0.01,440,seed_near,15,0.6,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,seed_near,15,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,3055.384797133972,16.01910595150687,64,3055.384797133972
