rows=1976
feasible=237
best={'stage': 'stage1', 'hidden': 88, 'epochs': 500, 'lr': 0.021, 'weight_decay': 0.0002, 'target_gt': 0.01, 'seed': 440, 'tag': 'seed_near', 'alpha': 15, 'threshold': 0.6, 'alloc': 0.9998, 'gap_min': -0.001, 'gap_max': 0.0255, 'max_broken_rate': 0.412, 'min_red_rate': 0.287, 'max_limit_down': 10, 'max_pullback': 0.065, 'ret_pct': 3055.384797133972, 'dd_pct': 16.01910595150687, 'trades': 64, 'obj': 3055.384797133972}
csv=reports/search_npz_riskmut_v7.csv

[top20_feasible]
 stage  hidden  epochs     lr  weight_decay  target_gt  seed            tag  alpha  threshold  alloc  gap_min  gap_max  max_broken_rate  min_red_rate  max_limit_down  max_pullback     ret_pct    dd_pct  trades         obj
stage1      88     500 0.0210       0.00020       0.01   440      seed_near     15     0.6000 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage1      88     500 0.0210       0.00020       0.01   440      seed_near     15     0.6400 0.9998  -0.0005   0.0265            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage1      88     520 0.0205       0.00020       0.01   440 seed_near_e520     15     0.6200 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage1      88     500 0.0210       0.00020       0.01   440      seed_near     15     0.6200 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage1      88     500 0.0210       0.00016       0.01   440         tie_hp     15     0.6000 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage1      88     500 0.0210       0.00016       0.01   440         tie_hp     15     0.6200 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage1      88     500 0.0210       0.00016       0.01   440         tie_hp     15     0.6400 0.9998  -0.0005   0.0265            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage1      88     500 0.0215       0.00022       0.01   440         tie_hp     15     0.6200 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3055.384797 16.019106      64 3055.384797
stage2      88     500 0.0210       0.00020       0.01   440      seed_near     15     0.6319 0.9994  -0.0006   0.0256            0.422         0.299              10         0.062 3054.752185 16.019106      64 3054.752185
stage2      88     500 0.0215       0.00022       0.01   440         tie_hp     15     0.6720 0.9982  -0.0007   0.0254            0.422         0.303              10         0.061 3054.169147 15.970330      64 3054.169147
stage1      88     500 0.0210       0.00020       0.01   440      seed_near     15     0.6000 0.9980  -0.0010   0.0255            0.412         0.287              10         0.065 3054.169147 15.970330      64 3054.169147
stage1      88     500 0.0210       0.00016       0.01   440         tie_hp     15     0.6000 0.9980  -0.0010   0.0255            0.412         0.287              10         0.065 3054.169147 15.970330      64 3054.169147
stage2      88     500 0.0210       0.00016       0.01   440         tie_hp     15     0.6489 1.0000  -0.0007   0.0255            0.416         0.262              10         0.063 3033.317962 16.012467      64 3033.317962
stage2      88     500 0.0210       0.00016       0.01   440         tie_hp     15     0.5626 0.9999  -0.0006   0.0268            0.413         0.302              10         0.063 3032.447346 16.019106      65 3032.447346
stage1      88     520 0.0205       0.00020       0.01   440 seed_near_e520     15     0.6000 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3032.330231 16.019106      65 3032.330231
stage1      88     500 0.0215       0.00022       0.01   440         tie_hp     15     0.6000 0.9998  -0.0010   0.0255            0.412         0.287              10         0.065 3032.330231 16.019106      65 3032.330231
stage2      88     500 0.0210       0.00016       0.01   440         tie_hp     15     0.5622 0.9981  -0.0009   0.0257            0.412         0.265              10         0.067 3031.053803 15.970330      65 3031.053803
stage1      88     520 0.0205       0.00020       0.01   440 seed_near_e520     15     0.6000 0.9980  -0.0010   0.0255            0.412         0.287              10         0.065 3031.035508 15.970330      65 3031.035508
stage1      88     500 0.0215       0.00022       0.01   440         tie_hp     15     0.6000 0.9980  -0.0010   0.0255            0.412         0.287              10         0.065 3031.035508 15.970330      65 3031.035508
stage2      88     500 0.0215       0.00022       0.01   440         tie_hp     15     0.6199 0.9985  -0.0020   0.0254            0.424         0.278              10         0.071 2696.437802 16.013615      65 2696.437802
