stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-01-01,15,0.6,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-01-01,15,0.62,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-01-01,15,0.64,0.9998,-0.0005,0.0265,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-06-01,15,0.6,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-06-01,15,0.62,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-06-01,15,0.64,0.9998,-0.0005,0.0265,991.2446773478074,40.80563031508421,62,-1969.8309604622978
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-09-01,15,0.6,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-09-01,15,0.62,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-09-01,15,0.64,0.9998,-0.0005,0.0265,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-12-01,15,0.6,0.9998,-0.001,0.0255,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-12-01,15,0.62,0.9998,-0.001,0.0255,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-01-01,15,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-01-01,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.6,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.62,0.9998,-0.001,0.0255,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-01-01,15,0.6,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-01-01,15,0.62,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-01-01,15,0.64,0.9998,-0.0005,0.0265,1399.9917917940477,18.352813762066265,66,1133.2541403460957
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-06-01,15,0.6,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-06-01,15,0.62,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-06-01,15,0.64,0.9998,-0.0005,0.0265,991.2446773478074,40.80563031508421,62,-1969.8309604622978
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-09-01,15,0.6,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-09-01,15,0.62,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-09-01,15,0.64,0.9998,-0.0005,0.0265,1050.3876981735077,46.79215411088352,62,-2629.070795132515
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-12-01,15,0.6,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-12-01,15,0.62,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,1883.9186947565504,18.22800339605088,64,1632.1582872304446
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2025-01-01,15,0.6,0.9998,-0.001,0.0255,3032.330230964772,16.01910595150687,65,3032.330230964772
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2025-01-01,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,1876.7631482998,18.22800339605088,64,1625.002740773694
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2025-03-01,15,0.6,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2025-03-01,15,0.62,0.9998,-0.001,0.0255,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,520,0.0205,0.0002,0.01,440,tie_hp,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-01-01,15,0.6,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-01-01,15,0.62,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-01-01,15,0.64,0.9998,-0.0005,0.0265,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-06-01,15,0.6,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-06-01,15,0.62,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-06-01,15,0.64,0.9998,-0.0005,0.0265,991.2446773478074,40.80563031508421,62,-1969.8309604622978
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-09-01,15,0.6,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-09-01,15,0.62,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-09-01,15,0.64,0.9998,-0.0005,0.0265,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-12-01,15,0.6,0.9998,-0.001,0.0255,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-12-01,15,0.62,0.9998,-0.001,0.0255,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,2812.99144131342,16.00905119684059,63,2812.99144131342
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2025-01-01,15,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2025-01-01,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2025-03-01,15,0.6,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2025-03-01,15,0.62,0.9998,-0.001,0.0255,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.021,0.00016,0.01,440,tie_hp,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,3091.114719633972,16.01910595150687,63,3091.114719633972
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-01-01,15,0.6,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-01-01,15,0.62,0.9998,-0.001,0.0255,2318.2256915606963,16.00835796919505,66,2318.2256915606963
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-01-01,15,0.64,0.9998,-0.0005,0.0265,1399.9917917940477,18.352813762066265,66,1133.2541403460957
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-06-01,15,0.6,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-06-01,15,0.62,0.9998,-0.001,0.0255,1624.3502839393695,41.0122423194315,62,-1361.5187943924107
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-06-01,15,0.64,0.9998,-0.0005,0.0265,991.2446773478074,40.80563031508421,62,-1969.8309604622978
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-09-01,15,0.6,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-09-01,15,0.62,0.9998,-0.001,0.0255,1713.66699976507,46.84487675026306,62,-1972.1182102664977
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-09-01,15,0.64,0.9998,-0.0005,0.0265,1050.3876981735077,46.79215411088352,62,-2629.070795132515
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-12-01,15,0.6,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-12-01,15,0.62,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,1883.9186947565504,18.22800339605088,64,1632.1582872304446
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2025-01-01,15,0.6,0.9998,-0.001,0.0255,3032.330230964772,16.01910595150687,65,3032.330230964772
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2025-01-01,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,1876.7631482998,18.22800339605088,64,1625.002740773694
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2025-03-01,15,0.6,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2025-03-01,15,0.62,0.9998,-0.001,0.0255,3067.704368464772,16.01910595150687,64,3067.704368464772
stage1,88,500,0.0215,0.00022,0.01,440,tie_hp,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,1898.4207982997993,18.22800339605088,63,1646.6603907736935
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-01-01,15,0.6,0.9998,-0.001,0.0255,3.2414136000000093,45.11866982895118,59,-3475.398965874141
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-01-01,15,0.62,0.9998,-0.001,0.0255,3.2414136000000093,45.11866982895118,59,-3475.398965874141
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-01-01,15,0.64,0.9998,-0.0005,0.0265,69.17746353000003,44.93123959672083,60,-3386.9712880764996
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-06-01,15,0.6,0.9998,-0.001,0.0255,1.168505930000019,53.273647321950754,60,-4456.06917270409
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-06-01,15,0.62,0.9998,-0.001,0.0255,1.168505930000019,53.273647321950754,60,-4456.06917270409
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-06-01,15,0.64,0.9998,-0.0005,0.0265,6.94235205,51.95631869041939,59,-4292.215890800326
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-09-01,15,0.6,0.9998,-0.001,0.0255,1.26850593000003,53.273647321950754,59,-4455.96917270409
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-09-01,15,0.62,0.9998,-0.001,0.0255,1.26850593000003,53.273647321950754,59,-4455.96917270409
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-09-01,15,0.64,0.9998,-0.0005,0.0265,7.042352050000011,51.95631869041939,58,-4292.115890800326
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-12-01,15,0.6,0.9998,-0.001,0.0255,14.163232230000023,51.02180346845342,62,-4172.85318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-12-01,15,0.62,0.9998,-0.001,0.0255,14.163232230000023,51.02180346845342,62,-4172.85318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2024-12-01,15,0.64,0.9998,-0.0005,0.0265,9.611482130000004,49.73258131428812,61,-4022.6982755845743
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2025-01-01,15,0.6,0.9998,-0.001,0.0255,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2025-01-01,15,0.62,0.9998,-0.001,0.0255,14.70323223000003,51.02180346845342,62,-4172.31318398441
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2025-01-01,15,0.64,0.9998,-0.0005,0.0265,23.36148213,49.73258131428812,61,-4008.9482755845743
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2025-03-01,15,0.6,0.9998,-0.001,0.0255,15.399735640000012,55.39761223120565,62,-4696.713732104678
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2025-03-01,15,0.62,0.9998,-0.001,0.0255,15.399735640000012,55.39761223120565,62,-4696.713732104678
stage1,88,500,0.021,0.0002,0.01,439,seed_near,2025-03-01,15,0.64,0.9998,-0.0005,0.0265,40.421484840000076,53.21595581349603,62,-4409.893212779523
stage1,88,500,0.021,0.0002,0.01,441,seed_near,2024-01-01,15,0.6,0.9998,-0.001,0.0255,-75.30336313999999,80.33931462066855,58,-7780.421117620226
stage1,88,500,0.021,0.0002,0.01,441,seed_near,2024-01-01,15,0.62,0.9998,-0.001,0.0255,-75.30336313999999,80.33931462066855,58,-7780.421117620226
