stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.62,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.64,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64,3055.384797133972
stage1,88,500,0.021,0.0002,0.01,440,incumbent,15,0.6,0.998,-0.001,0.0255,3054.1691471339727,15.970330460477403,64,3054.1691471339727
stage1,88,500,0.021,0.0002,0.01,434,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-59.617889479999974,70.00788947999997,60,-6524.964627079997
stage1,88,500,0.021,0.0002,0.01,434,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,-59.617889479999974,70.00788947999997,60,-6524.964627079997
stage1,88,500,0.021,0.0002,0.01,434,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,-52.243954559999985,64.93395455999999,61,-5908.7185017599995
stage1,88,500,0.021,0.0002,0.01,434,seed_scan_base,15,0.6,0.998,-0.001,0.0255,-59.84018722999998,70.23018722999997,60,-6551.862654829997
stage1,88,500,0.021,0.0002,0.01,435,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-46.87866505999998,68.61378126695789,59,-6344.932417094947
stage1,88,500,0.021,0.0002,0.01,435,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,-46.87866505999998,68.61378126695789,59,-6344.932417094947
stage1,88,500,0.021,0.0002,0.01,435,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,-34.010688619999996,63.227192403508724,63,-5685.673777041047
stage1,88,500,0.021,0.0002,0.01,435,seed_scan_base,15,0.6,0.998,-0.001,0.0255,-46.938665059999984,68.69244083757184,59,-6354.431565568621
stage1,88,500,0.021,0.0002,0.01,436,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-1.4675692100000415,52.80948913588145,60,-4403.006265515774
stage1,88,500,0.021,0.0002,0.01,436,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,-1.4675692100000415,52.80948913588145,60,-4403.006265515774
stage1,88,500,0.021,0.0002,0.01,436,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,18.660832430000006,52.02573765783478,62,-4288.827686510174
stage1,88,500,0.021,0.0002,0.01,436,seed_scan_base,15,0.6,0.998,-0.001,0.0255,-1.507569210000037,52.80948913588145,60,-4403.046265515774
stage1,88,520,0.0205,0.0002,0.01,436,seed_scan_e520,15,0.6,0.9998,-0.001,0.0255,26.76383519000001,47.59179977760944,61,-3748.6521381231328
stage1,88,520,0.0205,0.0002,0.01,436,seed_scan_e520,15,0.62,0.9998,-0.001,0.0255,26.76383519000001,47.59179977760944,61,-3748.6521381231328
stage1,88,520,0.0205,0.0002,0.01,436,seed_scan_e520,15,0.64,0.9998,-0.0005,0.0265,31.73223682999997,47.285704320003326,63,-3706.952281570399
stage1,88,520,0.0205,0.0002,0.01,436,seed_scan_e520,15,0.6,0.998,-0.001,0.0255,24.24383519000002,47.319348956119626,61,-3718.4780395443554
stage1,88,500,0.021,0.0002,0.01,437,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-43.33492232999999,63.69471569537063,60,-5751.100805774477
