variant,seed,score_base_start,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
mlp_h48_e300_gt0,331,2024-07-01,14,0.58,0.998,-0.001,0.0255,-16.341853230000037,67.86066536929403,62
mlp_h48_e300_gt0,331,2024-07-01,14,0.58,0.998,-0.0005,0.0265,73.13095634999998,54.74385710253566,64
mlp_h48_e300_gt0,331,2024-07-01,14,0.58,0.9998,-0.001,0.0255,-16.341853230000037,67.86066536929403,62
mlp_h48_e300_gt0,331,2024-07-01,14,0.58,0.9998,-0.0005,0.0265,73.23095634999999,54.74385710253566,64
mlp_h48_e300_gt0,331,2024-07-01,14,0.6,0.998,-0.001,0.0255,-16.341853230000037,67.86066536929403,62
mlp_h48_e300_gt0,331,2024-07-01,14,0.6,0.998,-0.0005,0.0265,73.13095634999998,54.74385710253566,64
mlp_h48_e300_gt0,331,2024-07-01,14,0.6,0.9998,-0.001,0.0255,-16.341853230000037,67.86066536929403,62
mlp_h48_e300_gt0,331,2024-07-01,14,0.6,0.9998,-0.0005,0.0265,73.23095634999999,54.74385710253566,64
mlp_h48_e300_gt0,331,2024-07-01,14,0.64,0.998,-0.001,0.0255,-16.341853230000037,67.86066536929403,62
mlp_h48_e300_gt0,331,2024-07-01,14,0.64,0.998,-0.0005,0.0265,73.13095634999998,54.74385710253566,64
mlp_h48_e300_gt0,331,2024-07-01,14,0.64,0.9998,-0.001,0.0255,-16.341853230000037,67.86066536929403,62
mlp_h48_e300_gt0,331,2024-07-01,14,0.64,0.9998,-0.0005,0.0265,73.23095634999999,54.74385710253566,64
mlp_h48_e300_gt0,331,2024-07-01,15,0.58,0.998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2024-07-01,15,0.58,0.998,-0.0005,0.0265,129.32457925,46.74740925417591,64
mlp_h48_e300_gt0,331,2024-07-01,15,0.58,0.9998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2024-07-01,15,0.58,0.9998,-0.0005,0.0265,129.42339924999996,46.74740925417591,64
mlp_h48_e300_gt0,331,2024-07-01,15,0.6,0.998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2024-07-01,15,0.6,0.998,-0.0005,0.0265,129.32457925,46.74740925417591,64
mlp_h48_e300_gt0,331,2024-07-01,15,0.6,0.9998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2024-07-01,15,0.6,0.9998,-0.0005,0.0265,129.42339924999996,46.74740925417591,64
mlp_h48_e300_gt0,331,2024-07-01,15,0.64,0.998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2024-07-01,15,0.64,0.998,-0.0005,0.0265,129.32457925,46.74740925417591,64
mlp_h48_e300_gt0,331,2024-07-01,15,0.64,0.9998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2024-07-01,15,0.64,0.9998,-0.0005,0.0265,129.42339924999996,46.74740925417591,64
mlp_h48_e300_gt0,331,2024-07-01,16,0.58,0.998,-0.001,0.0255,23.903754509999953,55.1883103264536,61
mlp_h48_e300_gt0,331,2024-07-01,16,0.58,0.998,-0.0005,0.0265,257.1648434079598,40.72452267634635,63
mlp_h48_e300_gt0,331,2024-07-01,16,0.58,0.9998,-0.001,0.0255,23.903754509999953,55.1883103264536,61
mlp_h48_e300_gt0,331,2024-07-01,16,0.58,0.9998,-0.0005,0.0265,257.73021090795976,40.72452267634635,63
mlp_h48_e300_gt0,331,2024-07-01,16,0.6,0.998,-0.001,0.0255,23.903754509999953,55.1883103264536,61
mlp_h48_e300_gt0,331,2024-07-01,16,0.6,0.998,-0.0005,0.0265,257.1648434079598,40.72452267634635,63
mlp_h48_e300_gt0,331,2024-07-01,16,0.6,0.9998,-0.001,0.0255,23.903754509999953,55.1883103264536,61
mlp_h48_e300_gt0,331,2024-07-01,16,0.6,0.9998,-0.0005,0.0265,257.73021090795976,40.72452267634635,63
mlp_h48_e300_gt0,331,2024-07-01,16,0.64,0.998,-0.001,0.0255,23.903754509999953,55.1883103264536,61
mlp_h48_e300_gt0,331,2024-07-01,16,0.64,0.998,-0.0005,0.0265,257.1648434079598,40.72452267634635,63
mlp_h48_e300_gt0,331,2024-07-01,16,0.64,0.9998,-0.001,0.0255,23.903754509999953,55.1883103264536,61
mlp_h48_e300_gt0,331,2024-07-01,16,0.64,0.9998,-0.0005,0.0265,257.73021090795976,40.72452267634635,63
mlp_h48_e300_gt0,331,2025-01-01,14,0.58,0.998,-0.001,0.0255,-19.39705687000003,68.57835103795995,62
mlp_h48_e300_gt0,331,2025-01-01,14,0.58,0.998,-0.0005,0.0265,62.34930633,54.34028178085531,64
mlp_h48_e300_gt0,331,2025-01-01,14,0.58,0.9998,-0.001,0.0255,-19.547056870000034,68.57835103795995,62
mlp_h48_e300_gt0,331,2025-01-01,14,0.58,0.9998,-0.0005,0.0265,62.34930633,54.34028178085531,64
mlp_h48_e300_gt0,331,2025-01-01,14,0.6,0.998,-0.001,0.0255,-19.39705687000003,68.57835103795995,62
mlp_h48_e300_gt0,331,2025-01-01,14,0.6,0.998,-0.0005,0.0265,62.34930633,54.34028178085531,64
mlp_h48_e300_gt0,331,2025-01-01,14,0.6,0.9998,-0.001,0.0255,-19.547056870000034,68.57835103795995,62
mlp_h48_e300_gt0,331,2025-01-01,14,0.6,0.9998,-0.0005,0.0265,62.34930633,54.34028178085531,64
mlp_h48_e300_gt0,331,2025-01-01,14,0.64,0.998,-0.001,0.0255,-19.39705687000003,68.57835103795995,62
mlp_h48_e300_gt0,331,2025-01-01,14,0.64,0.998,-0.0005,0.0265,62.34930633,54.34028178085531,64
mlp_h48_e300_gt0,331,2025-01-01,14,0.64,0.9998,-0.001,0.0255,-19.547056870000034,68.57835103795995,62
mlp_h48_e300_gt0,331,2025-01-01,14,0.64,0.9998,-0.0005,0.0265,62.34930633,54.34028178085531,64
mlp_h48_e300_gt0,331,2025-01-01,15,0.58,0.998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2025-01-01,15,0.58,0.998,-0.0005,0.0265,129.32457925,46.74740925417591,64
mlp_h48_e300_gt0,331,2025-01-01,15,0.58,0.9998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2025-01-01,15,0.58,0.9998,-0.0005,0.0265,129.42339924999996,46.74740925417591,64
mlp_h48_e300_gt0,331,2025-01-01,15,0.6,0.998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2025-01-01,15,0.6,0.998,-0.0005,0.0265,129.32457925,46.74740925417591,64
mlp_h48_e300_gt0,331,2025-01-01,15,0.6,0.9998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
mlp_h48_e300_gt0,331,2025-01-01,15,0.6,0.9998,-0.0005,0.0265,129.42339924999996,46.74740925417591,64
mlp_h48_e300_gt0,331,2025-01-01,15,0.64,0.998,-0.001,0.0255,-17.375945870000052,67.75779449619627,62
