操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,总资产
2020-02-11,09:30:00,002505,鹏都农牧,buy,1.800,9995.00
2020-02-12,15:00:00,002505,鹏都农牧,sell,1.710,9891.00
2020-02-27,09:30:00,002505,鹏都农牧,buy,1.900,9886.00
2020-02-28,15:00:00,002505,鹏都农牧,sell,1.840,9821.00
2020-03-06,09:30:00,002505,鹏都农牧,buy,2.070,9816.00
2020-03-10,15:00:00,002505,鹏都农牧,sell,2.090,9829.00
2020-03-25,09:30:00,600297,广汇汽车,buy,4.250,9824.00
2020-03-26,15:00:00,600297,广汇汽车,sell,4.130,9771.00
2020-04-08,09:30:00,002505,鹏都农牧,buy,2.370,9766.00
2020-04-09,15:00:00,002505,鹏都农牧,sell,2.390,9777.00
2020-04-24,09:30:00,002505,鹏都农牧,buy,2.450,9772.00
2020-04-27,15:00:00,002505,鹏都农牧,sell,2.460,9774.00
2020-05-07,09:30:00,002505,鹏都农牧,buy,2.810,9769.00
2020-05-08,15:00:00,002505,鹏都农牧,sell,2.800,9758.00
2020-06-05,09:30:00,600321,正源股份,buy,2.189,9753.00
2020-06-08,15:00:00,600321,正源股份,sell,2.050,9636.54
2020-06-11,09:30:00,600723,首商股份,buy,6.992,9631.54
2020-06-15,15:00:00,600723,首商股份,sell,8.233,9874.70
2020-07-01,09:30:00,600723,首商股份,buy,8.292,9869.70
2020-07-02,15:00:00,600723,首商股份,sell,8.311,9868.64
2020-07-09,09:30:00,002013,中航机电,buy,9.931,9863.64
2020-07-10,15:00:00,002013,中航机电,sell,9.911,9856.68
2020-07-16,09:30:00,600723,首商股份,buy,12.359,9851.68
2020-07-17,15:00:00,600723,首商股份,sell,11.670,9777.81
2020-08-21,09:30:00,600321,正源股份,buy,2.350,9772.81
2020-08-24,15:00:00,600321,正源股份,sell,2.190,9639.81
2020-10-22,09:30:00,600297,广汇汽车,buy,3.790,9634.81
2020-10-26,15:00:00,600297,广汇汽车,sell,4.000,9734.81
2020-11-16,09:30:00,600321,正源股份,buy,2.880,9729.81
2020-11-17,15:00:00,600321,正源股份,sell,2.850,9706.81
2021-02-19,09:30:00,600723,首商股份,buy,8.900,9701.81
2021-02-22,15:00:00,600723,首商股份,sell,8.910,9698.81
2021-03-03,09:30:00,600321,正源股份,buy,2.030,9693.81
2021-03-05,15:00:00,600321,正源股份,sell,2.030,9688.81
2021-04-07,09:30:00,600297,广汇汽车,buy,3.030,9683.81
2021-04-08,15:00:00,600297,广汇汽车,sell,2.950,9630.81
2021-04-29,09:30:00,600321,正源股份,buy,2.230,9625.81
2021-04-30,15:00:00,600321,正源股份,sell,2.220,9612.81
2021-05-28,09:30:00,600321,正源股份,buy,2.370,9607.81
2021-06-01,15:00:00,600321,正源股份,sell,2.590,9778.81
2021-06-18,09:30:00,000982,中银绒业,buy,2.250,9773.81
2021-06-21,15:00:00,000982,中银绒业,sell,2.550,10008.81
2021-06-23,09:30:00,600297,广汇汽车,buy,2.990,10003.81
2021-06-24,15:00:00,600297,广汇汽车,sell,2.940,9968.81
2021-08-06,09:30:00,600723,首商股份,buy,8.030,9963.81
2021-08-10,15:00:00,600723,首商股份,sell,8.510,10054.81
2021-08-27,09:30:00,000982,中银绒业,buy,2.450,10049.81
2021-08-31,15:00:00,000982,中银绒业,sell,2.590,10156.81
2021-09-27,09:30:00,000982,中银绒业,buy,3.050,10151.81
2021-09-28,15:00:00,000982,中银绒业,sell,2.860,10032.81
2021-10-12,09:30:00,002505,鹏都农牧,buy,3.000,10027.81
2021-10-13,15:00:00,002505,鹏都农牧,sell,3.030,10040.81
2021-11-03,09:30:00,000982,中银绒业,buy,2.820,10035.81
2021-11-05,15:00:00,000982,中银绒业,sell,2.830,10037.81
