signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2020-02-10,2020-02-11,09:30:00,2020-02-12,15:00:00,002505,鹏都农牧,1100,1.8,1.71,1980.0,1881.0,5.0,5.0,10.0,-109.0,-0.05491183879093199,9891.0,Top1 pick rank=1; score=100.00%; raw_prob=56.11%; board=1; ret1=9.94%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-5.00%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-02-26,2020-02-27,09:30:00,2020-02-28,15:00:00,002505,鹏都农牧,1000,1.9,1.84,1900.0,1840.0,5.0,5.0,10.0,-70.0,-0.03674540682414698,9821.0,Top1 pick rank=1; score=100.00%; raw_prob=43.76%; board=1; ret1=9.83%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-3.16%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-03-05,2020-03-06,09:30:00,2020-03-10,15:00:00,002505,鹏都农牧,900,2.07,2.09,1862.9999999999998,1880.9999999999998,5.0,5.0,10.0,8.0,0.004282655246252677,9829.0,Top1 pick rank=1; score=100.00%; raw_prob=55.39%; board=1; ret1=10.11%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益2.42%落在2%~10%，延长到T+3收盘卖出 (no intraday-high optimization).
2020-03-24,2020-03-25,09:30:00,2020-03-26,15:00:00,600297,广汇汽车,400,4.25,4.13,1700.0,1652.0,5.0,5.0,10.0,-58.0,-0.03401759530791789,9771.0,Top1 pick rank=1; score=100.00%; raw_prob=64.76%; board=1; ret1=10.03%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-2.82%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-04-07,2020-04-08,09:30:00,2020-04-09,15:00:00,002505,鹏都农牧,800,2.37,2.39,1896.0,1912.0,5.0,5.0,10.0,6.0,0.003156233561283535,9777.0,Top1 pick rank=1; score=100.00%; raw_prob=50.79%; board=1; ret1=9.91%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益0.84%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-04-23,2020-04-24,09:30:00,2020-04-27,15:00:00,002505,鹏都农牧,700,2.45,2.46,1715.0000000000002,1722.0,5.0,5.0,10.0,-3.0,-0.0017441860465116277,9774.0,Top1 pick rank=1; score=100.00%; raw_prob=49.08%; board=1; ret1=10.22%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益0.41%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-05-06,2020-05-07,09:30:00,2020-05-08,15:00:00,002505,鹏都农牧,600,2.81,2.8,1686.0,1680.0,5.0,5.0,10.0,-16.0,-0.009461856889414548,9758.0,Top1 pick rank=1; score=99.70%; raw_prob=38.58%; board=1; ret1=9.92%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-0.36%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-06-04,2020-06-05,09:30:00,2020-06-08,15:00:00,600321,正源股份,800,2.1893718,2.05004814,1751.49744,1640.0385119999999,5.0,5.0,10.0,-121.45892800000001,-0.06914836608016918,9636.541072,Top1 pick rank=1; score=100.00%; raw_prob=56.17%; board=2; ret1=9.80%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-6.36%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-06-10,2020-06-11,09:30:00,2020-06-15,15:00:00,600723,首商股份,200,6.9918173,8.23261868,1398.36346,1646.5237359999999,5.0,5.0,10.0,238.1602759999987,0.1697067671977142,9874.701347999999,Top1 pick rank=1; score=99.98%; raw_prob=41.10%; board=1; ret1=10.02%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益7.04%落在2%~10%，延长到T+3收盘卖出 (no intraday-high optimization).
2020-06-30,2020-07-01,09:30:00,2020-07-02,15:00:00,600723,首商股份,200,8.29170446,8.31139972,1658.340892,1662.2799440000001,5.0,5.0,10.0,-6.0609480000002804,-0.0036438399543659394,9868.640399999998,Top1 pick rank=1; score=100.00%; raw_prob=49.39%; board=1; ret1=9.97%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益0.24%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-07-08,2020-07-09,09:30:00,2020-07-10,15:00:00,002013,中航机电,100,9.93076,9.911192,993.0759999999999,991.1192,5.0,5.0,10.0,-11.95679999999993,-0.011979849229918293,9856.683599999998,Top1 pick rank=1; score=100.00%; raw_prob=50.44%; board=1; ret1=9.97%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-0.20%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2020-07-15,2020-07-16,09:30:00,2020-07-17,15:00:00,600723,首商股份,100,12.35877565,11.67,1235.877565,1167.0,5.0,5.0,10.0,-78.87756500000069,-0.06356595301970883,9777.806034999998,Top1 pick rank=1; score=99.23%; raw_prob=37.61%; board=1; ret1=9.99%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=None; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-5.57%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
