操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,总资产
2025-01-03,09:30:00,002730,电光科技,buy,15.782,9995.00
2025-01-06,15:00:00,002730,电光科技,sell,14.919,9903.64
2025-01-08,09:30:00,002187,广百股份,buy,7.277,9898.64
2025-01-09,15:00:00,002187,广百股份,sell,7.475,9933.41
2025-01-14,09:30:00,002418,康盛股份,buy,3.900,9928.41
2025-01-15,15:00:00,002418,康盛股份,sell,3.860,9907.41
2025-01-17,09:30:00,002767,先锋电子,buy,14.347,9902.41
2025-01-20,15:00:00,002767,先锋电子,sell,17.361,10198.72
2025-01-22,09:30:00,603211,晋拓股份,buy,18.030,10193.72
2025-01-23,15:00:00,603211,晋拓股份,sell,21.578,10543.54
2025-01-27,09:30:00,002861,瀛通通讯,buy,15.897,10538.54
2025-02-05,15:00:00,002861,瀛通通讯,sell,16.592,10603.08
2025-02-11,09:30:00,603803,瑞斯康达,buy,12.870,10598.08
2025-02-12,15:00:00,603803,瑞斯康达,sell,13.450,10651.08
2025-02-27,09:30:00,002048,宁波华翔,buy,13.849,10646.08
2025-02-28,15:00:00,002048,宁波华翔,sell,14.190,10675.22
2025-03-04,09:30:00,603936,博敏电子,buy,9.000,10670.22
2025-03-05,15:00:00,603936,博敏电子,sell,8.960,10657.22
2025-03-11,09:30:00,002114,罗平锌电,buy,7.640,10652.22
2025-03-12,15:00:00,002114,罗平锌电,sell,7.460,10611.22
2025-03-17,09:30:00,300511,雪榕生物,buy,6.140,10606.22
2025-03-18,15:00:00,300511,雪榕生物,sell,5.480,10403.22
2025-03-20,09:30:00,000678,襄阳轴承,buy,17.500,10398.22
2025-03-21,15:00:00,000678,襄阳轴承,sell,17.010,10344.22
2025-03-25,09:30:00,300697,电工合金,buy,14.342,10339.22
2025-03-26,15:00:00,300697,电工合金,sell,14.867,10386.66
2025-04-01,09:30:00,600126,杭钢股份,buy,12.070,10381.66
2025-04-02,15:00:00,600126,杭钢股份,sell,11.470,10316.66
2025-04-07,09:30:00,000722,湖南发展,buy,12.851,10311.66
2025-04-08,15:00:00,000722,湖南发展,sell,14.076,10429.19
2025-04-10,09:30:00,000016,深康佳A,buy,4.260,10424.19
2025-04-11,15:00:00,000016,深康佳A,sell,5.100,10755.19
2025-04-16,09:30:00,301558,三态股份,buy,10.740,10750.19
2025-04-17,15:00:00,301558,三态股份,sell,10.250,10696.19
2025-04-21,09:30:00,601086,国芳集团,buy,11.981,10691.19
2025-04-22,15:00:00,601086,国芳集团,sell,13.969,10885.05
2025-04-25,09:30:00,600615,鑫源智造,buy,12.083,10880.05
2025-04-28,15:00:00,600615,鑫源智造,sell,9.692,10635.88
2025-04-30,09:30:00,002440,闰土股份,buy,7.014,10630.88
2025-05-06,15:00:00,002440,闰土股份,sell,7.514,10725.93
2025-05-08,09:30:00,300507,苏奥传感,buy,8.832,10720.93
2025-05-09,15:00:00,300507,苏奥传感,sell,8.921,10733.80
2025-05-13,09:30:00,600281,华阳新材,buy,4.830,10728.80
2025-05-14,15:00:00,600281,华阳新材,sell,4.890,10741.80
2025-05-16,09:30:00,000420,吉林化纤,buy,4.680,10736.80
2025-05-19,15:00:00,000420,吉林化纤,sell,5.040,10875.80
2025-05-22,09:30:00,002040,南京港,buy,11.755,10870.80
2025-05-23,15:00:00,002040,南京港,sell,12.607,10951.03
2025-05-28,09:30:00,002094,青岛金王,buy,9.250,10946.03
2025-05-29,15:00:00,002094,青岛金王,sell,9.790,11049.03
2025-06-03,09:30:00,300149,睿智医药,buy,9.460,11044.03
2025-06-04,15:00:00,300149,睿智医药,sell,10.480,11243.03
2025-06-06,09:30:00,000533,顺钠股份,buy,7.580,11238.03
2025-06-09,15:00:00,000533,顺钠股份,sell,7.980,11313.03
2025-06-11,09:30:00,300299,富春股份,buy,8.340,11308.03
2025-06-12,15:00:00,300299,富春股份,sell,8.210,11277.03
2025-06-16,09:30:00,002951,金时科技,buy,13.380,11272.03
2025-06-17,15:00:00,002951,金时科技,sell,14.940,11423.02
2025-06-19,09:30:00,002150,正泰电源,buy,11.800,11418.02
2025-06-20,15:00:00,002150,正泰电源,sell,11.650,11398.02
2025-06-27,09:30:00,300591,万里马,buy,9.380,11393.02
2025-06-30,15:00:00,300591,万里马,sell,11.250,11762.02
2025-07-02,09:30:00,600192,长城电工,buy,10.300,11757.02
2025-07-03,15:00:00,600192,长城电工,sell,9.990,11690.02
2025-07-08,09:30:00,600192,长城电工,buy,11.830,11685.02
2025-07-09,15:00:00,600192,长城电工,sell,11.400,11637.02
2025-07-21,09:30:00,603176,汇通集团,buy,6.300,11632.02
2025-07-22,15:00:00,603176,汇通集团,sell,6.480,11681.02
2025-07-29,09:30:00,002297,博云新材,buy,10.300,11676.02
2025-07-30,15:00:00,002297,博云新材,sell,9.660,11543.02
2025-08-04,09:30:00,300289,利德曼,buy,8.900,11538.02
