signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-02,2025-01-03,09:30:00,2025-01-06,15:00:00,002730,电光科技,100,15.7821492,14.91859764,1578.21492,1491.859764,5.0,5.0,10.0,-96.35515599999962,-0.06086043959211781,9903.644844,Top1 pick rank=1; score=100.00%; raw_prob=55.94%; board=1; ret1=10.03%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-07,2025-01-08,09:30:00,2025-01-09,15:00:00,002187,广百股份,200,7.2765558,7.4753688,1455.31116,1495.07376,5.0,5.0,10.0,29.76260000000002,0.020380998800283098,9933.407444,Top1 pick rank=1; score=100.00%; raw_prob=58.48%; board=1; ret1=10.06%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-13,2025-01-14,09:30:00,2025-01-15,15:00:00,002418,康盛股份,400,3.9,3.86,1560.0,1544.0,5.0,5.0,10.0,-26.0,-0.016613418530351438,9907.407444,Top1 pick rank=1; score=100.00%; raw_prob=50.37%; board=1; ret1=10.00%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-16,2025-01-17,09:30:00,2025-01-20,15:00:00,002767,先锋电子,100,14.34744368,17.3606064,1434.744368,1736.0606400000001,5.0,5.0,10.0,291.316272,0.2023388863154074,10198.723716,Top1 pick rank=1; score=100.00%; raw_prob=47.77%; board=1; ret1=10.02%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-21,2025-01-22,09:30:00,2025-01-23,15:00:00,603211,晋拓股份,100,18.02959749,21.57771065,1802.959749,2157.771065,5.0,5.0,10.0,344.81131599999935,0.1907184693634456,10543.535032,Top1 pick rank=1; score=100.00%; raw_prob=45.25%; board=1; ret1=10.02%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-24,2025-01-27,09:30:00,2025-02-05,15:00:00,002861,瀛通通讯,100,15.896704,16.5921848,1589.6704,1659.2184799999998,5.0,5.0,10.0,59.54808000000048,0.037341935988778927,10603.083112,Top1 pick rank=1; score=91.83%; raw_prob=36.42%; board=1; ret1=10.00%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-10,2025-02-11,09:30:00,2025-02-12,15:00:00,603803,瑞斯康达,100,12.87,13.45,1287.0,1345.0,5.0,5.0,10.0,48.0,0.03715170278637771,10651.083112,Top1 pick rank=1; score=100.00%; raw_prob=43.85%; board=2; ret1=10.03%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-26,2025-02-27,09:30:00,2025-02-28,15:00:00,002048,宁波华翔,100,13.8491038,14.19045495,1384.91038,1419.0454949999998,5.0,5.0,10.0,24.13511500000095,0.01736451166009779,10675.218227000001,Top1 pick rank=1; score=100.00%; raw_prob=49.25%; board=1; ret1=10.00%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-03,2025-03-04,09:30:00,2025-03-05,15:00:00,603936,博敏电子,200,9.0,8.96,1800.0,1792.0000000000002,5.0,5.0,10.0,-18.0,-0.009972299168975069,10657.218227000001,Top1 pick rank=1; score=100.00%; raw_prob=46.72%; board=1; ret1=10.04%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-10,2025-03-11,09:30:00,2025-03-12,15:00:00,002114,罗平锌电,200,7.64,7.46,1528.0,1492.0,5.0,5.0,10.0,-46.0,-0.030006523157208087,10611.218227000001,Top1 pick rank=1; score=100.00%; raw_prob=46.92%; board=2; ret1=9.97%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-14,2025-03-17,09:30:00,2025-03-18,15:00:00,300511,雪榕生物,300,6.14,5.48,1842.0,1644.0000000000002,5.0,5.0,10.0,-208.0,-0.11261505143475907,10403.218227000001,Top1 pick rank=1; score=100.00%; raw_prob=48.92%; board=2; ret1=19.96%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-19,2025-03-20,09:30:00,2025-03-21,15:00:00,000678,襄阳轴承,100,17.5,17.01,1750.0,1701.0000000000002,5.0,5.0,10.0,-59.0,-0.03361823361823362,10344.218227000001,Top1 pick rank=1; score=100.00%; raw_prob=49.97%; board=3; ret1=9.99%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-24,2025-03-25,09:30:00,2025-03-26,15:00:00,300697,电工合金,100,14.34218124,14.86661712,1434.218124,1486.661712,5.0,5.0,10.0,42.44358800000191,0.029490726452248255,10386.661815000003,Top1 pick rank=1; score=100.00%; raw_prob=45.88%; board=1; ret1=20.00%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-31,2025-04-01,09:30:00,2025-04-02,15:00:00,600126,杭钢股份,100,12.07,11.47,1207.0,1147.0,5.0,5.0,10.0,-70.0,-0.057755775577557754,10316.661815000003,Top1 pick rank=1; score=100.00%; raw_prob=49.56%; board=1; ret1=10.02%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-04-03,2025-04-07,09:30:00,2025-04-08,15:00:00,000722,湖南发展,100,12.8510187,14.07634839,1285.10187,1407.634839,5.0,5.0,10.0,112.53296899999987,0.08722797138492627,10429.194784000003,Top1 pick rank=1; score=100.00%; raw_prob=53.63%; board=2; ret1=10.02%.,"model=mlp_h56_e320_gt1, alpha=10; score>=threshold; gap_filter=[None, None], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
