操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-07,09:30:00,600664,哈药股份,buy,4.800,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-08,15:00:00,600664,哈药股份,sell,4.730,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9969.00
2025-01-13,09:30:00,002536,飞龙股份,buy,14.031,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9964.00
2025-01-14,15:00:00,002536,飞龙股份,sell,13.208,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9876.75
2025-02-20,09:30:00,002522,浙江众成,buy,4.960,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9871.75
2025-02-21,15:00:00,002522,浙江众成,sell,5.458,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10016.15
2025-02-25,09:30:00,002522,浙江众成,buy,5.966,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10011.15
2025-02-26,15:00:00,002522,浙江众成,sell,6.663,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10215.31
2025-03-18,09:30:00,002162,悦心健康,buy,5.590,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10210.31
2025-03-19,15:00:00,002162,悦心健康,sell,4.740,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9950.31
2025-03-26,09:30:00,002255,海陆重工,buy,8.251,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9945.31
2025-03-27,15:00:00,002255,海陆重工,sell,8.101,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9910.48
2025-03-31,09:30:00,002132,恒星科技,buy,3.689,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9905.48
2025-04-01,15:00:00,002132,恒星科技,sell,4.182,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10097.74
2025-04-09,09:30:00,000061,农产品,buy,7.590,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10092.74
2025-04-10,15:00:00,000061,农产品,sell,7.145,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9998.68
2025-04-14,09:30:00,002640,跨境通,buy,3.600,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9993.68
2025-04-15,15:00:00,002640,跨境通,sell,3.870,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10096.68
2025-04-18,09:30:00,603696,安记食品,buy,12.328,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10091.68
2025-04-21,15:00:00,603696,安记食品,sell,13.558,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10209.76
