操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-06,09:30:00,002184,海得控制,buy,14.220,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-07,15:00:00,002184,海得控制,sell,17.110,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10279.00
2025-01-13,09:30:00,000561,烽火电子,buy,8.680,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10274.00
2025-01-14,15:00:00,000561,烽火电子,sell,8.680,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10269.00
2025-01-16,09:30:00,300071,福石控股,buy,6.150,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10264.00
2025-01-17,15:00:00,300071,福石控股,sell,5.280,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10085.00
2025-02-05,09:30:00,600191,华资实业,buy,8.210,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10080.00
2025-02-06,15:00:00,600191,华资实业,sell,8.390,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10111.00
2025-02-10,09:30:00,600120,浙江东方,buy,6.657,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10106.00
2025-02-11,15:00:00,600120,浙江东方,sell,8.062,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10381.83
2025-03-18,09:30:00,002162,悦心健康,buy,5.590,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10376.83
2025-03-19,15:00:00,002162,悦心健康,sell,4.740,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10116.83
2025-03-21,09:30:00,600797,浙大网新,buy,13.500,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10111.83
2025-03-24,15:00:00,600797,浙大网新,sell,12.740,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10030.83
2025-03-26,09:30:00,002255,海陆重工,buy,8.251,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",10025.83
2025-03-27,15:00:00,002255,海陆重工,sell,8.101,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9991.01
2025-03-31,09:30:00,002645,华宏科技,buy,9.500,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9986.01
2025-04-01,15:00:00,002645,华宏科技,sell,9.650,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9996.01
2025-04-07,09:30:00,300240,飞力达,buy,7.500,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",9991.01
2025-04-08,15:00:00,300240,飞力达,sell,7.790,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10044.01
