signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-03,2025-01-06,09:30:00,2025-01-07,15:00:00,002184,海得控制,100,14.22,17.11,1422.0,1711.0,5.0,5.0,10.0,279.0,0.19551506657323056,10279.0,Top1 pick rank=1; score=100.00%; raw_prob=60.63%; board=1; ret1=10.04%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-10,2025-01-13,09:30:00,2025-01-14,15:00:00,000561,烽火电子,200,8.68,8.68,1736.0,1736.0,5.0,5.0,10.0,-10.0,-0.005743825387708214,10269.0,Top1 pick rank=1; score=100.00%; raw_prob=56.60%; board=1; ret1=10.01%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-15,2025-01-16,09:30:00,2025-01-17,15:00:00,300071,福石控股,200,6.15,5.28,1230.0,1056.0,5.0,5.0,10.0,-184.0,-0.14898785425101216,10085.0,Top1 pick rank=1; score=98.02%; raw_prob=33.07%; board=2; ret1=19.96%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-27,2025-02-05,09:30:00,2025-02-06,15:00:00,600191,华资实业,200,8.21,8.39,1642.0000000000002,1678.0,5.0,5.0,10.0,26.0,0.015786278081360048,10111.0,Top1 pick rank=1; score=100.00%; raw_prob=47.58%; board=1; ret1=9.95%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-07,2025-02-10,09:30:00,2025-02-11,15:00:00,600120,浙江东方,200,6.65747862,8.06163709,1331.495724,1612.3274179999999,5.0,5.0,10.0,270.8316940000004,0.20264314291214328,10381.831694,Top1 pick rank=1; score=100.00%; raw_prob=59.37%; board=1; ret1=10.06%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-17,2025-03-18,09:30:00,2025-03-19,15:00:00,002162,悦心健康,300,5.59,4.74,1677.0,1422.0,5.0,5.0,10.0,-265.0,-0.15755053507728894,10116.831694,Top1 pick rank=1; score=100.00%; raw_prob=48.90%; board=2; ret1=10.04%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-20,2025-03-21,09:30:00,2025-03-24,15:00:00,600797,浙大网新,100,13.5,12.74,1350.0,1274.0,5.0,5.0,10.0,-86.0,-0.06346863468634686,10030.831694,Top1 pick rank=1; score=100.00%; raw_prob=49.34%; board=1; ret1=10.03%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-25,2025-03-26,09:30:00,2025-03-27,15:00:00,002255,海陆重工,200,8.2505984,8.1014912,1650.1196799999998,1620.29824,5.0,5.0,10.0,-39.82143999999971,-0.024059553204031577,9991.010254,Top1 pick rank=1; score=100.00%; raw_prob=51.08%; board=1; ret1=10.06%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-28,2025-03-31,09:30:00,2025-04-01,15:00:00,002645,华宏科技,100,9.5,9.65,950.0,965.0,5.0,5.0,10.0,5.0,0.005235602094240838,9996.010254,Top1 pick rank=1; score=100.00%; raw_prob=57.95%; board=1; ret1=10.00%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-04-03,2025-04-07,09:30:00,2025-04-08,15:00:00,300240,飞力达,200,7.5,7.79,1500.0,1558.0,5.0,5.0,10.0,48.0,0.03189368770764119,10044.010254,Top1 pick rank=1; score=100.00%; raw_prob=56.82%; board=1; ret1=20.00%.,"model=mlp_h72_e380_gt15, alpha=10; score>=threshold; gap_filter=[-1.00%, None], max_board=2; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
