操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,000010,美丽生态,buy,2.920,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,000010,美丽生态,sell,2.960,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10098.00
2025-01-15,09:30:00,300058,蓝色光标,buy,7.138,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10093.00
2025-01-16,15:00:00,300058,蓝色光标,sell,6.988,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9923.11
2025-01-21,09:30:00,002965,祥鑫科技,buy,31.056,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9918.11
2025-01-22,15:00:00,002965,祥鑫科技,sell,32.770,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10255.89
2025-02-07,09:30:00,600967,内蒙一机,buy,9.981,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10250.89
2025-02-10,15:00:00,600967,内蒙一机,sell,10.150,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,10381.37
2025-02-12,09:30:00,300478,杭州高新,buy,11.980,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10376.37
2025-02-13,15:00:00,300478,杭州高新,sell,10.780,固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).,9651.37
