signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-06,2025-01-07,09:30:00,2025-01-09,15:00:00,002184,海得控制,100,15.52,20.7,1552.0,2070.0,5.0,5.0,10.0,508.0,0.3262684649967887,10508.0,Top2 pick rank=2; score=99.18%; raw_prob=45.54%; board=2; ret1=9.97%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨21.26%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-01-13,2025-01-14,09:30:00,2025-01-16,15:00:00,600128,苏豪弘业,100,10.56202394,13.871326,1056.202394,1387.1326,5.0,5.0,10.0,320.9302060000009,0.30242129853318156,10828.930206,Top2 pick rank=2; score=94.24%; raw_prob=41.04%; board=3; ret1=10.04%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨19.42%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-01-21,2025-01-22,09:30:00,2025-01-23,15:00:00,002729,好利科技,100,15.46176173,15.88099607,1546.1761729999998,1588.099607,5.0,5.0,10.0,31.92343400000027,0.020580147217101608,10860.853640000001,Top2 pick rank=1; score=98.41%; raw_prob=44.14%; board=1; ret1=10.01%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨2.71%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-17,2025-02-18,09:30:00,2025-02-20,15:00:00,600602,云赛智联,100,21.3627854,22.03162027,2136.27854,2203.1620270000003,5.0,5.0,10.0,56.88348700000097,0.026565197351672416,10917.737127000002,Top2 pick rank=2; score=99.32%; raw_prob=46.00%; board=2; ret1=10.00%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨7.52%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-02-26,2025-02-27,09:30:00,2025-02-28,15:00:00,000573,粤宏远A,400,5.30370198,4.84938114,2121.480792,1939.7524560000002,5.0,5.0,10.0,-191.72833600000013,-0.09016227032066233,10726.008791000002,Top2 pick rank=1; score=99.79%; raw_prob=48.65%; board=2; ret1=10.04%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-8.57%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-03-18,2025-03-19,09:30:00,2025-03-20,15:00:00,603139,康惠股份,100,18.82,18.82,1882.0,1882.0,5.0,5.0,10.0,-10.0,-0.005299417064122946,10716.008791000002,Top2 pick rank=2; score=97.31%; raw_prob=42.95%; board=2; ret1=9.99%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨0.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-03-24,2025-03-25,09:30:00,2025-03-27,15:00:00,003039,顺控发展,100,14.277251,14.26740462,1427.7250999999999,1426.740462,5.0,5.0,10.0,-10.984637999999904,-0.007666954393414274,10705.024153000002,Top2 pick rank=2; score=99.68%; raw_prob=47.63%; board=1; ret1=10.02%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨7.38%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-04-02,2025-04-03,09:30:00,2025-04-07,15:00:00,603985,恒润股份,100,17.04,14.94,1704.0,1494.0,5.0,5.0,10.0,-220.0,-0.12873025160912815,10485.024153000002,Top2 pick rank=1; score=99.81%; raw_prob=48.80%; board=3; ret1=10.01%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-12.32%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-04-14,2025-04-15,09:30:00,2025-04-16,15:00:00,600828,茂业商业,500,3.73,3.58,1865.0,1790.0,5.0,5.0,10.0,-85.0,-0.045454545454545456,10400.024153000002,Top2 pick rank=2; score=99.80%; raw_prob=48.66%; board=1; ret1=10.06%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-4.02%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-04-25,2025-04-28,09:30:00,2025-04-29,15:00:00,002095,生意宝,100,20.02793256,18.81109602,2002.793256,1881.109602,5.0,5.0,10.0,-131.6836540000004,-0.06558626173610396,10268.340499000002,Top2 pick rank=1; score=96.43%; raw_prob=42.25%; board=1; ret1=10.03%.,"model=i0001c01, alpha=2; score>=threshold; gap_filter=[-0.50%, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=20%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-6.08%未触发延长，T+2收盘卖出 (no intraday-high optimization).
