signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-07,2025-01-08,09:30:00,2025-01-09,15:00:00,000010,美丽生态,600,2.92,2.96,1752.0,1776.0,5.0,5.0,10.0,14.0,0.00796812749003984,10014.0,Top3 pick rank=1; score=100.00%; raw_prob=64.19%; board=1; ret1=9.85%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-14,2025-01-15,09:30:00,2025-01-16,15:00:00,603015,弘讯科技,100,15.85829408,12.79023216,1585.829408,1279.023216,5.0,5.0,10.0,-316.806192,-0.19914529515662563,9697.193808,Top3 pick rank=1; score=100.00%; raw_prob=64.43%; board=1; ret1=10.04%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-17,2025-01-20,09:30:00,2025-01-21,15:00:00,002543,万和电气,100,11.742384,11.68367208,1174.2384,1168.367208,5.0,5.0,10.0,-15.87119200000052,-0.013458849372612458,9681.322616,Top3 pick rank=2; score=100.00%; raw_prob=64.40%; board=2; ret1=10.05%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-22,2025-01-23,09:30:00,2025-01-24,15:00:00,002453,华软科技,300,5.38,5.62,1614.0,1686.0,5.0,5.0,10.0,62.0,0.03829524397776405,9743.322616,Top3 pick rank=2; score=100.00%; raw_prob=55.75%; board=1; ret1=9.98%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-11,2025-02-12,09:30:00,2025-02-13,15:00:00,600186,莲花控股,200,7.5,7.17,1500.0,1434.0,5.0,5.0,10.0,-76.0,-0.0504983388704319,9667.322616,Top3 pick rank=3; score=100.00%; raw_prob=49.23%; board=1; ret1=10.03%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-14,2025-02-17,09:30:00,2025-02-18,15:00:00,600126,杭钢股份,100,11.51,11.03,1151.0,1103.0,5.0,5.0,10.0,-58.0,-0.050173010380622836,9609.322616,Top3 pick rank=1; score=100.00%; raw_prob=71.97%; board=8; ret1=9.97%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-21,2025-02-24,09:30:00,2025-02-25,15:00:00,000695,滨海能源,100,11.65,11.36,1165.0,1136.0,5.0,5.0,10.0,-39.0,-0.03333333333333333,9570.322616,Top3 pick rank=1; score=100.00%; raw_prob=56.43%; board=1; ret1=9.97%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-27,2025-02-28,09:30:00,2025-03-03,15:00:00,600841,动力新科,200,6.23,5.76,1246.0,1152.0,5.0,5.0,10.0,-104.0,-0.08313349320543566,9466.322616,Top3 pick rank=1; score=100.00%; raw_prob=58.47%; board=1; ret1=10.07%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-05,2025-03-06,09:30:00,2025-03-07,15:00:00,600589,大位科技,200,6.95,7.07,1390.0,1414.0,5.0,5.0,10.0,14.0,0.01003584229390681,9480.322616,Top3 pick rank=1; score=100.00%; raw_prob=65.07%; board=1; ret1=9.97%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-11,2025-03-12,09:30:00,2025-03-13,15:00:00,002292,奥飞娱乐,100,10.44,10.3,1044.0,1030.0,5.0,5.0,10.0,-24.0,-0.022878932316491896,9456.322616,Top3 pick rank=3; score=100.00%; raw_prob=59.66%; board=1; ret1=10.01%.,"model=i0001c07, alpha=10; score>=threshold; gap_filter=[-0.50%, None], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=18%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
