signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-07,2025-01-08,09:30:00,2025-01-09,15:00:00,000010,美丽生态,100,2.92,2.96,292.0,296.0,5.0,5.0,10.0,-6.0,-0.020202020202020204,9994.0,Top1 pick rank=1; score=100.00%; raw_prob=67.17%; board=1; ret1=9.85%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨1.37%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-11,2025-02-12,09:30:00,2025-02-13,15:00:00,000890,法尔胜,100,3.56,3.47,356.0,347.0,5.0,5.0,10.0,-19.0,-0.05263157894736842,9975.0,Top1 pick rank=1; score=100.00%; raw_prob=53.20%; board=1; ret1=10.00%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-2.53%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-02-25,2025-02-26,09:30:00,2025-02-27,15:00:00,000892,欢瑞世纪,100,4.7,4.83,470.0,483.0,5.0,5.0,10.0,3.0,0.00631578947368421,9978.0,Top1 pick rank=1; score=100.00%; raw_prob=64.58%; board=3; ret1=10.12%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨2.77%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-04-09,2025-04-10,09:30:00,2025-04-14,15:00:00,000016,深康佳A,100,4.26,5.28,426.0,528.0,5.0,5.0,10.0,92.0,0.21345707656612528,10070.0,Top1 pick rank=1; score=100.00%; raw_prob=82.64%; board=1; ret1=9.90%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨19.72%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-05-06,2025-05-07,09:30:00,2025-05-09,15:00:00,600396,华电辽能,100,3.06,3.76,306.0,376.0,5.0,5.0,10.0,60.0,0.19292604501607716,10130.0,Top1 pick rank=1; score=100.00%; raw_prob=65.78%; board=1; ret1=10.14%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨12.09%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-05-21,2025-05-22,09:30:00,2025-05-23,15:00:00,600828,茂业商业,100,4.59,4.19,459.0,419.00000000000006,5.0,5.0,10.0,-50.0,-0.10775862068965517,10080.0,Top1 pick rank=1; score=100.00%; raw_prob=58.05%; board=1; ret1=9.98%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-8.71%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-06-26,2025-06-27,09:30:00,2025-06-30,15:00:00,600734,实达集团,100,4.16,4.23,416.0,423.00000000000006,5.0,5.0,10.0,-3.0,-0.007125890736342043,10077.0,Top1 pick rank=1; score=100.00%; raw_prob=65.62%; board=1; ret1=10.00%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨1.68%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-09-24,2025-09-25,09:30:00,2025-09-26,15:00:00,600103,青山纸业,100,3.83,3.66,383.0,366.0,5.0,5.0,10.0,-27.0,-0.06958762886597938,10050.0,Top1 pick rank=1; score=100.00%; raw_prob=61.90%; board=1; ret1=10.11%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-4.44%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-10-22,2025-10-23,09:30:00,2025-10-24,15:00:00,000637,茂化实华,100,4.96,5.15,496.0,515.0,5.0,5.0,10.0,9.0,0.017964071856287425,10059.0,Top1 pick rank=1; score=100.00%; raw_prob=52.63%; board=2; ret1=9.94%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨3.83%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-11-21,2025-11-24,09:30:00,2025-11-25,15:00:00,000838,财信发展,100,3.69,3.61,369.0,361.0,5.0,5.0,10.0,-18.0,-0.0481283422459893,10041.0,Top1 pick rank=1; score=100.00%; raw_prob=65.65%; board=2; ret1=10.00%.,"model=i0001c02, alpha=10; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-2.17%未触发延长，T+2收盘卖出 (no intraday-high optimization).
