signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-08,2025-01-09,09:30:00,2025-01-10,15:00:00,000533,顺钠股份,900,8.48,6.93,7632.0,6237.0,5.0,5.0,10.0,-1405.0,-0.18397276417441405,8595.0,Top4 pick rank=1; score=100.00%; raw_prob=99.33%; board=2; ret1=10.07%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-18.28%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2025-02-13,2025-02-14,09:30:00,2025-02-17,15:00:00,603086,先达股份,1300,5.1,5.94,6629.999999999999,7722.000000000001,5.0,5.0,10.0,1082.0000000000018,0.1630746043707614,9677.000000000002,Top4 pick rank=2; score=100.00%; raw_prob=55.64%; board=1; ret1=10.09%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益16.47%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2025-02-20,2025-02-21,09:30:00,2025-02-25,15:00:00,002068,黑猫股份,600,12.5,12.85,7500.0,7710.0,5.0,5.0,10.0,200.0,0.02664890073284477,9877.000000000002,Top4 pick rank=1; score=100.00%; raw_prob=46.99%; board=1; ret1=10.02%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益3.12%落在2%~10%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-02-26,2025-02-27,09:30:00,2025-02-28,15:00:00,603067,振华股份,600,12.15567069,11.58798029,7293.402413999999,6952.788174,5.0,5.0,10.0,-350.614239999999,-0.04803986134382519,9526.385760000003,Top4 pick rank=3; score=100.00%; raw_prob=47.88%; board=1; ret1=10.01%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-4.67%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2025-03-04,2025-03-05,09:30:00,2025-03-07,15:00:00,002126,银轮股份,200,34.01928564,34.81552404,6803.857128,6963.104808,5.0,5.0,10.0,149.2476800000004,0.021919637494852193,9675.633440000003,Top4 pick rank=2; score=100.00%; raw_prob=48.73%; board=1; ret1=10.01%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益5.03%落在2%~10%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-03-10,2025-03-11,09:30:00,2025-03-13,15:00:00,002846,英联股份,700,10.57,11.85,7399.0,8295.0,5.0,5.0,10.0,886.0,0.11966504592112372,10561.633440000003,Top4 pick rank=3; score=100.00%; raw_prob=54.07%; board=1; ret1=10.05%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益5.30%落在2%~10%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-03-14,2025-03-17,09:30:00,2025-03-18,15:00:00,000799,酒鬼酒,100,51.362896,50.48380028,5136.2896,5048.380028,5.0,5.0,10.0,-97.90957200000048,-0.019043776876525392,10463.723868000003,Top4 pick rank=2; score=100.00%; raw_prob=47.97%; board=1; ret1=10.01%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-1.71%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2025-03-19,2025-03-20,09:30:00,2025-03-21,15:00:00,002633,申科股份,600,13.07,15.7,7842.0,9420.0,5.0,5.0,10.0,1568.0,0.19982158786797502,12031.723868000003,Top4 pick rank=1; score=83.65%; raw_prob=48.95%; board=1; ret1=10.01%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益20.12%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2025-03-26,2025-03-27,09:30:00,2025-03-28,15:00:00,000048,京基智农,500,16.41932425,16.22784525,8209.662124999999,8113.922625000001,5.0,5.0,10.0,-105.73949999999786,-0.012872044935140638,11925.984368000005,Top4 pick rank=1; score=100.00%; raw_prob=69.16%; board=1; ret1=10.00%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-1.17%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2025-04-02,2025-04-03,09:30:00,2025-04-07,15:00:00,002427,尤夫股份,1800,5.08,4.91,9144.0,8838.0,5.0,5.0,10.0,-316.0,-0.03453929391190294,11609.984368000005,Top4 pick rank=1; score=89.88%; raw_prob=60.76%; board=1; ret1=9.94%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益-3.35%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
2025-04-10,2025-04-11,09:30:00,2025-04-14,15:00:00,000016,深康佳A,1900,4.72,5.28,8968.0,10032.0,5.0,5.0,10.0,1054.0,0.11746350161595899,12663.984368000005,Top4 pick rank=2; score=100.00%; raw_prob=99.92%; board=2; ret1=9.95%.,"model=i0001c02, alpha=2; score>=threshold; gap_filter=[-0.50%, 4.00%], max_board=2; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘收益11.86%不在2%~10%，T+2收盘卖出 (no intraday-high optimization).
