操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-01-08,09:30:00,000010,美丽生态,buy,2.920,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9995.00
2025-01-09,15:00:00,000010,美丽生态,sell,2.960,T+2收盘回撤1.37%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10098.00
2025-01-15,09:30:00,000056,皇庭国际,buy,2.750,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10093.00
2025-01-16,15:00:00,000056,皇庭国际,sell,2.820,T+2收盘回撤2.55%未触发延长，T+2收盘卖出 (no intraday-high optimization).,10291.00
2025-01-21,09:30:00,000541,佛山照明,buy,6.195,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",10286.00
2025-01-23,15:00:00,000541,佛山照明,sell,5.891,T+2收盘回撤-4.60%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,9885.33
2025-01-27,09:30:00,000761,本钢板材,buy,3.360,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9880.33
2025-02-06,15:00:00,000761,本钢板材,sell,3.000,T+2收盘回撤-9.82%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,9047.33
2025-02-10,09:30:00,000042,中洲控股,buy,5.550,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9042.33
2025-02-11,15:00:00,000042,中洲控股,sell,5.660,T+2收盘回撤1.98%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9180.33
2025-02-13,09:30:00,000158,常山北明,buy,26.600,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9175.33
2025-02-14,15:00:00,000158,常山北明,sell,26.740,T+2收盘回撤0.53%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9198.33
2025-02-20,09:30:00,000008,神州高铁,buy,3.000,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",9193.33
2025-02-21,15:00:00,000008,神州高铁,sell,2.910,T+2收盘回撤-3.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).,8972.33
2025-02-25,09:30:00,000158,常山北明,buy,27.470,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",8967.33
2025-02-26,15:00:00,000158,常山北明,sell,27.410,T+2收盘回撤-0.22%未触发延长，T+2收盘卖出 (no intraday-high optimization).,8950.33
2025-03-05,09:30:00,002227,奥特迅,buy,15.500,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",8945.33
2025-03-07,15:00:00,002227,奥特迅,sell,12.660,T+2收盘回撤-9.35%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,7804.33
2025-03-11,09:30:00,000723,美锦能源,buy,4.780,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",7799.33
2025-03-13,15:00:00,000723,美锦能源,sell,5.060,T+2收盘回撤-3.77%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,8158.33
2025-03-18,09:30:00,000678,襄阳轴承,buy,14.400,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",8153.33
2025-03-19,15:00:00,000678,襄阳轴承,sell,17.180,T+2收盘回撤19.31%未触发延长，T+2收盘卖出 (no intraday-high optimization).,9260.33
