signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-03-20,2025-03-21,09:30:00,2025-03-24,15:00:00,600716,凤凰股份,100,3.68,3.34,368.0,334.0,5.0,5.0,10.0,-44.0,-0.11796246648793565,9956.0,Top1 pick rank=1; score=100.00%; raw_prob=75.52%; board=1; ret1=10.06%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-9.24%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-03-28,2025-03-31,09:30:00,2025-04-01,15:00:00,600239,云南城投,100,2.78,2.84,278.0,284.0,5.0,5.0,10.0,-4.0,-0.014134275618374558,9952.0,Top1 pick rank=1; score=100.00%; raw_prob=84.14%; board=1; ret1=10.08%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨2.16%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-04-09,2025-04-10,09:30:00,2025-04-14,15:00:00,000016,深康佳A,100,4.26,5.28,426.0,528.0,5.0,5.0,10.0,92.0,0.21345707656612528,10044.0,Top1 pick rank=1; score=100.00%; raw_prob=100.00%; board=1; ret1=9.90%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨19.72%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-05-08,2025-05-09,09:30:00,2025-05-12,15:00:00,002124,天邦食品,100,3.53,3.2,353.0,320.0,5.0,5.0,10.0,-43.0,-0.12011173184357542,10001.0,Top1 pick rank=1; score=100.00%; raw_prob=62.99%; board=1; ret1=10.12%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-9.35%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-05-21,2025-05-22,09:30:00,2025-05-23,15:00:00,600828,茂业商业,100,4.59,4.19,459.0,419.00000000000006,5.0,5.0,10.0,-50.0,-0.10775862068965517,9951.0,Top1 pick rank=1; score=99.81%; raw_prob=52.29%; board=1; ret1=9.98%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-8.71%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-05-27,2025-05-28,09:30:00,2025-05-29,15:00:00,600172,黄河旋风,100,4.4,4.33,440.00000000000006,433.0,5.0,5.0,10.0,-17.0,-0.03820224719101123,9934.0,Top1 pick rank=1; score=100.00%; raw_prob=65.68%; board=1; ret1=10.10%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-1.59%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-05-30,2025-06-03,09:30:00,2025-06-04,15:00:00,002162,悦心健康,100,4.44,4.7,444.00000000000006,470.0,5.0,5.0,10.0,16.0,0.035634743875278395,9950.0,Top1 pick rank=1; score=99.91%; raw_prob=53.27%; board=1; ret1=9.98%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨5.86%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-06-20,2025-06-23,09:30:00,2025-06-24,15:00:00,002067,景兴纸业,100,3.77,3.95,377.0,395.0,5.0,5.0,10.0,8.0,0.020942408376963352,9958.0,Top1 pick rank=1; score=100.00%; raw_prob=66.08%; board=1; ret1=10.06%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨4.77%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-06-26,2025-06-27,09:30:00,2025-06-30,15:00:00,000892,欢瑞世纪,100,4.66,4.84,466.0,484.0,5.0,5.0,10.0,8.0,0.016985138004246284,9966.0,Top1 pick rank=1; score=86.43%; raw_prob=43.57%; board=1; ret1=10.09%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨3.86%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-07-15,2025-07-16,09:30:00,2025-07-17,15:00:00,002133,广宇集团,100,3.36250552,3.11598752,336.250552,311.598752,5.0,5.0,10.0,-34.65179999999964,-0.1015435720086385,9931.3482,Top1 pick rank=1; score=99.92%; raw_prob=53.52%; board=1; ret1=9.97%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-7.33%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-07-21,2025-07-22,09:30:00,2025-07-23,15:00:00,600376,首开股份,100,2.83,2.83,283.0,283.0,5.0,5.0,10.0,-10.0,-0.034722222222222224,9921.3482,Top1 pick rank=1; score=100.00%; raw_prob=65.22%; board=1; ret1=10.16%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨0.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-08-01,2025-08-04,09:30:00,2025-08-05,15:00:00,002652,扬子新材,100,4.18,4.02,418.0,401.99999999999994,5.0,5.0,10.0,-26.0,-0.061465721040189124,9895.3482,Top1 pick rank=1; score=99.55%; raw_prob=51.03%; board=1; ret1=9.95%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-3.83%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-09-03,2025-09-04,09:30:00,2025-09-05,15:00:00,600545,卓郎智能,100,3.15,2.97,315.0,297.0,5.0,5.0,10.0,-28.0,-0.0875,9867.3482,Top1 pick rank=1; score=100.00%; raw_prob=58.48%; board=1; ret1=10.07%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-5.71%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-09-15,2025-09-16,09:30:00,2025-09-17,15:00:00,002418,康盛股份,100,4.8,4.86,480.0,486.00000000000006,5.0,5.0,10.0,-4.0,-0.008247422680412371,9863.3482,Top1 pick rank=1; score=99.97%; raw_prob=54.80%; board=1; ret1=10.02%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨1.25%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-10-14,2025-10-15,09:30:00,2025-10-16,15:00:00,601011,宝泰隆,100,4.0,3.95,400.0,395.0,5.0,5.0,10.0,-15.0,-0.037037037037037035,9848.3482,Top1 pick rank=1; score=99.97%; raw_prob=54.74%; board=3; ret1=10.00%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-1.25%未触发延长，T+2收盘卖出 (no intraday-high optimization).
