signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-07,2025-01-08,09:30:00,2025-01-09,15:00:00,001309,德明利,100,64.52961472,65.02840812,6452.961472,6502.8408119999995,5.0,5.0,10.0,39.8793399999995,0.006175221108534898,10039.87934,Top2 pick rank=1; score=100.00%; raw_prob=100.00%; board=1; ret1=10.00%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-15,2025-01-16,09:30:00,2025-01-17,15:00:00,002164,宁波东力,1200,6.33,6.33,7596.0,7596.0,5.0,5.0,10.0,-10.0,-0.0013156163662675965,10029.87934,Top2 pick rank=2; score=100.00%; raw_prob=100.00%; board=3; ret1=9.98%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-07,2025-02-10,09:30:00,2025-02-11,15:00:00,002691,冀凯股份,700,11.1,11.35,7770.0,7945.0,5.0,5.0,10.0,165.0,0.02122186495176849,10194.87934,Top2 pick rank=2; score=100.00%; raw_prob=100.00%; board=4; ret1=9.99%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-12,2025-02-13,09:30:00,2025-02-14,15:00:00,000880,潍柴重机,500,15.62642385,16.3583573,7813.211925,8179.178650000001,5.0,5.0,10.0,355.96672500000204,0.04553045228433125,10550.846065000002,Top2 pick rank=1; score=99.33%; raw_prob=50.38%; board=1; ret1=10.01%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-20,2025-02-21,09:30:00,2025-02-24,15:00:00,002272,川润股份,700,11.22,11.8,7854.0,8260.0,5.0,5.0,10.0,396.0,0.05038809008779743,10946.846065000002,Top2 pick rank=1; score=85.88%; raw_prob=43.42%; board=1; ret1=10.03%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-25,2025-02-26,09:30:00,2025-02-27,15:00:00,603109,神驰机电,300,22.10377676,23.48773416,6631.133027999999,7046.320248,5.0,5.0,10.0,405.1872199999998,0.061057730200763514,11352.033285000001,Top2 pick rank=2; score=77.85%; raw_prob=41.45%; board=1; ret1=10.00%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-04,2025-03-05,09:30:00,2025-03-06,15:00:00,301357,北方长龙,200,35.56,34.48,7112.0,6895.999999999999,5.0,5.0,10.0,-226.0,-0.031754952929605174,11126.033285000001,Top2 pick rank=2; score=100.00%; raw_prob=70.66%; board=1; ret1=20.01%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-10,2025-03-11,09:30:00,2025-03-12,15:00:00,688680,海优新材,200,42.48,49.1,8496.0,9820.0,5.0,5.0,10.0,1314.0,0.15457005058228443,12440.033285000001,Top2 pick rank=1; score=100.00%; raw_prob=63.38%; board=1; ret1=20.00%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-13,2025-03-14,09:30:00,2025-03-17,15:00:00,000723,美锦能源,1900,4.99,4.92,9481.0,9348.0,5.0,5.0,10.0,-143.0,-0.015074847143158338,12297.033285000001,Top2 pick rank=2; score=99.99%; raw_prob=55.87%; board=1; ret1=10.00%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-18,2025-03-19,09:30:00,2025-03-20,15:00:00,002276,万马股份,500,18.04623469,18.08609385,9023.117344999999,9043.046925,5.0,5.0,10.0,9.929580000001806,0.001099850569122372,12306.962865000003,Top2 pick rank=1; score=99.97%; raw_prob=54.69%; board=1; ret1=10.02%.,"model=i0001c02, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
