signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-07,2025-01-08,09:30:00,2025-01-09,15:00:00,000010,美丽生态,100,2.92,2.96,292.0,296.0,5.0,5.0,10.0,-6.0,-0.020202020202020204,9994.0,Top1 pick rank=1; score=100.00%; raw_prob=100.00%; board=1; ret1=9.85%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨1.37%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-03-10,2025-03-11,09:30:00,2025-03-12,15:00:00,600172,黄河旋风,100,4.55,4.48,455.0,448.00000000000006,5.0,5.0,10.0,-17.0,-0.03695652173913044,9977.0,Top1 pick rank=1; score=99.80%; raw_prob=39.82%; board=1; ret1=10.07%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-1.54%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-03-28,2025-03-31,09:30:00,2025-04-01,15:00:00,600239,云南城投,100,2.78,2.84,278.0,284.0,5.0,5.0,10.0,-4.0,-0.014134275618374558,9973.0,Top1 pick rank=1; score=100.00%; raw_prob=46.34%; board=1; ret1=10.08%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨2.16%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-04-28,2025-04-29,09:30:00,2025-04-30,15:00:00,600396,华电辽能,100,3.31,2.76,331.0,276.0,5.0,5.0,10.0,-65.0,-0.19345238095238096,9908.0,Top1 pick rank=1; score=99.76%; raw_prob=39.44%; board=2; ret1=9.97%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-16.62%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-05-13,2025-05-14,09:30:00,2025-05-16,15:00:00,600448,华纺股份,100,4.06,5.13,405.99999999999994,513.0,5.0,5.0,10.0,97.0,0.23600973236009737,10005.0,Top1 pick rank=1; score=100.00%; raw_prob=53.38%; board=1; ret1=10.00%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨29.06%>=6%，延长到T+3收盘卖出 (no intraday-high optimization).
2025-06-04,2025-06-05,09:30:00,2025-06-06,15:00:00,603023,威帝股份,100,4.1,4.15,409.99999999999994,415.00000000000006,5.0,5.0,10.0,-5.0,-0.01204819277108434,10000.0,Top1 pick rank=1; score=99.99%; raw_prob=44.88%; board=1; ret1=10.05%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨1.22%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-09-04,2025-09-05,09:30:00,2025-09-08,15:00:00,002269,美邦服饰,100,2.6,2.68,260.0,268.0,5.0,5.0,10.0,-2.0,-0.007547169811320755,9998.0,Top1 pick rank=1; score=100.00%; raw_prob=60.53%; board=2; ret1=9.96%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨3.08%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-09-18,2025-09-19,09:30:00,2025-09-22,15:00:00,603030,全筑股份,100,3.32,3.12,332.0,312.0,5.0,5.0,10.0,-30.0,-0.08902077151335312,9968.0,Top1 pick rank=1; score=100.00%; raw_prob=55.08%; board=1; ret1=9.97%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-6.02%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-09-24,2025-09-25,09:30:00,2025-09-26,15:00:00,600103,青山纸业,100,3.83,3.66,383.0,366.0,5.0,5.0,10.0,-27.0,-0.06958762886597938,9941.0,Top1 pick rank=1; score=99.90%; raw_prob=41.06%; board=1; ret1=10.11%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-4.44%未触发延长，T+2收盘卖出 (no intraday-high optimization).
2025-11-05,2025-11-06,09:30:00,2025-11-07,15:00:00,601929,吉视传媒,100,4.89,4.23,488.99999999999994,423.00000000000006,5.0,5.0,10.0,-76.0,-0.15384615384615385,9865.0,Top1 pick rank=1; score=100.00%; raw_prob=53.70%; board=3; ret1=10.04%.,"model=i0001c01, alpha=5; score>=threshold; gap_filter=[None, 2.00%], max_board=3; risk_profile=off (broken<=None, red>=None, limit_down<=None, pullback<=None); capital_use=5%; T signal -> T+1 open buy, limit-up open is unfilled.",T+2收盘上涨-13.50%未触发延长，T+2收盘卖出 (no intraday-high optimization).
